category,gender,age,year,division,population,Latitude,Longitude
Video Game Players,Male,18-34,2013,East Central,26,41.8851513,-86.97143566
Video Game Players,Male,18-34,2013,East Central,37,41.8851513,-86.97143566
Video Game Players,Male,35-54,2013,East Central,49,41.8851513,-86.97143566
Video Game Players,Male,35-54,2013,East Central,31,41.8851513,-86.97143566
Video Game Players,Male,55+,2013,East Central,13,41.8851513,-86.97143566
Video Game Players,Female,18-34,2013,East Central,24,41.8851513,-86.97143566
Video Game Players,Female,18-34,2013,East Central,46,41.8851513,-86.97143566
Video Game Players,Female,35-54,2013,East Central,35,41.8851513,-86.97143566
Video Game Players,Female,35-54,2013,East Central,31,41.8851513,-86.97143566
Video Game Players,Female,55+,2013,East Central,32,41.8851513,-86.97143566
Cable TV Watchers,Male,18-34,2013,East Central,23,41.8851513,-86.97143566
Cable TV Watchers,Male,18-34,2013,East Central,38,41.8851513,-86.97143566
Cable TV Watchers,Male,35-54,2013,East Central,63,41.8851513,-86.97143566
Cable TV Watchers,Male,35-54,2013,East Central,62,41.8851513,-86.97143566
Cable TV Watchers,Male,55+,2013,East Central,72,41.8851513,-86.97143566
Cable TV Watchers,Female,18-34,2013,East Central,30,41.8851513,-86.97143566
Cable TV Watchers,Female,18-34,2013,East Central,65,41.8851513,-86.97143566
Cable TV Watchers,Female,35-54,2013,East Central,62,41.8851513,-86.97143566
Cable TV Watchers,Female,35-54,2013,East Central,96,41.8851513,-86.97143566
Cable TV Watchers,Female,55+,2013,East Central,120,41.8851513,-86.97143566
Radio Listeners,Male,18-34,2013,East Central,17,41.8851513,-86.97143566
Radio Listeners,Male,18-34,2013,East Central,39,41.8851513,-86.97143566
Radio Listeners,Male,35-54,2013,East Central,52,41.8851513,-86.97143566
Radio Listeners,Male,35-54,2013,East Central,53,41.8851513,-86.97143566
Radio Listeners,Male,55+,2013,East Central,62,41.8851513,-86.97143566
Radio Listeners,Female,18-34,2013,East Central,31,41.8851513,-86.97143566
Radio Listeners,Female,18-34,2013,East Central,61,41.8851513,-86.97143566
Radio Listeners,Female,35-54,2013,East Central,56,41.8851513,-86.97143566
Radio Listeners,Female,35-54,2013,East Central,81,41.8851513,-86.97143566
Radio Listeners,Female,55+,2013,East Central,98,41.8851513,-86.97143566
Magazine Readers,Male,18-34,2013,East Central,31,41.8851513,-86.97143566
Magazine Readers,Male,18-34,2013,East Central,49,41.8851513,-86.97143566
Magazine Readers,Male,35-54,2013,East Central,69,41.8851513,-86.97143566
Magazine Readers,Male,35-54,2013,East Central,64,41.8851513,-86.97143566
Magazine Readers,Male,55+,2013,East Central,75,41.8851513,-86.97143566
Magazine Readers,Female,18-34,2013,East Central,40,41.8851513,-86.97143566
Magazine Readers,Female,18-34,2013,East Central,72,41.8851513,-86.97143566
Magazine Readers,Female,35-54,2013,East Central,64,41.8851513,-86.97143566
