Cat,Gender,Age,Year,Region,Pop
Totals,Male,28-24,2013,Central East,31
Totals,Male,25-34,2013,Central East,51
Totals,Male,35-44,2013,Central East,71
Totals,Male,45-54,2013,Central East,64
Totals,Male,55+,2013,Central East,78
Totals,Female,28-24,2013,Central East,40
Totals,Female,25-34,2013,Central East,73
Totals,Female,35-44,2013,Central East,66
Totals,Female,45-54,2013,Central East,101
Totals,Female,55+,2013,Central East,127
Video_Game,Male,28-24,2013,Central East,26
Video_Game,Male,25-34,2013,Central East,37
Video_Game,Male,35-44,2013,Central East,49
Video_Game,Male,45-54,2013,Central East,31
Video_Game,Male,55+,2013,Central East,13
Video_Game,Female,28-24,2013,Central East,24
Video_Game,Female,25-34,2013,Central East,46
Video_Game,Female,35-44,2013,Central East,35
Video_Game,Female,45-54,2013,Central East,31
Video_Game,Female,55+,2013,Central East,32
TV,Male,28-24,2013,Central East,23
TV,Male,25-34,2013,Central East,38
TV,Male,35-44,2013,Central East,63
TV,Male,45-54,2013,Central East,62
TV,Male,55+,2013,Central East,72
TV,Female,28-24,2013,Central East,30
TV,Female,25-34,2013,Central East,65
TV,Female,35-44,2013,Central East,62
TV,Female,45-54,2013,Central East,96
TV,Female,55+,2013,Central East,120
RADIO,Male,28-24,2013,Central East,17
RADIO,Male,25-34,2013,Central East,39
RADIO,Male,35-44,2013,Central East,52
RADIO,Male,45-54,2013,Central East,53
RADIO,Male,55+,2013,Central East,62
RADIO,Female,28-24,2013,Central East,31
RADIO,Female,25-34,2013,Central East,61
RADIO,Female,35-44,2013,Central East,56
RADIO,Female,45-54,2013,Central East,81
RADIO,Female,55+,2013,Central East,98
MAGAZINE,Male,28-24,2013,Central East,31
MAGAZINE,Male,25-34,2013,Central East,49
MAGAZINE,Male,35-44,2013,Central East,69
MAGAZINE,Male,45-54,2013,Central East,64
MAGAZINE,Male,55+,2013,Central East,75
MAGAZINE,Female,28-24,2013,Central East,40
MAGAZINE,Female,25-34,2013,Central East,72
MAGAZINE,Female,35-44,2013,Central East,64
MAGAZINE,Female,45-54,2013,Central East,96
MAGAZINE,Female,55+,2013,Central East,124
MOVIE_GOERS,Male,28-24,2013,Central East,31
MOVIE_GOERS,Male,25-34,2013,Central East,51
MOVIE_GOERS,Male,35-44,2013,Central East,71
MOVIE_GOERS,Male,45-54,2013,Central East,64
MOVIE_GOERS,Male,55+,2013,Central East,78
MOVIE_GOERS,Female,28-24,2013,Central East,40
MOVIE_GOERS,Female,25-34,2013,Central East,73
MOVIE_GOERS,Female,35-44,2013,Central East,66
MOVIE_GOERS,Female,45-54,2013,Central East,101
MOVIE_GOERS,Female,55+,2013,Central East,127
SUPERMARKET_GOER_LAST_4_WEEKS,Male,28-24,2013,Central East,30
SUPERMARKET_GOER_LAST_4_WEEKS,Male,25-34,2013,Central East,51
SUPERMARKET_GOER_LAST_4_WEEKS,Male,35-44,2013,Central East,71
SUPERMARKET_GOER_LAST_4_WEEKS,Male,45-54,2013,Central East,64
SUPERMARKET_GOER_LAST_4_WEEKS,Male,55+,2013,Central East,77
SUPERMARKET_GOER_LAST_4_WEEKS,Female,28-24,2013,Central East,39
SUPERMARKET_GOER_LAST_4_WEEKS,Female,25-34,2013,Central East,73
SUPERMARKET_GOER_LAST_4_WEEKS,Female,35-44,2013,Central East,64
SUPERMARKET_GOER_LAST_4_WEEKS,Female,45-54,2013,Central East,99
SUPERMARKET_GOER_LAST_4_WEEKS,Female,55+,2013,Central East,126
TABLET_OWNER,Male,28-24,2013,Central East,3
TABLET_OWNER,Male,25-34,2013,Central East,10
TABLET_OWNER,Male,35-44,2013,Central East,26
TABLET_OWNER,Male,45-54,2013,Central East,21
TABLET_OWNER,Male,55+,2013,Central East,15
TABLET_OWNER,Female,28-24,2013,Central East,10
TABLET_OWNER,Female,25-34,2013,Central East,25
TABLET_OWNER,Female,35-44,2013,Central East,23
TABLET_OWNER,Female,45-54,2013,Central East,36
TABLET_OWNER,Female,55+,2013,Central East,31
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,28-24,2013,Central East,17
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,25-34,2013,Central East,21
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,35-44,2013,Central East,27
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,45-54,2013,Central East,29
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,55+,2013,Central East,43
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,28-24,2013,Central East,26
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,25-34,2013,Central East,40
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,35-44,2013,Central East,34
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,45-54,2013,Central East,65
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Female,55+,2013,Central East,68
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,28-24,2013,Central East,29
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,25-34,2013,Central East,46
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,35-44,2013,Central East,57
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,45-54,2013,Central East,51
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Male,55+,2013,Central East,42
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,28-24,2013,Central East,38
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,25-34,2013,Central East,70
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,35-44,2013,Central East,60
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,45-54,2013,Central East,84
SOCIAL_MEDIA_[SOCIAL_MEDIA_USER],Female,55+,2013,Central East,94
Totals,Male,28-24,2014,Central East,28
Totals,Male,25-34,2014,Central East,51
Totals,Male,35-44,2014,Central East,77
Totals,Male,45-54,2014,Central East,81
Totals,Male,55+,2014,Central East,76
Totals,Female,28-24,2014,Central East,49
Totals,Female,25-34,2014,Central East,90
Totals,Female,35-44,2014,Central East,105
Totals,Female,45-54,2014,Central East,95
Totals,Female,55+,2014,Central East,112
Video_Game,Male,28-24,2014,Central East,22
Video_Game,Male,25-34,2014,Central East,39
