Category,Gender,Age,Year,Division,Population
0,Male,28-24,2013,east_central,31
0,Male,25-34,2013,east_central,51
0,Male,35-44,2013,east_central,71
0,Male,45-54,2013,east_central,64
0,Male,55+,2013,east_central,78
0,Female,28-24,2013,east_central,40
0,Female,25-34,2013,east_central,73
0,Female,35-44,2013,east_central,66
0,Female,45-54,2013,east_central,101
0,Female,55+,2013,east_central,127
1,Male,28-24,2013,east_central,26
1,Male,25-34,2013,east_central,37
1,Male,35-44,2013,east_central,49
1,Male,45-54,2013,east_central,31
1,Male,55+,2013,east_central,13
1,Female,28-24,2013,east_central,24
1,Female,25-34,2013,east_central,46
1,Female,35-44,2013,east_central,35
1,Female,45-54,2013,east_central,31
1,Female,55+,2013,east_central,32
2,Male,28-24,2013,east_central,23
2,Male,25-34,2013,east_central,38
2,Male,35-44,2013,east_central,63
2,Male,45-54,2013,east_central,62
2,Male,55+,2013,east_central,72
2,Female,28-24,2013,east_central,30
2,Female,25-34,2013,east_central,65
2,Female,35-44,2013,east_central,62
2,Female,45-54,2013,east_central,96
2,Female,55+,2013,east_central,120
3,Male,28-24,2013,east_central,17
3,Male,25-34,2013,east_central,39
3,Male,35-44,2013,east_central,52
3,Male,45-54,2013,east_central,53
3,Male,55+,2013,east_central,62
3,Female,28-24,2013,east_central,31
3,Female,25-34,2013,east_central,61
3,Female,35-44,2013,east_central,56
3,Female,45-54,2013,east_central,81
3,Female,55+,2013,east_central,98
4,Male,28-24,2013,east_central,31
4,Male,25-34,2013,east_central,49
4,Male,35-44,2013,east_central,69
4,Male,45-54,2013,east_central,64
4,Male,55+,2013,east_central,75
4,Female,28-24,2013,east_central,40
4,Female,25-34,2013,east_central,72
4,Female,35-44,2013,east_central,64
4,Female,45-54,2013,east_central,96
4,Female,55+,2013,east_central,124
5,Male,28-24,2013,east_central,31
5,Male,25-34,2013,east_central,51
5,Male,35-44,2013,east_central,71
5,Male,45-54,2013,east_central,64
5,Male,55+,2013,east_central,78
5,Female,28-24,2013,east_central,40
5,Female,25-34,2013,east_central,73
5,Female,35-44,2013,east_central,66
5,Female,45-54,2013,east_central,101
5,Female,55+,2013,east_central,127
6,Male,28-24,2013,east_central,30
6,Male,25-34,2013,east_central,51
6,Male,35-44,2013,east_central,71
6,Male,45-54,2013,east_central,64
6,Male,55+,2013,east_central,77
6,Female,28-24,2013,east_central,39
6,Female,25-34,2013,east_central,73
6,Female,35-44,2013,east_central,64
6,Female,45-54,2013,east_central,99
6,Female,55+,2013,east_central,126
7,Male,28-24,2013,east_central,3
7,Male,25-34,2013,east_central,10
7,Male,35-44,2013,east_central,26
7,Male,45-54,2013,east_central,21
7,Male,55+,2013,east_central,15
7,Female,28-24,2013,east_central,10
7,Female,25-34,2013,east_central,25
7,Female,35-44,2013,east_central,23
7,Female,45-54,2013,east_central,36
7,Female,55+,2013,east_central,31
8,Male,28-24,2013,east_central,17
8,Male,25-34,2013,east_central,21
8,Male,35-44,2013,east_central,27
8,Male,45-54,2013,east_central,29
8,Male,55+,2013,east_central,43
8,Female,28-24,2013,east_central,26
8,Female,25-34,2013,east_central,40
8,Female,35-44,2013,east_central,34
8,Female,45-54,2013,east_central,65
8,Female,55+,2013,east_central,68
9,Male,28-24,2013,east_central,29
9,Male,25-34,2013,east_central,46
9,Male,35-44,2013,east_central,57
9,Male,45-54,2013,east_central,51
9,Male,55+,2013,east_central,42
9,Female,28-24,2013,east_central,38
9,Female,25-34,2013,east_central,70
9,Female,35-44,2013,east_central,60
9,Female,45-54,2013,east_central,84
9,Female,55+,2013,east_central,94
0,Male,28-24,2014,east_central,28
0,Male,25-34,2014,east_central,51
0,Male,35-44,2014,east_central,77
0,Male,45-54,2014,east_central,81
0,Male,55+,2014,east_central,76
0,Female,28-24,2014,east_central,49
0,Female,25-34,2014,east_central,90
0,Female,35-44,2014,east_central,105
0,Female,45-54,2014,east_central,95
0,Female,55+,2014,east_central,112
1,Male,28-24,2014,east_central,22
1,Male,25-34,2014,east_central,39
1,Male,35-44,2014,east_central,52
1,Male,45-54,2014,east_central,36
1,Male,55+,2014,east_central,10
1,Female,28-24,2014,east_central,26
1,Female,25-34,2014,east_central,53
1,Female,35-44,2014,east_central,58
1,Female,45-54,2014,east_central,33
1,Female,55+,2014,east_central,16
