category,gender,age,year,division,population
totals,Male,18-24,2014,north_east_central,54
totals,Male,25-34,2014,north_east_central,70
totals,Male,35-44,2014,north_east_central,98
totals,Male,45-54,2014,north_east_central,114
totals,Male,55+,2014,north_east_central,183
totals,Female,18-24,2014,north_east_central,79
totals,Female,25-34,2014,north_east_central,122
totals,Female,35-44,2014,north_east_central,124
totals,Female,45-54,2014,north_east_central,159
totals,Female,55+,2014,north_east_central,222
video_game,Male,18-24,2014,north_east_central,46
video_game,Male,25-34,2014,north_east_central,55
video_game,Male,35-44,2014,north_east_central,56
video_game,Male,45-54,2014,north_east_central,48
video_game,Male,55+,2014,north_east_central,25
video_game,Female,18-24,2014,north_east_central,34
video_game,Female,25-34,2014,north_east_central,56
video_game,Female,35-44,2014,north_east_central,68
video_game,Female,45-54,2014,north_east_central,52
video_game,Female,55+,2014,north_east_central,45
digital_music,Male,18-24,2014,north_east_central,54
digital_music,Male,25-34,2014,north_east_central,70
digital_music,Male,35-44,2014,north_east_central,98
digital_music,Male,45-54,2014,north_east_central,114
digital_music,Male,55+,2014,north_east_central,183
digital_music,Female,18-24,2014,north_east_central,79
digital_music,Female,25-34,2014,north_east_central,122
digital_music,Female,35-44,2014,north_east_central,124
digital_music,Female,45-54,2014,north_east_central,159
digital_music,Female,55+,2014,north_east_central,222
tv,Male,18-24,2014,north_east_central,43
tv,Male,25-34,2014,north_east_central,50
tv,Male,35-44,2014,north_east_central,86
tv,Male,45-54,2014,north_east_central,99
tv,Male,55+,2014,north_east_central,173
tv,Female,18-24,2014,north_east_central,67
tv,Female,25-34,2014,north_east_central,103
tv,Female,35-44,2014,north_east_central,115
tv,Female,45-54,2014,north_east_central,152
tv,Female,55+,2014,north_east_central,209
radio,Male,18-24,2014,north_east_central,34
radio,Male,25-34,2014,north_east_central,50
radio,Male,35-44,2014,north_east_central,78
radio,Male,45-54,2014,north_east_central,94
radio,Male,55+,2014,north_east_central,140
radio,Female,18-24,2014,north_east_central,60
radio,Female,25-34,2014,north_east_central,96
radio,Female,35-44,2014,north_east_central,98
radio,Female,45-54,2014,north_east_central,131
radio,Female,55+,2014,north_east_central,169
magazine,Male,18-24,2014,north_east_central,44
magazine,Male,25-34,2014,north_east_central,62
magazine,Male,35-44,2014,north_east_central,79
magazine,Male,45-54,2014,north_east_central,95
magazine,Male,55+,2014,north_east_central,164
magazine,Female,18-24,2014,north_east_central,66
magazine,Female,25-34,2014,north_east_central,111
magazine,Female,35-44,2014,north_east_central,106
magazine,Female,45-54,2014,north_east_central,148
magazine,Female,55+,2014,north_east_central,215
movie_goers,Male,18-24,2014,north_east_central,54
