category,gender,age,year,division,population
totals,Male,18-24,2013,east_central,78
totals,Male,25-34,2013,east_central,89
totals,Male,35-44,2013,east_central,111
totals,Male,45-54,2013,east_central,112
totals,Male,55+,2013,east_central,141
totals,Female,18-24,2013,east_central,87
totals,Female,25-34,2013,east_central,121
totals,Female,35-44,2013,east_central,146
totals,Female,45-54,2013,east_central,171
totals,Female,55+,2013,east_central,176
video_game,Male,18-24,2013,east_central,62
video_game,Male,25-34,2013,east_central,54
video_game,Male,35-44,2013,east_central,71
video_game,Male,45-54,2013,east_central,37
video_game,Male,55+,2013,east_central,29
video_game,Female,18-24,2013,east_central,42
video_game,Female,25-34,2013,east_central,61
video_game,Female,35-44,2013,east_central,62
video_game,Female,45-54,2013,east_central,55
video_game,Female,55+,2013,east_central,31
tv,Male,18-24,2013,east_central,55
tv,Male,25-34,2013,east_central,66
tv,Male,35-44,2013,east_central,97
tv,Male,45-54,2013,east_central,102
tv,Male,55+,2013,east_central,129
tv,Female,18-24,2013,east_central,73
tv,Female,25-34,2013,east_central,101
tv,Female,35-44,2013,east_central,128
tv,Female,45-54,2013,east_central,156
tv,Female,55+,2013,east_central,170
radio,Male,18-24,2013,east_central,41
radio,Male,25-34,2013,east_central,60
radio,Male,35-44,2013,east_central,83
radio,Male,45-54,2013,east_central,92
radio,Male,55+,2013,east_central,95
radio,Female,18-24,2013,east_central,65
radio,Female,25-34,2013,east_central,102
radio,Female,35-44,2013,east_central,123
radio,Female,45-54,2013,east_central,137
radio,Female,55+,2013,east_central,116
magazine,Male,18-24,2013,east_central,76
magazine,Male,25-34,2013,east_central,86
magazine,Male,35-44,2013,east_central,107
magazine,Male,45-54,2013,east_central,104
magazine,Male,55+,2013,east_central,137
magazine,Female,18-24,2013,east_central,83
magazine,Female,25-34,2013,east_central,118
magazine,Female,35-44,2013,east_central,142
magazine,Female,45-54,2013,east_central,169
magazine,Female,55+,2013,east_central,169
movie_goers,Male,18-24,2013,east_central,78
movie_goers,Male,25-34,2013,east_central,89
movie_goers,Male,35-44,2013,east_central,111
movie_goers,Male,45-54,2013,east_central,112
movie_goers,Male,55+,2013,east_central,141
movie_goers,Female,18-24,2013,east_central,87
movie_goers,Female,25-34,2013,east_central,121
movie_goers,Female,35-44,2013,east_central,146
movie_goers,Female,45-54,2013,east_central,171
movie_goers,Female,55+,2013,east_central,176
supermarket_goer_last_4_weeks,Male,18-24,2013,east_central,74
supermarket_goer_last_4_weeks,Male,25-34,2013,east_central,86
supermarket_goer_last_4_weeks,Male,35-44,2013,east_central,110
supermarket_goer_last_4_weeks,Male,45-54,2013,east_central,109
supermarket_goer_last_4_weeks,Male,55+,2013,east_central,137
supermarket_goer_last_4_weeks,Female,18-24,2013,east_central,86
supermarket_goer_last_4_weeks,Female,25-34,2013,east_central,121
supermarket_goer_last_4_weeks,Female,35-44,2013,east_central,144
supermarket_goer_last_4_weeks,Female,45-54,2013,east_central,170
supermarket_goer_last_4_weeks,Female,55+,2013,east_central,172
tablet_owner,Male,18-24,2013,east_central,12
tablet_owner,Male,25-34,2013,east_central,29
