category,gender,age,year,division,population
totals,Male,18-24,2013,east_central,78
totals,Male,25-34,2013,east_central,160
totals,Male,35-44,2013,east_central,198
totals,Male,45-54,2013,east_central,170
totals,Male,55+,2013,east_central,247
totals,Female,18-24,2013,east_central,134
totals,Female,25-34,2013,east_central,240
totals,Female,35-44,2013,east_central,259
totals,Female,45-54,2013,east_central,242
totals,Female,55+,2013,east_central,285
video_game,Male,18-24,2013,east_central,61
video_game,Male,25-34,2013,east_central,120
video_game,Male,35-44,2013,east_central,125
video_game,Male,45-54,2013,east_central,61
video_game,Male,55+,2013,east_central,46
video_game,Female,18-24,2013,east_central,69
video_game,Female,25-34,2013,east_central,121
video_game,Female,35-44,2013,east_central,130
video_game,Female,45-54,2013,east_central,61
video_game,Female,55+,2013,east_central,50
tv,Male,18-24,2013,east_central,58
tv,Male,25-34,2013,east_central,135
tv,Male,35-44,2013,east_central,182
tv,Male,45-54,2013,east_central,157
tv,Male,55+,2013,east_central,233
tv,Female,18-24,2013,east_central,100
tv,Female,25-34,2013,east_central,205
tv,Female,35-44,2013,east_central,238
tv,Female,45-54,2013,east_central,223
tv,Female,55+,2013,east_central,260
radio,Male,18-24,2013,east_central,48
radio,Male,25-34,2013,east_central,120
radio,Male,35-44,2013,east_central,158
radio,Male,45-54,2013,east_central,137
radio,Male,55+,2013,east_central,171
radio,Female,18-24,2013,east_central,104
radio,Female,25-34,2013,east_central,192
radio,Female,35-44,2013,east_central,219
radio,Female,45-54,2013,east_central,187
radio,Female,55+,2013,east_central,214
magazine,Male,18-24,2013,east_central,76
magazine,Male,25-34,2013,east_central,158
magazine,Male,35-44,2013,east_central,187
magazine,Male,45-54,2013,east_central,160
magazine,Male,55+,2013,east_central,236
magazine,Female,18-24,2013,east_central,131
magazine,Female,25-34,2013,east_central,230
magazine,Female,35-44,2013,east_central,253
magazine,Female,45-54,2013,east_central,229
magazine,Female,55+,2013,east_central,277
movie_goers,Male,18-24,2013,east_central,78
movie_goers,Male,25-34,2013,east_central,160
movie_goers,Male,35-44,2013,east_central,198
movie_goers,Male,45-54,2013,east_central,170
movie_goers,Male,55+,2013,east_central,247
movie_goers,Female,18-24,2013,east_central,134
movie_goers,Female,25-34,2013,east_central,240
movie_goers,Female,35-44,2013,east_central,259
movie_goers,Female,45-54,2013,east_central,242
movie_goers,Female,55+,2013,east_central,285
supermarket_goer_last_4_weeks,Male,18-24,2013,east_central,77
supermarket_goer_last_4_weeks,Male,25-34,2013,east_central,157
supermarket_goer_last_4_weeks,Male,35-44,2013,east_central,196
supermarket_goer_last_4_weeks,Male,45-54,2013,east_central,169
supermarket_goer_last_4_weeks,Male,55+,2013,east_central,244
supermarket_goer_last_4_weeks,Female,18-24,2013,east_central,133
supermarket_goer_last_4_weeks,Female,25-34,2013,east_central,238
supermarket_goer_last_4_weeks,Female,35-44,2013,east_central,257
supermarket_goer_last_4_weeks,Female,45-54,2013,east_central,241
supermarket_goer_last_4_weeks,Female,55+,2013,east_central,283
tablet_owner,Male,18-24,2013,east_central,19
tablet_owner,Male,25-34,2013,east_central,48
tablet_owner,Male,35-44,2013,east_central,82
tablet_owner,Male,45-54,2013,east_central,64
tablet_owner,Male,55+,2013,east_central,61
tablet_owner,Female,18-24,2013,east_central,38
tablet_owner,Female,25-34,2013,east_central,94
tablet_owner,Female,35-44,2013,east_central,106
tablet_owner,Female,45-54,2013,east_central,83
tablet_owner,Female,55+,2013,east_central,90
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,east_central,43
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2013,east_central,78
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2013,east_central,98
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2013,east_central,73
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2013,east_central,101
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2013,east_central,70
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2013,east_central,110
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2013,east_central,135
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2013,east_central,124
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2013,east_central,121
social_media_[social_media_user],Male,18-24,2013,east_central,74
social_media_[social_media_user],Male,25-34,2013,east_central,144
social_media_[social_media_user],Male,35-44,2013,east_central,173
social_media_[social_media_user],Male,45-54,2013,east_central,127
social_media_[social_media_user],Male,55+,2013,east_central,165
social_media_[social_media_user],Female,18-24,2013,east_central,129
social_media_[social_media_user],Female,25-34,2013,east_central,227
social_media_[social_media_user],Female,35-44,2013,east_central,233
social_media_[social_media_user],Female,45-54,2013,east_central,209
social_media_[social_media_user],Female,55+,2013,east_central,203
totals,Male,18-24,2014,east_central,127
totals,Male,25-34,2014,east_central,199
totals,Male,35-44,2014,east_central,226
totals,Male,45-54,2014,east_central,210
totals,Male,55+,2014,east_central,297
totals,Female,18-24,2014,east_central,175
totals,Female,25-34,2014,east_central,290
totals,Female,35-44,2014,east_central,322
totals,Female,45-54,2014,east_central,303
totals,Female,55+,2014,east_central,330
video_game,Male,18-24,2014,east_central,105
video_game,Male,25-34,2014,east_central,131
video_game,Male,35-44,2014,east_central,124
video_game,Male,45-54,2014,east_central,69
video_game,Male,55+,2014,east_central,64
video_game,Female,18-24,2014,east_central,92
video_game,Female,25-34,2014,east_central,142
video_game,Female,35-44,2014,east_central,133
video_game,Female,45-54,2014,east_central,86
video_game,Female,55+,2014,east_central,65
digital_music,Male,18-24,2014,east_central,127
digital_music,Male,25-34,2014,east_central,199
digital_music,Male,35-44,2014,east_central,226
digital_music,Male,45-54,2014,east_central,210
digital_music,Male,55+,2014,east_central,297
digital_music,Female,18-24,2014,east_central,175
digital_music,Female,25-34,2014,east_central,290
digital_music,Female,35-44,2014,east_central,322
digital_music,Female,45-54,2014,east_central,303
digital_music,Female,55+,2014,east_central,330
tv,Male,18-24,2014,east_central,93
tv,Male,25-34,2014,east_central,159
tv,Male,35-44,2014,east_central,197
tv,Male,45-54,2014,east_central,187
tv,Male,55+,2014,east_central,282
tv,Female,18-24,2014,east_central,131
tv,Female,25-34,2014,east_central,246
tv,Female,35-44,2014,east_central,290
tv,Female,45-54,2014,east_central,281
tv,Female,55+,2014,east_central,315
radio,Male,18-24,2014,east_central,81
radio,Male,25-34,2014,east_central,142
radio,Male,35-44,2014,east_central,164
radio,Male,45-54,2014,east_central,167
radio,Male,55+,2014,east_central,209
radio,Female,18-24,2014,east_central,131
radio,Female,25-34,2014,east_central,243
radio,Female,35-44,2014,east_central,264
radio,Female,45-54,2014,east_central,247
radio,Female,55+,2014,east_central,229
magazine,Male,18-24,2014,east_central,86
magazine,Male,25-34,2014,east_central,136
magazine,Male,35-44,2014,east_central,174
magazine,Male,45-54,2014,east_central,173
magazine,Male,55+,2014,east_central,265
magazine,Female,18-24,2014,east_central,142
magazine,Female,25-34,2014,east_central,249
magazine,Female,35-44,2014,east_central,276
magazine,Female,45-54,2014,east_central,265
magazine,Female,55+,2014,east_central,306
movie_goers,Male,18-24,2014,east_central,127
movie_goers,Male,25-34,2014,east_central,199
movie_goers,Male,35-44,2014,east_central,226
movie_goers,Male,45-54,2014,east_central,210
movie_goers,Male,55+,2014,east_central,297
movie_goers,Female,18-24,2014,east_central,175
movie_goers,Female,25-34,2014,east_central,290
movie_goers,Female,35-44,2014,east_central,322
movie_goers,Female,45-54,2014,east_central,303
movie_goers,Female,55+,2014,east_central,330
supermarket_goer_last_4_weeks,Male,18-24,2014,east_central,126
supermarket_goer_last_4_weeks,Male,25-34,2014,east_central,192
supermarket_goer_last_4_weeks,Male,35-44,2014,east_central,221
supermarket_goer_last_4_weeks,Male,45-54,2014,east_central,207
supermarket_goer_last_4_weeks,Male,55+,2014,east_central,293
supermarket_goer_last_4_weeks,Female,18-24,2014,east_central,173
supermarket_goer_last_4_weeks,Female,25-34,2014,east_central,288
supermarket_goer_last_4_weeks,Female,35-44,2014,east_central,317
supermarket_goer_last_4_weeks,Female,45-54,2014,east_central,301
supermarket_goer_last_4_weeks,Female,55+,2014,east_central,329
tablet_owner,Male,18-24,2014,east_central,41
tablet_owner,Male,25-34,2014,east_central,82
tablet_owner,Male,35-44,2014,east_central,117
tablet_owner,Male,45-54,2014,east_central,82
tablet_owner,Male,55+,2014,east_central,82
tablet_owner,Female,18-24,2014,east_central,64
tablet_owner,Female,25-34,2014,east_central,144
tablet_owner,Female,35-44,2014,east_central,159
tablet_owner,Female,45-54,2014,east_central,157
tablet_owner,Female,55+,2014,east_central,111
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2014,east_central,54
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2014,east_central,86
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2014,east_central,89
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2014,east_central,95
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2014,east_central,119
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2014,east_central,92
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2014,east_central,158
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2014,east_central,164
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2014,east_central,168
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2014,east_central,162
social_media_[social_media_user],Male,18-24,2014,east_central,122
social_media_[social_media_user],Male,25-34,2014,east_central,185
social_media_[social_media_user],Male,35-44,2014,east_central,194
social_media_[social_media_user],Male,45-54,2014,east_central,168
social_media_[social_media_user],Male,55+,2014,east_central,196
social_media_[social_media_user],Female,18-24,2014,east_central,171
social_media_[social_media_user],Female,25-34,2014,east_central,281
social_media_[social_media_user],Female,35-44,2014,east_central,299
social_media_[social_media_user],Female,45-54,2014,east_central,274
social_media_[social_media_user],Female,55+,2014,east_central,224
totals,Male,18-24,2015,east_central,75
totals,Male,25-34,2015,east_central,153
totals,Male,35-44,2015,east_central,146
totals,Male,45-54,2015,east_central,158
totals,Male,55+,2015,east_central,240
totals,Female,18-24,2015,east_central,135
totals,Female,25-34,2015,east_central,233
totals,Female,35-44,2015,east_central,238
totals,Female,45-54,2015,east_central,210
totals,Female,55+,2015,east_central,317
video_game,Male,18-24,2015,east_central,54
video_game,Male,25-34,2015,east_central,97
video_game,Male,35-44,2015,east_central,82
video_game,Male,45-54,2015,east_central,50
video_game,Male,55+,2015,east_central,44
video_game,Female,18-24,2015,east_central,58
video_game,Female,25-34,2015,east_central,102
video_game,Female,35-44,2015,east_central,97
video_game,Female,45-54,2015,east_central,57
video_game,Female,55+,2015,east_central,42
streaming_video,Male,18-24,2015,east_central,57
streaming_video,Male,25-34,2015,east_central,126
streaming_video,Male,35-44,2015,east_central,110
streaming_video,Male,45-54,2015,east_central,120
streaming_video,Male,55+,2015,east_central,160
streaming_video,Female,18-24,2015,east_central,114
streaming_video,Female,25-34,2015,east_central,178
streaming_video,Female,35-44,2015,east_central,182
streaming_video,Female,45-54,2015,east_central,158
streaming_video,Female,55+,2015,east_central,229
tv,Male,18-24,2015,east_central,53
tv,Male,25-34,2015,east_central,118
tv,Male,35-44,2015,east_central,117
tv,Male,45-54,2015,east_central,139
tv,Male,55+,2015,east_central,223
tv,Female,18-24,2015,east_central,112
tv,Female,25-34,2015,east_central,199
tv,Female,35-44,2015,east_central,211
tv,Female,45-54,2015,east_central,190
tv,Female,55+,2015,east_central,299
magazine,Male,18-24,2015,east_central,45
magazine,Male,25-34,2015,east_central,103
magazine,Male,35-44,2015,east_central,103
magazine,Male,45-54,2015,east_central,121
magazine,Male,55+,2015,east_central,206
magazine,Female,18-24,2015,east_central,104
magazine,Female,25-34,2015,east_central,178
magazine,Female,35-44,2015,east_central,204
magazine,Female,45-54,2015,east_central,182
magazine,Female,55+,2015,east_central,291
movie_goers,Male,18-24,2015,east_central,75
movie_goers,Male,25-34,2015,east_central,153
movie_goers,Male,35-44,2015,east_central,146
movie_goers,Male,45-54,2015,east_central,158
movie_goers,Male,55+,2015,east_central,240
movie_goers,Female,18-24,2015,east_central,135
movie_goers,Female,25-34,2015,east_central,233
movie_goers,Female,35-44,2015,east_central,238
movie_goers,Female,45-54,2015,east_central,210
movie_goers,Female,55+,2015,east_central,317
supermarket_goer_last_4_weeks,Male,18-24,2015,east_central,74
supermarket_goer_last_4_weeks,Male,25-34,2015,east_central,153
supermarket_goer_last_4_weeks,Male,35-44,2015,east_central,145
supermarket_goer_last_4_weeks,Male,45-54,2015,east_central,157
supermarket_goer_last_4_weeks,Male,55+,2015,east_central,238
supermarket_goer_last_4_weeks,Female,18-24,2015,east_central,131
supermarket_goer_last_4_weeks,Female,25-34,2015,east_central,230
supermarket_goer_last_4_weeks,Female,35-44,2015,east_central,238
supermarket_goer_last_4_weeks,Female,45-54,2015,east_central,209
supermarket_goer_last_4_weeks,Female,55+,2015,east_central,315
tablet_owner,Male,18-24,2015,east_central,16
tablet_owner,Male,25-34,2015,east_central,63
tablet_owner,Male,35-44,2015,east_central,87
tablet_owner,Male,45-54,2015,east_central,74
tablet_owner,Male,55+,2015,east_central,82
tablet_owner,Female,18-24,2015,east_central,56
tablet_owner,Female,25-34,2015,east_central,126
tablet_owner,Female,35-44,2015,east_central,134
tablet_owner,Female,45-54,2015,east_central,103
tablet_owner,Female,55+,2015,east_central,132
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2015,east_central,57
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2015,east_central,112
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2015,east_central,93
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2015,east_central,109
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2015,east_central,161
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2015,east_central,88
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2015,east_central,171
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2015,east_central,169
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2015,east_central,146
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2015,east_central,198
social_media_[social_media_user],Male,18-24,2015,east_central,71
social_media_[social_media_user],Male,25-34,2015,east_central,143
social_media_[social_media_user],Male,35-44,2015,east_central,134
social_media_[social_media_user],Male,45-54,2015,east_central,131
social_media_[social_media_user],Male,55+,2015,east_central,150
social_media_[social_media_user],Female,18-24,2015,east_central,135
social_media_[social_media_user],Female,25-34,2015,east_central,222
social_media_[social_media_user],Female,35-44,2015,east_central,230
social_media_[social_media_user],Female,45-54,2015,east_central,183
social_media_[social_media_user],Female,55+,2015,east_central,237
radio,Male,18-24,2015,east_central,42
radio,Male,25-34,2015,east_central,115
radio,Male,35-44,2015,east_central,109
radio,Male,45-54,2015,east_central,117
radio,Male,55+,2015,east_central,168
radio,Female,18-24,2015,east_central,105
radio,Female,25-34,2015,east_central,202
radio,Female,35-44,2015,east_central,195
radio,Female,45-54,2015,east_central,177
radio,Female,55+,2015,east_central,228
digital_music,Male,18-24,2015,east_central,52
digital_music,Male,25-34,2015,east_central,97
digital_music,Male,35-44,2015,east_central,85
digital_music,Male,45-54,2015,east_central,67
digital_music,Male,55+,2015,east_central,62
digital_music,Female,18-24,2015,east_central,111
digital_music,Female,25-34,2015,east_central,148
digital_music,Female,35-44,2015,east_central,138
digital_music,Female,45-54,2015,east_central,91
digital_music,Female,55+,2015,east_central,93
totals,Male,18-24,2016,east_central,64
totals,Male,25-34,2016,east_central,120
totals,Male,35-44,2016,east_central,141
totals,Male,45-54,2016,east_central,187
totals,Male,55+,2016,east_central,267
totals,Female,18-24,2016,east_central,120
totals,Female,25-34,2016,east_central,191
totals,Female,35-44,2016,east_central,199
totals,Female,45-54,2016,east_central,253
totals,Female,55+,2016,east_central,362
video_game,Male,18-24,2016,east_central,39
video_game,Male,25-34,2016,east_central,86
video_game,Male,35-44,2016,east_central,72
video_game,Male,45-54,2016,east_central,66
video_game,Male,55+,2016,east_central,46
video_game,Female,18-24,2016,east_central,47
video_game,Female,25-34,2016,east_central,69
video_game,Female,35-44,2016,east_central,77
video_game,Female,45-54,2016,east_central,65
video_game,Female,55+,2016,east_central,61
streaming_video,Male,18-24,2016,east_central,51
streaming_video,Male,25-34,2016,east_central,107
streaming_video,Male,35-44,2016,east_central,118
streaming_video,Male,45-54,2016,east_central,154
streaming_video,Male,55+,2016,east_central,196
streaming_video,Female,18-24,2016,east_central,96
streaming_video,Female,25-34,2016,east_central,164
streaming_video,Female,35-44,2016,east_central,163
streaming_video,Female,45-54,2016,east_central,199
streaming_video,Female,55+,2016,east_central,273
digital_music,Male,18-24,2016,east_central,64
digital_music,Male,25-34,2016,east_central,120
digital_music,Male,35-44,2016,east_central,141
digital_music,Male,45-54,2016,east_central,187
digital_music,Male,55+,2016,east_central,267
digital_music,Female,18-24,2016,east_central,120
digital_music,Female,25-34,2016,east_central,191
digital_music,Female,35-44,2016,east_central,199
digital_music,Female,45-54,2016,east_central,253
digital_music,Female,55+,2016,east_central,362
tv,Male,18-24,2016,east_central,41
tv,Male,25-34,2016,east_central,93
tv,Male,35-44,2016,east_central,114
tv,Male,45-54,2016,east_central,165
tv,Male,55+,2016,east_central,248
tv,Female,18-24,2016,east_central,92
tv,Female,25-34,2016,east_central,160
tv,Female,35-44,2016,east_central,180
tv,Female,45-54,2016,east_central,227
tv,Female,55+,2016,east_central,341
radio,Male,18-24,2016,east_central,42
radio,Male,25-34,2016,east_central,83
radio,Male,35-44,2016,east_central,108
radio,Male,45-54,2016,east_central,149
radio,Male,55+,2016,east_central,186
radio,Female,18-24,2016,east_central,85
radio,Female,25-34,2016,east_central,153
radio,Female,35-44,2016,east_central,160
radio,Female,45-54,2016,east_central,198
radio,Female,55+,2016,east_central,247
magazine,Male,18-24,2016,east_central,45
magazine,Male,25-34,2016,east_central,83
magazine,Male,35-44,2016,east_central,87
magazine,Male,45-54,2016,east_central,145
magazine,Male,55+,2016,east_central,233
magazine,Female,18-24,2016,east_central,88
magazine,Female,25-34,2016,east_central,154
magazine,Female,35-44,2016,east_central,165
magazine,Female,45-54,2016,east_central,211
magazine,Female,55+,2016,east_central,322
movie_goers,Male,18-24,2016,east_central,64
movie_goers,Male,25-34,2016,east_central,120
movie_goers,Male,35-44,2016,east_central,141
movie_goers,Male,45-54,2016,east_central,187
movie_goers,Male,55+,2016,east_central,267
movie_goers,Female,18-24,2016,east_central,120
movie_goers,Female,25-34,2016,east_central,191
movie_goers,Female,35-44,2016,east_central,199
movie_goers,Female,45-54,2016,east_central,253
movie_goers,Female,55+,2016,east_central,362
supermarket_goer_last_4_weeks,Male,18-24,2016,east_central,63
supermarket_goer_last_4_weeks,Male,25-34,2016,east_central,120
supermarket_goer_last_4_weeks,Male,35-44,2016,east_central,140
supermarket_goer_last_4_weeks,Male,45-54,2016,east_central,185
supermarket_goer_last_4_weeks,Male,55+,2016,east_central,266
supermarket_goer_last_4_weeks,Female,18-24,2016,east_central,117
supermarket_goer_last_4_weeks,Female,25-34,2016,east_central,191
supermarket_goer_last_4_weeks,Female,35-44,2016,east_central,198
supermarket_goer_last_4_weeks,Female,45-54,2016,east_central,250
supermarket_goer_last_4_weeks,Female,55+,2016,east_central,357
tablet_owner,Male,18-24,2016,east_central,19
tablet_owner,Male,25-34,2016,east_central,50
tablet_owner,Male,35-44,2016,east_central,76
tablet_owner,Male,45-54,2016,east_central,97
tablet_owner,Male,55+,2016,east_central,95
tablet_owner,Female,18-24,2016,east_central,53
tablet_owner,Female,25-34,2016,east_central,112
tablet_owner,Female,35-44,2016,east_central,117
tablet_owner,Female,45-54,2016,east_central,150
tablet_owner,Female,55+,2016,east_central,171
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2016,east_central,26
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2016,east_central,57
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2016,east_central,66
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2016,east_central,89
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2016,east_central,121
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2016,east_central,64
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2016,east_central,112
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2016,east_central,96
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2016,east_central,141
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2016,east_central,171
social_media_[social_media_user],Male,18-24,2016,east_central,58
social_media_[social_media_user],Male,25-34,2016,east_central,112
social_media_[social_media_user],Male,35-44,2016,east_central,131
social_media_[social_media_user],Male,45-54,2016,east_central,155
social_media_[social_media_user],Male,55+,2016,east_central,190
social_media_[social_media_user],Female,18-24,2016,east_central,118
social_media_[social_media_user],Female,25-34,2016,east_central,188
social_media_[social_media_user],Female,35-44,2016,east_central,196
social_media_[social_media_user],Female,45-54,2016,east_central,232
social_media_[social_media_user],Female,55+,2016,east_central,282
totals,Male,18-24,2017,east_central,61
totals,Male,25-34,2017,east_central,102
totals,Male,35-44,2017,east_central,84
totals,Male,45-54,2017,east_central,60
totals,Male,55+,2017,east_central,52
totals,Female,18-24,2017,east_central,40
totals,Female,25-34,2017,east_central,88
totals,Female,35-44,2017,east_central,73
totals,Female,45-54,2017,east_central,65
totals,Female,55+,2017,east_central,69
video_game,Male,18-24,2017,east_central,60
video_game,Male,25-34,2017,east_central,101
video_game,Male,35-44,2017,east_central,82
video_game,Male,45-54,2017,east_central,53
video_game,Male,55+,2017,east_central,46
video_game,Female,18-24,2017,east_central,40
video_game,Female,25-34,2017,east_central,81
video_game,Female,35-44,2017,east_central,65
video_game,Female,45-54,2017,east_central,56
video_game,Female,55+,2017,east_central,47
streaming_video,Male,18-24,2017,east_central,54
streaming_video,Male,25-34,2017,east_central,85
streaming_video,Male,35-44,2017,east_central,67
streaming_video,Male,45-54,2017,east_central,53
streaming_video,Male,55+,2017,east_central,44
streaming_video,Female,18-24,2017,east_central,37
streaming_video,Female,25-34,2017,east_central,83
streaming_video,Female,35-44,2017,east_central,61
streaming_video,Female,45-54,2017,east_central,53
streaming_video,Female,55+,2017,east_central,54
digital_music,Male,18-24,2017,east_central,61
digital_music,Male,25-34,2017,east_central,102
digital_music,Male,35-44,2017,east_central,84
digital_music,Male,45-54,2017,east_central,60
digital_music,Male,55+,2017,east_central,52
digital_music,Female,18-24,2017,east_central,40
digital_music,Female,25-34,2017,east_central,88
digital_music,Female,35-44,2017,east_central,73
digital_music,Female,45-54,2017,east_central,65
digital_music,Female,55+,2017,east_central,69
tv,Male,18-24,2017,east_central,35
tv,Male,25-34,2017,east_central,76
tv,Male,35-44,2017,east_central,69
tv,Male,45-54,2017,east_central,53
tv,Male,55+,2017,east_central,46
tv,Female,18-24,2017,east_central,28
tv,Female,25-34,2017,east_central,73
tv,Female,35-44,2017,east_central,60
tv,Female,45-54,2017,east_central,54
tv,Female,55+,2017,east_central,65
radio,Male,18-24,2017,east_central,29
radio,Male,25-34,2017,east_central,70
radio,Male,35-44,2017,east_central,59
radio,Male,45-54,2017,east_central,40
radio,Male,55+,2017,east_central,39
radio,Female,18-24,2017,east_central,32
radio,Female,25-34,2017,east_central,63
radio,Female,35-44,2017,east_central,60
radio,Female,45-54,2017,east_central,54
radio,Female,55+,2017,east_central,54
magazine,Male,18-24,2017,east_central,35
magazine,Male,25-34,2017,east_central,67
magazine,Male,35-44,2017,east_central,63
magazine,Male,45-54,2017,east_central,50
magazine,Male,55+,2017,east_central,43
magazine,Female,18-24,2017,east_central,28
magazine,Female,25-34,2017,east_central,64
magazine,Female,35-44,2017,east_central,56
magazine,Female,45-54,2017,east_central,53
magazine,Female,55+,2017,east_central,64
movie_goers,Male,18-24,2017,east_central,61
movie_goers,Male,25-34,2017,east_central,102
movie_goers,Male,35-44,2017,east_central,84
movie_goers,Male,45-54,2017,east_central,60
movie_goers,Male,55+,2017,east_central,52
movie_goers,Female,18-24,2017,east_central,40
movie_goers,Female,25-34,2017,east_central,88
movie_goers,Female,35-44,2017,east_central,73
movie_goers,Female,45-54,2017,east_central,65
movie_goers,Female,55+,2017,east_central,69
supermarket_goer_last_4_weeks,Male,18-24,2017,east_central,55
supermarket_goer_last_4_weeks,Male,25-34,2017,east_central,101
supermarket_goer_last_4_weeks,Male,35-44,2017,east_central,81
supermarket_goer_last_4_weeks,Male,45-54,2017,east_central,58
supermarket_goer_last_4_weeks,Male,55+,2017,east_central,51
supermarket_goer_last_4_weeks,Female,18-24,2017,east_central,38
supermarket_goer_last_4_weeks,Female,25-34,2017,east_central,87
supermarket_goer_last_4_weeks,Female,35-44,2017,east_central,72
supermarket_goer_last_4_weeks,Female,45-54,2017,east_central,64
supermarket_goer_last_4_weeks,Female,55+,2017,east_central,65
tablet_owner,Male,18-24,2017,east_central,17
tablet_owner,Male,25-34,2017,east_central,51
tablet_owner,Male,35-44,2017,east_central,51
tablet_owner,Male,45-54,2017,east_central,35
tablet_owner,Male,55+,2017,east_central,33
tablet_owner,Female,18-24,2017,east_central,23
tablet_owner,Female,25-34,2017,east_central,58
tablet_owner,Female,35-44,2017,east_central,51
tablet_owner,Female,45-54,2017,east_central,45
tablet_owner,Female,55+,2017,east_central,37
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2017,east_central,30
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2017,east_central,47
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2017,east_central,40
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2017,east_central,33
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2017,east_central,17
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2017,east_central,23
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2017,east_central,44
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2017,east_central,40
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2017,east_central,33
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2017,east_central,31
social_media_[social_media_user],Male,18-24,2017,east_central,57
social_media_[social_media_user],Male,25-34,2017,east_central,99
social_media_[social_media_user],Male,35-44,2017,east_central,79
social_media_[social_media_user],Male,45-54,2017,east_central,52
social_media_[social_media_user],Male,55+,2017,east_central,47
social_media_[social_media_user],Female,18-24,2017,east_central,39
social_media_[social_media_user],Female,25-34,2017,east_central,88
social_media_[social_media_user],Female,35-44,2017,east_central,72
social_media_[social_media_user],Female,45-54,2017,east_central,61
social_media_[social_media_user],Female,55+,2017,east_central,62
