category,gender,age,year,division,population
totals,Male,18-24,2013,south_east,27
totals,Male,25-34,2013,south_east,72
totals,Male,35-44,2013,south_east,76
totals,Male,45-54,2013,south_east,74
totals,Male,55+,2013,south_east,145
totals,Female,18-24,2013,south_east,50
totals,Female,25-34,2013,south_east,91
totals,Female,35-44,2013,south_east,115
totals,Female,45-54,2013,south_east,130
totals,Female,55+,2013,south_east,140
video_game,Male,18-24,2013,south_east,23
video_game,Male,25-34,2013,south_east,58
video_game,Male,35-44,2013,south_east,50
video_game,Male,45-54,2013,south_east,23
video_game,Male,55+,2013,south_east,29
video_game,Female,18-24,2013,south_east,31
video_game,Female,25-34,2013,south_east,42
video_game,Female,35-44,2013,south_east,59
video_game,Female,45-54,2013,south_east,35
video_game,Female,55+,2013,south_east,24
tv,Male,18-24,2013,south_east,20
tv,Male,25-34,2013,south_east,61
tv,Male,35-44,2013,south_east,68
tv,Male,45-54,2013,south_east,68
tv,Male,55+,2013,south_east,140
tv,Female,18-24,2013,south_east,33
tv,Female,25-34,2013,south_east,77
tv,Female,35-44,2013,south_east,104
tv,Female,45-54,2013,south_east,122
tv,Female,55+,2013,south_east,127
radio,Male,18-24,2013,south_east,19
radio,Male,25-34,2013,south_east,51
radio,Male,35-44,2013,south_east,58
radio,Male,45-54,2013,south_east,58
radio,Male,55+,2013,south_east,96
radio,Female,18-24,2013,south_east,33
radio,Female,25-34,2013,south_east,70
radio,Female,35-44,2013,south_east,93
radio,Female,45-54,2013,south_east,102
radio,Female,55+,2013,south_east,105
magazine,Male,18-24,2013,south_east,26
magazine,Male,25-34,2013,south_east,72
magazine,Male,35-44,2013,south_east,73
magazine,Male,45-54,2013,south_east,67
magazine,Male,55+,2013,south_east,137
magazine,Female,18-24,2013,south_east,47
magazine,Female,25-34,2013,south_east,85
magazine,Female,35-44,2013,south_east,114
magazine,Female,45-54,2013,south_east,121
magazine,Female,55+,2013,south_east,138
movie_goers,Male,18-24,2013,south_east,27
movie_goers,Male,25-34,2013,south_east,72
movie_goers,Male,35-44,2013,south_east,76
movie_goers,Male,45-54,2013,south_east,74
movie_goers,Male,55+,2013,south_east,145
movie_goers,Female,18-24,2013,south_east,50
movie_goers,Female,25-34,2013,south_east,91
movie_goers,Female,35-44,2013,south_east,115
movie_goers,Female,45-54,2013,south_east,130
movie_goers,Female,55+,2013,south_east,140
supermarket_goer_last_4_weeks,Male,18-24,2013,south_east,26
supermarket_goer_last_4_weeks,Male,25-34,2013,south_east,72
supermarket_goer_last_4_weeks,Male,35-44,2013,south_east,74
supermarket_goer_last_4_weeks,Male,45-54,2013,south_east,74
supermarket_goer_last_4_weeks,Male,55+,2013,south_east,144
supermarket_goer_last_4_weeks,Female,18-24,2013,south_east,49
supermarket_goer_last_4_weeks,Female,25-34,2013,south_east,91
supermarket_goer_last_4_weeks,Female,35-44,2013,south_east,114
supermarket_goer_last_4_weeks,Female,45-54,2013,south_east,130
supermarket_goer_last_4_weeks,Female,55+,2013,south_east,139
tablet_owner,Male,18-24,2013,south_east,9
tablet_owner,Male,25-34,2013,south_east,21
tablet_owner,Male,35-44,2013,south_east,32
tablet_owner,Male,45-54,2013,south_east,28
tablet_owner,Male,55+,2013,south_east,41
tablet_owner,Female,18-24,2013,south_east,19
tablet_owner,Female,25-34,2013,south_east,34
tablet_owner,Female,35-44,2013,south_east,50
tablet_owner,Female,45-54,2013,south_east,51
tablet_owner,Female,55+,2013,south_east,48
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,south_east,15
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2013,south_east,34
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2013,south_east,42
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2013,south_east,32
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2013,south_east,67
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2013,south_east,31
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2013,south_east,46
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2013,south_east,67
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2013,south_east,70
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2013,south_east,62
social_media_[social_media_user],Male,18-24,2013,south_east,26
social_media_[social_media_user],Male,25-34,2013,south_east,68
social_media_[social_media_user],Male,35-44,2013,south_east,67
social_media_[social_media_user],Male,45-54,2013,south_east,63
social_media_[social_media_user],Male,55+,2013,south_east,101
social_media_[social_media_user],Female,18-24,2013,south_east,48
social_media_[social_media_user],Female,25-34,2013,south_east,91
social_media_[social_media_user],Female,35-44,2013,south_east,102
social_media_[social_media_user],Female,45-54,2013,south_east,112
social_media_[social_media_user],Female,55+,2013,south_east,102
totals,Male,18-24,2014,south_east,34
totals,Male,25-34,2014,south_east,64
totals,Male,35-44,2014,south_east,71
totals,Male,45-54,2014,south_east,85
totals,Male,55+,2014,south_east,141
totals,Female,18-24,2014,south_east,64
totals,Female,25-34,2014,south_east,97
totals,Female,35-44,2014,south_east,120
totals,Female,45-54,2014,south_east,133
totals,Female,55+,2014,south_east,146
video_game,Male,18-24,2014,south_east,30
video_game,Male,25-34,2014,south_east,41
video_game,Male,35-44,2014,south_east,39
video_game,Male,45-54,2014,south_east,28
video_game,Male,55+,2014,south_east,32
video_game,Female,18-24,2014,south_east,33
video_game,Female,25-34,2014,south_east,47
video_game,Female,35-44,2014,south_east,49
video_game,Female,45-54,2014,south_east,44
video_game,Female,55+,2014,south_east,33
digital_music,Male,18-24,2014,south_east,34
digital_music,Male,25-34,2014,south_east,64
digital_music,Male,35-44,2014,south_east,71
digital_music,Male,45-54,2014,south_east,85
digital_music,Male,55+,2014,south_east,141
digital_music,Female,18-24,2014,south_east,64
digital_music,Female,25-34,2014,south_east,97
digital_music,Female,35-44,2014,south_east,120
digital_music,Female,45-54,2014,south_east,133
digital_music,Female,55+,2014,south_east,146
tv,Male,18-24,2014,south_east,27
tv,Male,25-34,2014,south_east,49
tv,Male,35-44,2014,south_east,63
tv,Male,45-54,2014,south_east,74
tv,Male,55+,2014,south_east,132
tv,Female,18-24,2014,south_east,48
tv,Female,25-34,2014,south_east,84
tv,Female,35-44,2014,south_east,105
tv,Female,45-54,2014,south_east,122
tv,Female,55+,2014,south_east,138
radio,Male,18-24,2014,south_east,21
radio,Male,25-34,2014,south_east,40
radio,Male,35-44,2014,south_east,52
radio,Male,45-54,2014,south_east,64
radio,Male,55+,2014,south_east,96
radio,Female,18-24,2014,south_east,48
radio,Female,25-34,2014,south_east,77
radio,Female,35-44,2014,south_east,96
radio,Female,45-54,2014,south_east,104
radio,Female,55+,2014,south_east,95
magazine,Male,18-24,2014,south_east,27
magazine,Male,25-34,2014,south_east,48
magazine,Male,35-44,2014,south_east,58
magazine,Male,45-54,2014,south_east,70
magazine,Male,55+,2014,south_east,129
magazine,Female,18-24,2014,south_east,54
magazine,Female,25-34,2014,south_east,85
magazine,Female,35-44,2014,south_east,102
magazine,Female,45-54,2014,south_east,113
magazine,Female,55+,2014,south_east,135
movie_goers,Male,18-24,2014,south_east,34
movie_goers,Male,25-34,2014,south_east,64
movie_goers,Male,35-44,2014,south_east,71
movie_goers,Male,45-54,2014,south_east,85
movie_goers,Male,55+,2014,south_east,141
movie_goers,Female,18-24,2014,south_east,64
movie_goers,Female,25-34,2014,south_east,97
movie_goers,Female,35-44,2014,south_east,120
movie_goers,Female,45-54,2014,south_east,133
movie_goers,Female,55+,2014,south_east,146
supermarket_goer_last_4_weeks,Male,18-24,2014,south_east,34
supermarket_goer_last_4_weeks,Male,25-34,2014,south_east,62
supermarket_goer_last_4_weeks,Male,35-44,2014,south_east,69
supermarket_goer_last_4_weeks,Male,45-54,2014,south_east,85
supermarket_goer_last_4_weeks,Male,55+,2014,south_east,140
supermarket_goer_last_4_weeks,Female,18-24,2014,south_east,64
supermarket_goer_last_4_weeks,Female,25-34,2014,south_east,97
supermarket_goer_last_4_weeks,Female,35-44,2014,south_east,120
supermarket_goer_last_4_weeks,Female,45-54,2014,south_east,132
supermarket_goer_last_4_weeks,Female,55+,2014,south_east,145
tablet_owner,Male,18-24,2014,south_east,10
tablet_owner,Male,25-34,2014,south_east,25
tablet_owner,Male,35-44,2014,south_east,37
tablet_owner,Male,45-54,2014,south_east,33
tablet_owner,Male,55+,2014,south_east,42
tablet_owner,Female,18-24,2014,south_east,22
tablet_owner,Female,25-34,2014,south_east,50
tablet_owner,Female,35-44,2014,south_east,61
tablet_owner,Female,45-54,2014,south_east,71
tablet_owner,Female,55+,2014,south_east,52
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2014,south_east,15
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2014,south_east,26
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2014,south_east,25
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2014,south_east,43
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2014,south_east,60
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2014,south_east,36
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2014,south_east,52
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2014,south_east,62
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2014,south_east,71
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2014,south_east,73
social_media_[social_media_user],Male,18-24,2014,south_east,32
social_media_[social_media_user],Male,25-34,2014,south_east,60
social_media_[social_media_user],Male,35-44,2014,south_east,62
social_media_[social_media_user],Male,45-54,2014,south_east,73
social_media_[social_media_user],Male,55+,2014,south_east,93
social_media_[social_media_user],Female,18-24,2014,south_east,61
social_media_[social_media_user],Female,25-34,2014,south_east,94
social_media_[social_media_user],Female,35-44,2014,south_east,116
social_media_[social_media_user],Female,45-54,2014,south_east,121
social_media_[social_media_user],Female,55+,2014,south_east,105
totals,Male,18-24,2015,south_east,30
totals,Male,25-34,2015,south_east,56
totals,Male,35-44,2015,south_east,56
totals,Male,45-54,2015,south_east,74
totals,Male,55+,2015,south_east,110
totals,Female,18-24,2015,south_east,35
totals,Female,25-34,2015,south_east,79
totals,Female,35-44,2015,south_east,96
totals,Female,45-54,2015,south_east,94
totals,Female,55+,2015,south_east,159
video_game,Male,18-24,2015,south_east,21
video_game,Male,25-34,2015,south_east,38
video_game,Male,35-44,2015,south_east,29
video_game,Male,45-54,2015,south_east,20
video_game,Male,55+,2015,south_east,21
video_game,Female,18-24,2015,south_east,13
video_game,Female,25-34,2015,south_east,41
video_game,Female,35-44,2015,south_east,39
video_game,Female,45-54,2015,south_east,30
video_game,Female,55+,2015,south_east,25
streaming_video,Male,18-24,2015,south_east,24
streaming_video,Male,25-34,2015,south_east,45
streaming_video,Male,35-44,2015,south_east,39
streaming_video,Male,45-54,2015,south_east,56
streaming_video,Male,55+,2015,south_east,71
streaming_video,Female,18-24,2015,south_east,25
streaming_video,Female,25-34,2015,south_east,62
streaming_video,Female,35-44,2015,south_east,79
streaming_video,Female,45-54,2015,south_east,72
streaming_video,Female,55+,2015,south_east,116
tv,Male,18-24,2015,south_east,19
tv,Male,25-34,2015,south_east,43
tv,Male,35-44,2015,south_east,46
tv,Male,45-54,2015,south_east,64
tv,Male,55+,2015,south_east,102
tv,Female,18-24,2015,south_east,27
tv,Female,25-34,2015,south_east,69
tv,Female,35-44,2015,south_east,88
tv,Female,45-54,2015,south_east,83
tv,Female,55+,2015,south_east,151
magazine,Male,18-24,2015,south_east,20
magazine,Male,25-34,2015,south_east,35
magazine,Male,35-44,2015,south_east,42
magazine,Male,45-54,2015,south_east,55
magazine,Male,55+,2015,south_east,96
magazine,Female,18-24,2015,south_east,28
magazine,Female,25-34,2015,south_east,66
magazine,Female,35-44,2015,south_east,87
magazine,Female,45-54,2015,south_east,84
magazine,Female,55+,2015,south_east,144
movie_goers,Male,18-24,2015,south_east,30
movie_goers,Male,25-34,2015,south_east,56
movie_goers,Male,35-44,2015,south_east,56
movie_goers,Male,45-54,2015,south_east,74
movie_goers,Male,55+,2015,south_east,110
movie_goers,Female,18-24,2015,south_east,35
movie_goers,Female,25-34,2015,south_east,79
movie_goers,Female,35-44,2015,south_east,96
movie_goers,Female,45-54,2015,south_east,94
movie_goers,Female,55+,2015,south_east,159
supermarket_goer_last_4_weeks,Male,18-24,2015,south_east,30
supermarket_goer_last_4_weeks,Male,25-34,2015,south_east,56
supermarket_goer_last_4_weeks,Male,35-44,2015,south_east,55
supermarket_goer_last_4_weeks,Male,45-54,2015,south_east,73
supermarket_goer_last_4_weeks,Male,55+,2015,south_east,108
supermarket_goer_last_4_weeks,Female,18-24,2015,south_east,35
supermarket_goer_last_4_weeks,Female,25-34,2015,south_east,78
supermarket_goer_last_4_weeks,Female,35-44,2015,south_east,96
supermarket_goer_last_4_weeks,Female,45-54,2015,south_east,94
supermarket_goer_last_4_weeks,Female,55+,2015,south_east,159
tablet_owner,Male,18-24,2015,south_east,7
tablet_owner,Male,25-34,2015,south_east,26
tablet_owner,Male,35-44,2015,south_east,37
tablet_owner,Male,45-54,2015,south_east,34
tablet_owner,Male,55+,2015,south_east,40
tablet_owner,Female,18-24,2015,south_east,17
tablet_owner,Female,25-34,2015,south_east,42
tablet_owner,Female,35-44,2015,south_east,57
tablet_owner,Female,45-54,2015,south_east,44
tablet_owner,Female,55+,2015,south_east,68
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2015,south_east,23
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2015,south_east,45
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2015,south_east,31
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2015,south_east,56
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2015,south_east,66
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2015,south_east,22
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2015,south_east,55
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2015,south_east,68
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2015,south_east,58
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2015,south_east,102
social_media_[social_media_user],Male,18-24,2015,south_east,29
social_media_[social_media_user],Male,25-34,2015,south_east,54
social_media_[social_media_user],Male,35-44,2015,south_east,50
social_media_[social_media_user],Male,45-54,2015,south_east,60
social_media_[social_media_user],Male,55+,2015,south_east,78
social_media_[social_media_user],Female,18-24,2015,south_east,35
social_media_[social_media_user],Female,25-34,2015,south_east,77
social_media_[social_media_user],Female,35-44,2015,south_east,94
