category,gender,age,year,division,population
totals,Male,18-24,2013,south_west,51
totals,Male,25-34,2013,south_west,88
totals,Male,35-44,2013,south_west,122
totals,Male,45-54,2013,south_west,96
totals,Male,55+,2013,south_west,102
totals,Female,18-24,2013,south_west,84
totals,Female,25-34,2013,south_west,149
totals,Female,35-44,2013,south_west,144
totals,Female,45-54,2013,south_west,112
totals,Female,55+,2013,south_west,145
video_game,Male,18-24,2013,south_west,38
video_game,Male,25-34,2013,south_west,62
video_game,Male,35-44,2013,south_west,75
video_game,Male,45-54,2013,south_west,38
video_game,Male,55+,2013,south_west,17
video_game,Female,18-24,2013,south_west,38
video_game,Female,25-34,2013,south_west,79
video_game,Female,35-44,2013,south_west,71
video_game,Female,45-54,2013,south_west,26
video_game,Female,55+,2013,south_west,26
tv,Male,18-24,2013,south_west,38
tv,Male,25-34,2013,south_west,74
tv,Male,35-44,2013,south_west,114
tv,Male,45-54,2013,south_west,89
tv,Male,55+,2013,south_west,93
tv,Female,18-24,2013,south_west,67
tv,Female,25-34,2013,south_west,128
tv,Female,35-44,2013,south_west,134
tv,Female,45-54,2013,south_west,101
tv,Female,55+,2013,south_west,133
radio,Male,18-24,2013,south_west,29
radio,Male,25-34,2013,south_west,69
radio,Male,35-44,2013,south_west,100
radio,Male,45-54,2013,south_west,79
radio,Male,55+,2013,south_west,75
radio,Female,18-24,2013,south_west,71
radio,Female,25-34,2013,south_west,122
radio,Female,35-44,2013,south_west,126
radio,Female,45-54,2013,south_west,85
radio,Female,55+,2013,south_west,109
magazine,Male,18-24,2013,south_west,50
magazine,Male,25-34,2013,south_west,86
magazine,Male,35-44,2013,south_west,114
magazine,Male,45-54,2013,south_west,93
magazine,Male,55+,2013,south_west,99
magazine,Female,18-24,2013,south_west,84
magazine,Female,25-34,2013,south_west,145
magazine,Female,35-44,2013,south_west,139
magazine,Female,45-54,2013,south_west,108
magazine,Female,55+,2013,south_west,139
movie_goers,Male,18-24,2013,south_west,51
movie_goers,Male,25-34,2013,south_west,88
movie_goers,Male,35-44,2013,south_west,122
movie_goers,Male,45-54,2013,south_west,96
movie_goers,Male,55+,2013,south_west,102
movie_goers,Female,18-24,2013,south_west,84
movie_goers,Female,25-34,2013,south_west,149
movie_goers,Female,35-44,2013,south_west,144
movie_goers,Female,45-54,2013,south_west,112
movie_goers,Female,55+,2013,south_west,145
supermarket_goer_last_4_weeks,Male,18-24,2013,south_west,51
supermarket_goer_last_4_weeks,Male,25-34,2013,south_west,85
supermarket_goer_last_4_weeks,Male,35-44,2013,south_west,122
supermarket_goer_last_4_weeks,Male,45-54,2013,south_west,95
supermarket_goer_last_4_weeks,Male,55+,2013,south_west,100
supermarket_goer_last_4_weeks,Female,18-24,2013,south_west,84
supermarket_goer_last_4_weeks,Female,25-34,2013,south_west,147
supermarket_goer_last_4_weeks,Female,35-44,2013,south_west,143
supermarket_goer_last_4_weeks,Female,45-54,2013,south_west,111
supermarket_goer_last_4_weeks,Female,55+,2013,south_west,144
tablet_owner,Male,18-24,2013,south_west,10
tablet_owner,Male,25-34,2013,south_west,27
tablet_owner,Male,35-44,2013,south_west,50
tablet_owner,Male,45-54,2013,south_west,36
tablet_owner,Male,55+,2013,south_west,20
tablet_owner,Female,18-24,2013,south_west,19
tablet_owner,Female,25-34,2013,south_west,60
tablet_owner,Female,35-44,2013,south_west,56
tablet_owner,Female,45-54,2013,south_west,32
tablet_owner,Female,55+,2013,south_west,42
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,south_west,28
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2013,south_west,44
all_live_theater/concerts/dance-attended_last_12_months,Male,35-44,2013,south_west,56
all_live_theater/concerts/dance-attended_last_12_months,Male,45-54,2013,south_west,41
all_live_theater/concerts/dance-attended_last_12_months,Male,55+,2013,south_west,34
all_live_theater/concerts/dance-attended_last_12_months,Female,18-24,2013,south_west,39
all_live_theater/concerts/dance-attended_last_12_months,Female,25-34,2013,south_west,64
all_live_theater/concerts/dance-attended_last_12_months,Female,35-44,2013,south_west,68
all_live_theater/concerts/dance-attended_last_12_months,Female,45-54,2013,south_west,54
all_live_theater/concerts/dance-attended_last_12_months,Female,55+,2013,south_west,59
social_media_[social_media_user],Male,18-24,2013,south_west,48
social_media_[social_media_user],Male,25-34,2013,south_west,76
social_media_[social_media_user],Male,35-44,2013,south_west,106
social_media_[social_media_user],Male,45-54,2013,south_west,64
social_media_[social_media_user],Male,55+,2013,south_west,64
social_media_[social_media_user],Female,18-24,2013,south_west,81
social_media_[social_media_user],Female,25-34,2013,south_west,136
social_media_[social_media_user],Female,35-44,2013,south_west,131
social_media_[social_media_user],Female,45-54,2013,south_west,97
social_media_[social_media_user],Female,55+,2013,south_west,101
totals,Male,18-24,2014,south_west,93
totals,Male,25-34,2014,south_west,135
totals,Male,35-44,2014,south_west,155
totals,Male,45-54,2014,south_west,125
totals,Male,55+,2014,south_west,184
totals,Female,18-24,2014,south_west,111
totals,Female,25-34,2014,south_west,193
totals,Female,35-44,2014,south_west,202
totals,Female,45-54,2014,south_west,170
totals,Female,55+,2014,south_west,340
video_game,Male,18-24,2014,south_west,75
video_game,Male,25-34,2014,south_west,90
video_game,Male,35-44,2014,south_west,85
video_game,Male,45-54,2014,south_west,41
video_game,Male,55+,2014,south_west,32
video_game,Female,18-24,2014,south_west,59
video_game,Female,25-34,2014,south_west,95
video_game,Female,35-44,2014,south_west,84
video_game,Female,45-54,2014,south_west,42
video_game,Female,55+,2014,south_west,64
digital_music,Male,18-24,2014,south_west,93
digital_music,Male,25-34,2014,south_west,135
digital_music,Male,35-44,2014,south_west,155
digital_music,Male,45-54,2014,south_west,125
digital_music,Male,55+,2014,south_west,184
digital_music,Female,18-24,2014,south_west,111
digital_music,Female,25-34,2014,south_west,193
digital_music,Female,35-44,2014,south_west,202
digital_music,Female,45-54,2014,south_west,170
digital_music,Female,55+,2014,south_west,340
tv,Male,18-24,2014,south_west,66
tv,Male,25-34,2014,south_west,110
tv,Male,35-44,2014,south_west,134
tv,Male,45-54,2014,south_west,113
tv,Male,55+,2014,south_west,177
tv,Female,18-24,2014,south_west,83
tv,Female,25-34,2014,south_west,162
tv,Female,35-44,2014,south_west,185
tv,Female,45-54,2014,south_west,159
tv,Female,55+,2014,south_west,327
radio,Male,18-24,2014,south_west,60
radio,Male,25-34,2014,south_west,102
radio,Male,35-44,2014,south_west,112
radio,Male,45-54,2014,south_west,103
radio,Male,55+,2014,south_west,134
radio,Female,18-24,2014,south_west,83
radio,Female,25-34,2014,south_west,166
radio,Female,35-44,2014,south_west,168
radio,Female,45-54,2014,south_west,143
radio,Female,55+,2014,south_west,247
magazine,Male,18-24,2014,south_west,59
magazine,Male,25-34,2014,south_west,88
magazine,Male,35-44,2014,south_west,116
magazine,Male,45-54,2014,south_west,103
magazine,Male,55+,2014,south_west,171
magazine,Female,18-24,2014,south_west,88
magazine,Female,25-34,2014,south_west,164
magazine,Female,35-44,2014,south_west,174
magazine,Female,45-54,2014,south_west,152
magazine,Female,55+,2014,south_west,307
movie_goers,Male,18-24,2014,south_west,93
movie_goers,Male,25-34,2014,south_west,135
movie_goers,Male,35-44,2014,south_west,155
movie_goers,Male,45-54,2014,south_west,125
movie_goers,Male,55+,2014,south_west,184
movie_goers,Female,18-24,2014,south_west,111
movie_goers,Female,25-34,2014,south_west,193
movie_goers,Female,35-44,2014,south_west,202
movie_goers,Female,45-54,2014,south_west,170
movie_goers,Female,55+,2014,south_west,340
supermarket_goer_last_4_weeks,Male,18-24,2014,south_west,92
supermarket_goer_last_4_weeks,Male,25-34,2014,south_west,130
supermarket_goer_last_4_weeks,Male,35-44,2014,south_west,152
supermarket_goer_last_4_weeks,Male,45-54,2014,south_west,122
supermarket_goer_last_4_weeks,Male,55+,2014,south_west,184
supermarket_goer_last_4_weeks,Female,18-24,2014,south_west,109
supermarket_goer_last_4_weeks,Female,25-34,2014,south_west,191
supermarket_goer_last_4_weeks,Female,35-44,2014,south_west,197
supermarket_goer_last_4_weeks,Female,45-54,2014,south_west,169
supermarket_goer_last_4_weeks,Female,55+,2014,south_west,337
tablet_owner,Male,18-24,2014,south_west,31
tablet_owner,Male,25-34,2014,south_west,57
tablet_owner,Male,35-44,2014,south_west,80
tablet_owner,Male,45-54,2014,south_west,49
tablet_owner,Male,55+,2014,south_west,59
tablet_owner,Female,18-24,2014,south_west,42
tablet_owner,Female,25-34,2014,south_west,94
tablet_owner,Female,35-44,2014,south_west,98
tablet_owner,Female,45-54,2014,south_west,86
tablet_owner,Female,55+,2014,south_west,99
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2014,south_west,39
all_live_theater/concerts/dance-attended_last_12_months,Male,25-34,2014,south_west,60
