category,gender,age,year,division,population
totals,Male,18-24,2013,west_central,55
totals,Male,25-34,2013,west_central,78
totals,Male,35-44,2013,west_central,85
totals,Male,45-54,2013,west_central,87
totals,Male,55+,2013,west_central,109
totals,Female,18-24,2013,west_central,62
totals,Female,25-34,2013,west_central,101
totals,Female,35-44,2013,west_central,93
totals,Female,45-54,2013,west_central,95
totals,Female,55+,2013,west_central,141
video_game,Male,18-24,2013,west_central,43
video_game,Male,25-34,2013,west_central,65
video_game,Male,35-44,2013,west_central,58
video_game,Male,45-54,2013,west_central,30
video_game,Male,55+,2013,west_central,21
video_game,Female,18-24,2013,west_central,32
video_game,Female,25-34,2013,west_central,57
video_game,Female,35-44,2013,west_central,48
video_game,Female,45-54,2013,west_central,30
video_game,Female,55+,2013,west_central,13
tv,Male,18-24,2013,west_central,41
tv,Male,25-34,2013,west_central,63
tv,Male,35-44,2013,west_central,76
tv,Male,45-54,2013,west_central,77
tv,Male,55+,2013,west_central,101
tv,Female,18-24,2013,west_central,51
tv,Female,25-34,2013,west_central,91
tv,Female,35-44,2013,west_central,82
tv,Female,45-54,2013,west_central,85
tv,Female,55+,2013,west_central,132
radio,Male,18-24,2013,west_central,31
radio,Male,25-34,2013,west_central,63
radio,Male,35-44,2013,west_central,64
radio,Male,45-54,2013,west_central,76
radio,Male,55+,2013,west_central,81
radio,Female,18-24,2013,west_central,43
radio,Female,25-34,2013,west_central,88
radio,Female,35-44,2013,west_central,80
radio,Female,45-54,2013,west_central,78
radio,Female,55+,2013,west_central,99
magazine,Male,18-24,2013,west_central,52
magazine,Male,25-34,2013,west_central,75
magazine,Male,35-44,2013,west_central,85
magazine,Male,45-54,2013,west_central,84
magazine,Male,55+,2013,west_central,103
magazine,Female,18-24,2013,west_central,62
magazine,Female,25-34,2013,west_central,100
magazine,Female,35-44,2013,west_central,91
magazine,Female,45-54,2013,west_central,91
magazine,Female,55+,2013,west_central,134
movie_goers,Male,18-24,2013,west_central,55
movie_goers,Male,25-34,2013,west_central,78
movie_goers,Male,35-44,2013,west_central,85
movie_goers,Male,45-54,2013,west_central,87
movie_goers,Male,55+,2013,west_central,109
movie_goers,Female,18-24,2013,west_central,62
movie_goers,Female,25-34,2013,west_central,101
movie_goers,Female,35-44,2013,west_central,93
movie_goers,Female,45-54,2013,west_central,95
movie_goers,Female,55+,2013,west_central,141
supermarket_goer_last_4_weeks,Male,18-24,2013,west_central,52
supermarket_goer_last_4_weeks,Male,25-34,2013,west_central,77
supermarket_goer_last_4_weeks,Male,35-44,2013,west_central,83
supermarket_goer_last_4_weeks,Male,45-54,2013,west_central,86
supermarket_goer_last_4_weeks,Male,55+,2013,west_central,108
supermarket_goer_last_4_weeks,Female,18-24,2013,west_central,62
supermarket_goer_last_4_weeks,Female,25-34,2013,west_central,101
supermarket_goer_last_4_weeks,Female,35-44,2013,west_central,93
supermarket_goer_last_4_weeks,Female,45-54,2013,west_central,95
supermarket_goer_last_4_weeks,Female,55+,2013,west_central,138
tablet_owner,Male,18-24,2013,west_central,16
tablet_owner,Male,25-34,2013,west_central,26
tablet_owner,Male,35-44,2013,west_central,25
tablet_owner,Male,45-54,2013,west_central,28
tablet_owner,Male,55+,2013,west_central,28
tablet_owner,Female,18-24,2013,west_central,22
tablet_owner,Female,25-34,2013,west_central,44
tablet_owner,Female,35-44,2013,west_central,40
tablet_owner,Female,45-54,2013,west_central,37
tablet_owner,Female,55+,2013,west_central,28
all_live_theater/concerts/dance-attended_last_12_months,Male,18-24,2013,west_central,25
