,State,Latitude,Longitude,Gender,age,population
0,AL,32.601011199999995,-86.6807365,male,Under_5_years,149374
1,AL,32.601011199999995,-86.6807365,male,5_to_9_years,153526
2,AL,32.601011199999995,-86.6807365,male,10_to_14_years,157478
3,AL,32.601011199999995,-86.6807365,male,15_to_19_years,161735
4,AL,32.601011199999995,-86.6807365,male,20_to_24_years,166366
5,AL,32.601011199999995,-86.6807365,male,25_to_29_years,167743
6,AL,32.601011199999995,-86.6807365,male,30_to_34_years,147599
7,AL,32.601011199999995,-86.6807365,male,35_to_39_years,146855
8,AL,32.601011199999995,-86.6807365,male,40_to_44_years,140254
9,AL,32.601011199999995,-86.6807365,male,45_to_49_years,152753
10,AL,32.601011199999995,-86.6807365,male,50_to_54_years,156734
11,AL,32.601011199999995,-86.6807365,male,55_to_59_years,161580
12,AL,32.601011199999995,-86.6807365,male,60_to_64_years,147832
13,AL,32.601011199999995,-86.6807365,male,65_to_69_years,125004
14,AL,32.601011199999995,-86.6807365,male,70_to_74_years,95008
15,AL,32.601011199999995,-86.6807365,male,75_to_79_years,62262
16,AL,32.601011199999995,-86.6807365,male,80_to_84_years,38581
17,AL,32.601011199999995,-86.6807365,male,85_years_and_over,29152
18,AK,61.3025006,-158.7750198,male,Under_5_years,27625
19,AK,61.3025006,-158.7750198,male,5_to_9_years,26850
20,AK,61.3025006,-158.7750198,male,10_to_14_years,25316
21,AK,61.3025006,-158.7750198,male,15_to_19_years,24709
22,AK,61.3025006,-158.7750198,male,20_to_24_years,31449
23,AK,61.3025006,-158.7750198,male,25_to_29_years,33700
24,AK,61.3025006,-158.7750198,male,30_to_34_years,30359
25,AK,61.3025006,-158.7750198,male,35_to_39_years,26288
26,AK,61.3025006,-158.7750198,male,40_to_44_years,22369
27,AK,61.3025006,-158.7750198,male,45_to_49_years,23363
28,AK,61.3025006,-158.7750198,male,50_to_54_years,24497
29,AK,61.3025006,-158.7750198,male,55_to_59_years,26028
30,AK,61.3025006,-158.7750198,male,60_to_64_years,23093
31,AK,61.3025006,-158.7750198,male,65_to_69_years,17639
32,AK,61.3025006,-158.7750198,male,70_to_74_years,11355
33,AK,61.3025006,-158.7750198,male,75_to_79_years,6323
34,AK,61.3025006,-158.7750198,male,80_to_84_years,3296
35,AK,61.3025006,-158.7750198,male,85_years_and_over,2533
36,AZ,34.1682185,-111.930907,male,Under_5_years,223615
37,AZ,34.1682185,-111.930907,male,5_to_9_years,229890
38,AZ,34.1682185,-111.930907,male,10_to_14_years,237321
39,AZ,34.1682185,-111.930907,male,15_to_19_years,238976
40,AZ,34.1682185,-111.930907,male,20_to_24_years,252422
41,AZ,34.1682185,-111.930907,male,25_to_29_years,259518
42,AZ,34.1682185,-111.930907,male,30_to_34_years,235679
43,AZ,34.1682185,-111.930907,male,35_to_39_years,226245
44,AZ,34.1682185,-111.930907,male,40_to_44_years,207579
45,AZ,34.1682185,-111.930907,male,45_to_49_years,213122
46,AZ,34.1682185,-111.930907,male,50_to_54_years,206923
47,AZ,34.1682185,-111.930907,male,55_to_59_years,210268
48,AZ,34.1682185,-111.930907,male,60_to_64_years,192558
49,AZ,34.1682185,-111.930907,male,65_to_69_years,178793
50,AZ,34.1682185,-111.930907,male,70_to_74_years,150424
51,AZ,34.1682185,-111.930907,male,75_to_79_years,103457
52,AZ,34.1682185,-111.930907,male,80_to_84_years,66061
53,AZ,34.1682185,-111.930907,male,85_years_and_over,55450
54,AR,34.7519275,-92.13137840000002,male,Under_5_years,98313
