,State,Latitude,Longitude,City,total_millennials,male_millennials,female_millennials
0,AL,32.601011199999995,-86.6807365,Alabama,942413,462197,480216
1,AK,61.3025006,-158.7750198,Alaska,170639,90347,80292
2,AZ,34.1682185,-111.930907,Arizona,1400774,721442,679332
3,AR,34.7519275,-92.13137840000002,Arkansas,585177,293343,291834
4,CA,37.2718745,-119.2704153,California,8737266,4480804,4256462
5,CO,38.9979339,-105.55056699999999,Colorado,1272035,660123,611912
6,CT,41.518783500000005,-72.75750699999999,Connecticut,659989,332672,327317
7,DE,39.145251,-75.41892059999999,Delaware,187173,93122,94051
8,DC,38.899348700000004,-77.0145666,District of Columbia,222545,105832,116713
9,FL,27.9757279,-83.8330166,Florida,4023298,2028471,1994827
10,GA,32.6781248,-83.22297569999999,Georgia,2150884,1057232,1093652
11,HI,20.46,-157.505,Hawaii,302046,156636,145410
12,ID,45.4945756,-114.1424303,Idaho,337975,171537,166438
13,IL,39.739318,-89.504139,Illinois,2628029,1324840,1303189
14,IN,39.7662195,-86.441277,Indiana,1290441,647416,643025
15,IA,41.9383166,-93.389798,Iowa,594490,303651,290839
16,KS,38.4987789,-98.32007790000002,Kansas,571264,292838,278426
17,KY,37.8222935,-85.76823990000001,Kentucky,863071,434735,428336
18,LA,30.9733766,-91.42990970000001,Louisiana,989706,493151,496555
19,ME,45.2185133,-69.0148656,Maine,235313,117522,117791
20,MD,38.806352399999994,-77.2684162,Maryland,1240598,614089,626509
21,MA,42.062939799999995,-71.718067,Massachusetts,1404566,701098,703468
22,MI,44.9435598,-86.41580490000001,Michigan,1861280,938299,922981
23,MN,46.4418595,-93.3655146,Minnesota,1131840,577105,554735
24,MS,32.5851062,-89.8772196,Mississippi,582493,286085,296408
25,MO,38.3046615,-92.437099,Missouri,1209001,606046,602955
26,MT,46.6797995,-110.04478300000001,Montana,200759,103357,97402
27,NE,41.5008195,-99.680902,Nebraska,381066,195918,185148
28,NV,38.502032,-117.0230604,Nevada,646518,328559,317959
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,240718,123267,117451
30,NJ,40.1430058,-74.7311156,New Jersey,1758010,885071,872939
31,NM,34.1662325,-106.02606850000001,New Mexico,411973,211587,200386
32,NY,40.7056258,-73.97968,New York,4222881,2103470,2119411
33,NC,35.2145629,-79.8912675,North Carolina,2022611,998915,1023696
34,ND,47.467881899999995,-100.3022655,North Dakota,162755,88122,74633
35,OH,40.1903624,-82.6692525,Ohio,2238812,1122276,1116536
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,801334,405433,395901
37,OR,44.1419049,-120.5380993,Oregon,874561,442342,432219
38,PA,40.99459279999999,-77.6046984,Pennsylvania,2458402,1243627,1214775
39,RI,41.5827282,-71.5064508,Rhode Island,209449,105952,103497
40,SC,33.62505,-80.9470381,South Carolina,975953,479909,496044
41,SD,44.2126995,-100.24716409999999,South Dakota,168141,87362,80779
42,TN,35.830521000000005,-85.97859890000001,Tennessee,1343511,665721,677790
43,TX,31.1693363,-100.0768425,Texas,6137304,3110298,3027006
44,UT,39.4997605,-111.547028,Utah,686242,348773,337469
45,VT,43.8717545,-72.4477828,Vermont,108946,54951,53995
46,VA,38.0033855,-79.4587861,Virginia,1754704,883670,871034
47,WA,38.899348700000004,-77.0145665,Washington,1634382,840896,793486
48,WV,38.920170500000005,-80.1816905,West Virginia,326326,166200,160126
49,WI,44.7862968,-89.82670490000001,Wisconsin,1097063,559681,537382
50,WY,43.000325,-107.5545669,Wyoming,117942,61356,56586
