,State,Latitude,Longitude,City,total_xennials,male_xennials,female_xennials
0,AL,32.601011199999995,-86.6807365,Alabama,591795,287109,304686
1,AK,61.3025006,-158.7750198,Alaska,93212,48657,44555
2,AZ,34.1682185,-111.930907,Arizona,858680,433824,424856
3,AR,34.7519275,-92.13137840000002,Arkansas,366276,182119,184157
4,CA,37.2718745,-119.2704153,California,5223062,2629932,2593130
5,CO,38.9979339,-105.55056699999999,Colorado,759774,390757,369017
6,CT,41.518783500000005,-72.75750699999999,Connecticut,422731,206995,215736
7,DE,39.145251,-75.41892059999999,Delaware,110316,53717,56599
8,DC,38.899348700000004,-77.0145666,District of Columbia,102038,50402,51636
9,FL,27.9757279,-83.8330166,Florida,2517851,1247926,1269925
10,GA,32.6781248,-83.22297569999999,Georgia,1367466,660149,707317
11,HI,20.46,-157.505,Hawaii,179402,91054,88348
12,ID,45.4945756,-114.1424303,Idaho,212618,107640,104978
13,IL,39.739318,-89.504139,Illinois,1639168,818631,820537
14,IN,39.7662195,-86.441277,Indiana,816778,407816,408962
15,IA,41.9383166,-93.389798,Iowa,373088,189258,183830
16,KS,38.4987789,-98.32007790000002,Kansas,351767,178409,173358
17,KY,37.8222935,-85.76823990000001,Kentucky,550240,274476,275764
18,LA,30.9733766,-91.42990970000001,Louisiana,578448,285853,292595
19,ME,45.2185133,-69.0148656,Maine,151334,74504,76830
20,MD,38.806352399999994,-77.2684162,Maryland,769410,375417,393993
21,MA,42.062939799999995,-71.718067,Massachusetts,830501,407525,422976
22,MI,44.9435598,-86.41580490000001,Michigan,1155834,573211,582623
23,MN,46.4418595,-93.3655146,Minnesota,694463,352388,342075
24,MS,32.5851062,-89.8772196,Mississippi,364095,176330,187765
25,MO,38.3046615,-92.437099,Missouri,735574,366018,369556
26,MT,46.6797995,-110.04478300000001,Montana,122795,62999,59796
27,NE,41.5008195,-99.680902,Nebraska,234673,119440,115233
28,NV,38.502032,-117.0230604,Nevada,397068,200506,196562
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,152032,75861,76171
30,NJ,40.1430058,-74.7311156,New Jersey,1153694,571349,582345
31,NM,34.1662325,-106.02606850000001,New Mexico,245955,123566,122389
32,NY,40.7056258,-73.97968,New York,2465837,1213674,1252163
33,NC,35.2145629,-79.8912675,North Carolina,1290678,629693,660985
34,ND,47.467881899999995,-100.3022655,North Dakota,88146,46823,41323
35,OH,40.1903624,-82.6692525,Ohio,1381218,686438,694780
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,483208,243215,239993
37,OR,44.1419049,-120.5380993,Oregon,547174,276187,270987
38,PA,40.99459279999999,-77.6046984,Pennsylvania,1485441,740809,744632
39,RI,41.5827282,-71.5064508,Rhode Island,123492,61287,62205
40,SC,33.62505,-80.9470381,South Carolina,604153,294285,309868
41,SD,44.2126995,-100.24716409999999,South Dakota,100994,52216,48778
42,TN,35.830521000000005,-85.97859890000001,Tennessee,834564,411218,423346
43,TX,31.1693363,-100.0768425,Texas,3804749,1903696,1901053
44,UT,39.4997605,-111.547028,Utah,422547,215153,207394
45,VT,43.8717545,-72.4477828,Vermont,69651,34484,35167
46,VA,38.0033855,-79.4587861,Virginia,1093732,543549,550183
47,WA,38.899348700000004,-77.0145665,Washington,973049,493981,479068
48,WV,38.920170500000005,-80.1816905,West Virginia,218844,110093,108751
49,WI,44.7862968,-89.82670490000001,Wisconsin,694136,351227,342909
50,WY,43.000325,-107.5545669,Wyoming,71619,37234,34385
