category,age,year,division,population
totals,18-24,2013,east_central,40
totals,18-24,2013,pacific,87
totals,18-24,2013,south,134
totals,18-24,2013,south_east,50
totals,18-24,2013,south_west,84
totals,18-24,2013,west_central,62
totals,18-24,2014,north_east,79
totals,25-34,2013,east_central,73
totals,25-34,2013,pacific,121
totals,25-34,2013,south,240
totals,25-34,2013,south_east,91
totals,25-34,2013,south_west,149
totals,25-34,2013,west_central,101
totals,25-34,2014,north_east,122
totals,35-44,2013,east_central,66
totals,35-44,2013,pacific,146
totals,35-44,2013,south,259
totals,35-44,2013,south_east,115
totals,35-44,2013,south_west,144
totals,35-44,2013,west_central,93
totals,35-44,2014,north_east,124
totals,45-54,2013,east_central,101
totals,45-54,2013,pacific,171
totals,45-54,2013,south,242
totals,45-54,2013,south_east,130
totals,45-54,2013,south_west,112
totals,45-54,2013,west_central,95
totals,45-54,2014,north_east,159
totals,55+,2013,east_central,127
totals,55+,2013,pacific,176
totals,55+,2013,south,285
totals,55+,2013,south_east,140
totals,55+,2013,south_west,145
totals,55+,2013,west_central,141
totals,55+,2014,north_east,222
video_game,18-24,2013,east_central,24
video_game,18-24,2013,pacific,42
video_game,18-24,2013,south,69
video_game,18-24,2013,south_east,31
video_game,18-24,2013,south_west,38
video_game,18-24,2013,west_central,32
video_game,18-24,2014,north_east,34
video_game,25-34,2013,east_central,46
video_game,25-34,2013,pacific,61
video_game,25-34,2013,south,121
video_game,25-34,2013,south_east,42
video_game,25-34,2013,south_west,79
video_game,25-34,2013,west_central,57
video_game,25-34,2014,north_east,56
video_game,35-44,2013,east_central,35
video_game,35-44,2013,pacific,62
video_game,35-44,2013,south,130
video_game,35-44,2013,south_east,59
video_game,35-44,2013,south_west,71
video_game,35-44,2013,west_central,48
video_game,35-44,2014,north_east,68
video_game,45-54,2013,east_central,31
video_game,45-54,2013,pacific,55
video_game,45-54,2013,south,61
video_game,45-54,2013,south_east,35
video_game,45-54,2013,south_west,26
video_game,45-54,2013,west_central,30
video_game,45-54,2014,north_east,52
video_game,55+,2013,east_central,32
video_game,55+,2013,pacific,31
video_game,55+,2013,south,50
video_game,55+,2013,south_east,24
video_game,55+,2013,south_west,26
video_game,55+,2013,west_central,13
video_game,55+,2014,north_east,45
digital_music,18-24,2014,north_east,79
tv,18-24,2013,east_central,30
tv,18-24,2013,pacific,73
tv,18-24,2013,south,100
tv,18-24,2013,south_east,33
tv,18-24,2013,south_west,67
tv,18-24,2013,west_central,51
digital_music,25-34,2014,north_east,122
tv,25-34,2013,east_central,65
tv,25-34,2013,pacific,101
tv,25-34,2013,south,205
tv,25-34,2013,south_east,77
tv,25-34,2013,south_west,128
tv,25-34,2013,west_central,91
digital_music,35-44,2014,north_east,124
tv,35-44,2013,east_central,62
tv,35-44,2013,pacific,128
tv,35-44,2013,south,238
tv,35-44,2013,south_east,104
tv,35-44,2013,south_west,134
tv,35-44,2013,west_central,82
digital_music,45-54,2014,north_east,159
tv,45-54,2013,east_central,96
tv,45-54,2013,pacific,156
tv,45-54,2013,south,223
tv,45-54,2013,south_east,122
tv,45-54,2013,south_west,101
tv,45-54,2013,west_central,85
digital_music,55+,2014,north_east,222
tv,55+,2013,east_central,120
tv,55+,2013,pacific,170
tv,55+,2013,south,260
tv,55+,2013,south_east,127
tv,55+,2013,south_west,133
tv,55+,2013,west_central,132
radio,18-24,2013,east_central,31
radio,18-24,2013,pacific,65
radio,18-24,2013,south,104
radio,18-24,2013,south_east,33
radio,18-24,2013,south_west,71
radio,18-24,2013,west_central,43
tv,18-24,2014,north_east,67
radio,25-34,2013,east_central,61
radio,25-34,2013,pacific,102
radio,25-34,2013,south,192
radio,25-34,2013,south_east,70
radio,25-34,2013,south_west,122
radio,25-34,2013,west_central,88
tv,25-34,2014,north_east,103
radio,35-44,2013,east_central,56
radio,35-44,2013,pacific,123
radio,35-44,2013,south,219
radio,35-44,2013,south_east,93
radio,35-44,2013,south_west,126
radio,35-44,2013,west_central,80
tv,35-44,2014,north_east,115
radio,45-54,2013,east_central,81
radio,45-54,2013,pacific,137
radio,45-54,2013,south,187
radio,45-54,2013,south_east,102
radio,45-54,2013,south_west,85
radio,45-54,2013,west_central,78
tv,45-54,2014,north_east,152
radio,55+,2013,east_central,98
radio,55+,2013,pacific,116
radio,55+,2013,south,214
radio,55+,2013,south_east,105
radio,55+,2013,south_west,109
radio,55+,2013,west_central,99
tv,55+,2014,north_east,209
magazine,18-24,2013,east_central,40
magazine,18-24,2013,pacific,83
magazine,18-24,2013,south,131
magazine,18-24,2013,south_east,47
magazine,18-24,2013,south_west,84
magazine,18-24,2013,west_central,62
radio,18-24,2014,north_east,60
magazine,25-34,2013,east_central,72
magazine,25-34,2013,pacific,118
magazine,25-34,2013,south,230
magazine,25-34,2013,south_east,85
magazine,25-34,2013,south_west,145
magazine,25-34,2013,west_central,100
radio,25-34,2014,north_east,96
magazine,35-44,2013,east_central,64
magazine,35-44,2013,pacific,142
magazine,35-44,2013,south,253
magazine,35-44,2013,south_east,114
magazine,35-44,2013,south_west,139
magazine,35-44,2013,west_central,91
radio,35-44,2014,north_east,98
magazine,45-54,2013,east_central,96
magazine,45-54,2013,pacific,169
magazine,45-54,2013,south,229
magazine,45-54,2013,south_east,121
magazine,45-54,2013,south_west,108
magazine,45-54,2013,west_central,91
radio,45-54,2014,north_east,131
magazine,55+,2013,east_central,124
magazine,55+,2013,pacific,169
magazine,55+,2013,south,277
magazine,55+,2013,south_east,138
