index,category,gender,age,year,division,population
0,totals,Male,18-24,2013,east_central,31
0,totals,Male,18-24,2013,pacific,78
0,totals,Male,18-24,2013,south,78
0,totals,Male,18-24,2013,south_east,27
0,totals,Male,18-24,2013,south_west,51
0,totals,Male,18-24,2013,west_central,55
0,totals,Male,18-24,2014,north_east_central,54
1,totals,Male,25-34,2013,east_central,51
1,totals,Male,25-34,2013,pacific,89
1,totals,Male,25-34,2013,south,160
1,totals,Male,25-34,2013,south_east,72
1,totals,Male,25-34,2013,south_west,88
1,totals,Male,25-34,2013,west_central,78
1,totals,Male,25-34,2014,north_east_central,70
2,totals,Male,35-44,2013,east_central,71
2,totals,Male,35-44,2013,pacific,111
2,totals,Male,35-44,2013,south,198
2,totals,Male,35-44,2013,south_east,76
2,totals,Male,35-44,2013,south_west,122
2,totals,Male,35-44,2013,west_central,85
2,totals,Male,35-44,2014,north_east_central,98
3,totals,Male,45-54,2013,east_central,64
3,totals,Male,45-54,2013,pacific,112
3,totals,Male,45-54,2013,south,170
3,totals,Male,45-54,2013,south_east,74
3,totals,Male,45-54,2013,south_west,96
3,totals,Male,45-54,2013,west_central,87
3,totals,Male,45-54,2014,north_east_central,114
4,totals,Male,55+,2013,east_central,78
4,totals,Male,55+,2013,pacific,141
4,totals,Male,55+,2013,south,247
4,totals,Male,55+,2013,south_east,145
4,totals,Male,55+,2013,south_west,102
4,totals,Male,55+,2013,west_central,109
4,totals,Male,55+,2014,north_east_central,183
10,video_game,Male,18-24,2013,east_central,26
10,video_game,Male,18-24,2013,pacific,62
10,video_game,Male,18-24,2013,south,61
10,video_game,Male,18-24,2013,south_east,23
10,video_game,Male,18-24,2013,south_west,38
10,video_game,Male,18-24,2013,west_central,43
10,video_game,Male,18-24,2014,north_east_central,46
11,video_game,Male,25-34,2013,east_central,37
11,video_game,Male,25-34,2013,pacific,54
11,video_game,Male,25-34,2013,south,120
11,video_game,Male,25-34,2013,south_east,58
11,video_game,Male,25-34,2013,south_west,62
11,video_game,Male,25-34,2013,west_central,65
11,video_game,Male,25-34,2014,north_east_central,55
12,video_game,Male,35-44,2013,east_central,49
12,video_game,Male,35-44,2013,pacific,71
12,video_game,Male,35-44,2013,south,125
12,video_game,Male,35-44,2013,south_east,50
12,video_game,Male,35-44,2013,south_west,75
12,video_game,Male,35-44,2013,west_central,58
12,video_game,Male,35-44,2014,north_east_central,56
13,video_game,Male,45-54,2013,east_central,31
13,video_game,Male,45-54,2013,pacific,37
13,video_game,Male,45-54,2013,south,61
13,video_game,Male,45-54,2013,south_east,23
13,video_game,Male,45-54,2013,south_west,38
13,video_game,Male,45-54,2013,west_central,30
13,video_game,Male,45-54,2014,north_east_central,48
14,video_game,Male,55+,2013,east_central,13
14,video_game,Male,55+,2013,pacific,29
14,video_game,Male,55+,2013,south,46
14,video_game,Male,55+,2013,south_east,29
14,video_game,Male,55+,2013,south_west,17
