age_label,all_live_theater/concerts/dance-attended_last_12_months,magazine,movie_goers,radio,social_media_[social_media_user],supermarket_goer_last_4_weeks,tablet_owner,tv,video_game
18,0.599193548,1,1,0.661693548,0.942741935,0.971370968,0.173387097,0.745967742,0.719354839
18,0.413265306,0.755102041,1,0.676020408,0.93622449,0.946428571,0.280612245,0.729591837,0.658163265
18,0.69047619,0.712121212,1,0.670995671,0.942640693,0.984848485,0.428571429,0.642857143,0.601731602
18,0.569312169,0.803174603,1,0.784656085,0.981481481,0.962962963,0.358201058,0.671957672,0.64021164
18,0.69047619,0.828571429,1,0.69047619,1,0.966666667,0.342857143,0.861904762,0.928571429
25,0.479854956,0.973542842,1,0.80016116,0.930432447,1,0.269272092,0.817754499,0.677813591
25,0.507843137,0.793464052,1,0.819934641,0.979084967,0.990196078,0.473856209,0.833986928,0.676797386
25,0.771226415,0.762241689,1,0.733490566,0.990566038,1,0.524034142,0.736972147,0.641734052
25,0.505625879,0.733755274,1,0.760618847,0.955555556,1,0.449929677,0.754289733,0.626160338
25,0.400470219,0.612068966,1,0.726489028,1,0.937304075,0.611285266,0.560344828,0.948275862
35,0.447716603,0.970763978,1,0.790439607,0.855953905,0.984848485,0.357341016,0.913358942,0.610221938
35,0.556277056,0.861471861,1,0.770995671,0.896969697,0.987012987,0.498701299,0.861904762,0.613852814
35,0.683454261,0.794423104,1,0.793356096,0.9254517,1,0.541399915,0.81967563,0.544174136
35,0.532608696,0.793478261,1,0.826086957,0.93115942,0.989130435,0.605072464,0.847826087,0.572463768
35,0.53,0.781428571,1,0.846428571,0.982142857,1,0.685714286,0.942142857,1
45,0.548344678,0.975247525,1,0.815052599,0.814279084,0.99009901,0.342280322,0.959622525,0.395652847
45,0.55237167,0.896166342,1,0.813580247,0.837166992,0.982391163,0.379012346,0.929564652,0.395906433
45,0.703461022,0.886172715,1,0.751848118,0.850050403,0.986811156,0.487063172,0.901797715,0.356602823
45,0.536987522,0.87254902,1,0.825757576,0.864973262,0.992424242,0.516934046,0.930035651,0.331550802
45,0.65,0.844444444,1,0.822222222,0.938888889,0.972222222,0.672222222,0.905555556,0.905555556
55,0.543357561,0.968958207,1,0.783262669,0.639309509,0.989652736,0.21820109,0.933979406,0.209317585
55,0.473919173,0.957941729,1,0.736607143,0.637453008,0.988956767,0.309680451,0.878524436,0.137218045
55,0.640502888,0.872635633,1,0.77896704,0.711065806,0.984652849,0.388435836,0.969305697,0.233548533
55,0.46530303,0.896515152,1,0.741666667,0.6925,0.978636364,0.423181818,0.950606061,0.1525
55,0.460526316,0.911184211,1,0.837171053,0.858552632,1,0.590460526,0.942434211,0.800986842
