category,gender,age,year,division,population,Latitude,Longitude
1,1,28-24,2013,1,27,41.8851513,-86.97143566
1,1,28-24,2013,1,31,41.8851513,-86.97143566
1,1,28-24,2013,1,55,41.8851513,-86.97143566
1,1,28-24,2013,1,78,41.8851513,-86.97143566
1,1,28-24,2014,1,54,41.8851513,-86.97143566
1,1,2,2013,1,51,41.8851513,-86.97143566
1,1,2,2013,1,72,41.8851513,-86.97143566
1,1,2,2013,1,78,41.8851513,-86.97143566
1,1,2,2013,1,89,41.8851513,-86.97143566
1,1,2,2013,1,160,41.8851513,-86.97143566
1,1,2,2014,1,70,41.8851513,-86.97143566
1,1,3,2013,1,71,41.8851513,-86.97143566
1,1,3,2013,1,76,41.8851513,-86.97143566
1,1,3,2013,1,85,41.8851513,-86.97143566
1,1,3,2013,1,111,41.8851513,-86.97143566
1,1,3,2013,1,198,41.8851513,-86.97143566
1,1,3,2014,1,98,41.8851513,-86.97143566
1,1,4,2013,1,64,41.8851513,-86.97143566
1,1,4,2013,1,74,41.8851513,-86.97143566
1,1,4,2013,1,87,41.8851513,-86.97143566
1,1,4,2013,1,112,41.8851513,-86.97143566
1,1,4,2013,1,170,41.8851513,-86.97143566
1,1,4,2014,1,114,41.8851513,-86.97143566
1,1,5,2013,1,78,41.8851513,-86.97143566
1,1,5,2013,1,109,41.8851513,-86.97143566
1,1,5,2013,1,141,41.8851513,-86.97143566
1,1,5,2013,1,145,41.8851513,-86.97143566
1,1,5,2013,1,247,41.8851513,-86.97143566
1,1,5,2014,1,183,41.8851513,-86.97143566
1,1,28-24,2013,1,40,41.8851513,-86.97143566
1,1,28-24,2013,1,50,41.8851513,-86.97143566
1,1,28-24,2013,1,62,41.8851513,-86.97143566
1,1,28-24,2013,1,87,41.8851513,-86.97143566
1,1,28-24,2013,1,134,41.8851513,-86.97143566
1,1,28-24,2014,1,79,41.8851513,-86.97143566
1,1,2,2013,1,73,41.8851513,-86.97143566
1,1,2,2013,1,91,41.8851513,-86.97143566
1,1,2,2013,1,101,41.8851513,-86.97143566
1,1,2,2013,1,121,41.8851513,-86.97143566
1,1,2,2013,1,240,41.8851513,-86.97143566
1,1,2,2014,1,122,41.8851513,-86.97143566
1,1,3,2013,1,66,41.8851513,-86.97143566
1,1,3,2013,1,93,41.8851513,-86.97143566
1,1,3,2013,1,115,41.8851513,-86.97143566
1,1,3,2013,1,146,41.8851513,-86.97143566
1,1,3,2013,1,259,41.8851513,-86.97143566
1,1,3,2014,1,124,41.8851513,-86.97143566
1,1,4,2013,1,95,41.8851513,-86.97143566
1,1,4,2013,1,101,41.8851513,-86.97143566
1,1,4,2013,1,130,41.8851513,-86.97143566
1,1,4,2013,1,171,41.8851513,-86.97143566
1,1,4,2013,1,242,41.8851513,-86.97143566
1,1,4,2014,1,159,41.8851513,-86.97143566
1,1,5,2013,1,127,41.8851513,-86.97143566
1,1,5,2013,1,140,41.8851513,-86.97143566
1,1,5,2013,1,141,41.8851513,-86.97143566
1,1,5,2013,1,176,41.8851513,-86.97143566
1,1,5,2013,1,285,41.8851513,-86.97143566
1,1,5,2014,1,222,41.8851513,-86.97143566
2,1,28-24,2013,1,23,41.8851513,-86.97143566
2,1,28-24,2013,1,26,41.8851513,-86.97143566
2,1,28-24,2013,1,43,41.8851513,-86.97143566
2,1,28-24,2013,1,61,41.8851513,-86.97143566
2,1,28-24,2013,1,62,41.8851513,-86.97143566
2,1,28-24,2014,1,46,41.8851513,-86.97143566
2,1,2,2013,1,37,41.8851513,-86.97143566
2,1,2,2013,1,54,41.8851513,-86.97143566
2,1,2,2013,1,58,41.8851513,-86.97143566
2,1,2,2013,1,65,41.8851513,-86.97143566
2,1,2,2013,1,120,41.8851513,-86.97143566
2,1,2,2014,1,55,41.8851513,-86.97143566
2,1,3,2013,1,49,41.8851513,-86.97143566
2,1,3,2013,1,50,41.8851513,-86.97143566
2,1,3,2013,1,58,41.8851513,-86.97143566
2,1,3,2013,1,71,41.8851513,-86.97143566
2,1,3,2013,1,125,41.8851513,-86.97143566
2,1,3,2014,1,56,41.8851513,-86.97143566
2,1,4,2013,1,23,41.8851513,-86.97143566
2,1,4,2013,1,30,41.8851513,-86.97143566
2,1,4,2013,1,31,41.8851513,-86.97143566
2,1,4,2013,1,37,41.8851513,-86.97143566
2,1,4,2013,1,61,41.8851513,-86.97143566
2,1,4,2014,1,48,41.8851513,-86.97143566
2,1,5,2013,1,13,41.8851513,-86.97143566
2,1,5,2013,1,21,41.8851513,-86.97143566
2,1,5,2013,1,29,41.8851513,-86.97143566
2,1,5,2013,1,46,41.8851513,-86.97143566
2,1,5,2014,1,25,41.8851513,-86.97143566
2,1,28-24,2013,1,24,41.8851513,-86.97143566
2,1,28-24,2013,1,31,41.8851513,-86.97143566
2,1,28-24,2013,1,32,41.8851513,-86.97143566
2,1,28-24,2013,1,42,41.8851513,-86.97143566
2,1,28-24,2013,1,69,41.8851513,-86.97143566
2,1,28-24,2014,1,34,41.8851513,-86.97143566
2,1,2,2013,1,42,41.8851513,-86.97143566
2,1,2,2013,1,46,41.8851513,-86.97143566
2,1,2,2013,1,57,41.8851513,-86.97143566
2,1,2,2013,1,61,41.8851513,-86.97143566
2,1,2,2013,1,121,41.8851513,-86.97143566
2,1,2,2014,1,56,41.8851513,-86.97143566
2,1,3,2013,1,35,41.8851513,-86.97143566
2,1,3,2013,1,48,41.8851513,-86.97143566
2,1,3,2013,1,59,41.8851513,-86.97143566
