category,gender,age,year,division,population
totals,Male,18-24,2013,east_central,31
totals,Male,18-24,2013,north_east,53
totals,Male,18-24,2013,pacific,78
totals,Male,18-24,2013,south,78
totals,Male,18-24,2013,south_east,27
totals,Male,18-24,2013,south_west,51
totals,Male,18-24,2013,west_central,55
totals,Male,25-34,2013,east_central,51
totals,Male,25-34,2013,north_east,63
totals,Male,25-34,2013,pacific,89
totals,Male,25-34,2013,south,160
totals,Male,25-34,2013,south_east,72
totals,Male,25-34,2013,south_west,88
totals,Male,25-34,2013,west_central,78
totals,Male,35-44,2013,east_central,71
totals,Male,35-44,2013,north_east,93
totals,Male,35-44,2013,pacific,111
totals,Male,35-44,2013,south,198
totals,Male,35-44,2013,south_east,76
totals,Male,35-44,2013,south_west,122
totals,Male,35-44,2013,west_central,85
totals,Male,45-54,2013,east_central,64
totals,Male,45-54,2013,north_east,131
totals,Male,45-54,2013,pacific,112
totals,Male,45-54,2013,south,170
totals,Male,45-54,2013,south_east,74
totals,Male,45-54,2013,south_west,96
totals,Male,45-54,2013,west_central,87
totals,Male,55+,2013,east_central,78
totals,Male,55+,2013,north_east,176
totals,Male,55+,2013,pacific,141
totals,Male,55+,2013,south,247
totals,Male,55+,2013,south_east,145
totals,Male,55+,2013,south_west,102
totals,Male,55+,2013,west_central,109
totals,Female,18-24,2013,east_central,40
totals,Female,18-24,2013,north_east,73
totals,Female,18-24,2013,pacific,87
totals,Female,18-24,2013,south,134
totals,Female,18-24,2013,south_east,50
totals,Female,18-24,2013,south_west,84
totals,Female,18-24,2013,west_central,62
totals,Female,25-34,2013,east_central,73
totals,Female,25-34,2013,north_east,117
totals,Female,25-34,2013,pacific,121
totals,Female,25-34,2013,south,240
totals,Female,25-34,2013,south_east,91
totals,Female,25-34,2013,south_west,149
totals,Female,25-34,2013,west_central,101
totals,Female,35-44,2013,east_central,66
totals,Female,35-44,2013,north_east,126
totals,Female,35-44,2013,pacific,146
totals,Female,35-44,2013,south,259
totals,Female,35-44,2013,south_east,115
totals,Female,35-44,2013,south_west,144
totals,Female,35-44,2013,west_central,93
totals,Female,45-54,2013,east_central,101
totals,Female,45-54,2013,north_east,166
totals,Female,45-54,2013,pacific,171
totals,Female,45-54,2013,south,242
totals,Female,45-54,2013,south_east,130
totals,Female,45-54,2013,south_west,112
totals,Female,45-54,2013,west_central,95
totals,Female,55+,2013,east_central,127
totals,Female,55+,2013,north_east,190
totals,Female,55+,2013,pacific,176
totals,Female,55+,2013,south,285
totals,Female,55+,2013,south_east,140
totals,Female,55+,2013,south_west,145
totals,Female,55+,2013,west_central,141
video_game,Male,18-24,2013,east_central,26
video_game,Male,18-24,2013,north_east,47
video_game,Male,18-24,2013,pacific,62
video_game,Male,18-24,2013,south,61
video_game,Male,18-24,2013,south_east,23
video_game,Male,18-24,2013,south_west,38
video_game,Male,18-24,2013,west_central,43
video_game,Male,25-34,2013,east_central,37
video_game,Male,25-34,2013,north_east,41
video_game,Male,25-34,2013,pacific,54
video_game,Male,25-34,2013,south,120
video_game,Male,25-34,2013,south_east,58
video_game,Male,25-34,2013,south_west,62
video_game,Male,25-34,2013,west_central,65
video_game,Male,35-44,2013,east_central,49
video_game,Male,35-44,2013,north_east,56
video_game,Male,35-44,2013,pacific,71
video_game,Male,35-44,2013,south,125
video_game,Male,35-44,2013,south_east,50
video_game,Male,35-44,2013,south_west,75
video_game,Male,35-44,2013,west_central,58
video_game,Male,45-54,2013,east_central,31
video_game,Male,45-54,2013,north_east,51
video_game,Male,45-54,2013,pacific,37
video_game,Male,45-54,2013,south,61
video_game,Male,45-54,2013,south_east,23
video_game,Male,45-54,2013,south_west,38
video_game,Male,45-54,2013,west_central,30
video_game,Male,55+,2013,east_central,13
video_game,Male,55+,2013,north_east,39
video_game,Male,55+,2013,pacific,29
video_game,Male,55+,2013,south,46
video_game,Male,55+,2013,south_east,29
video_game,Male,55+,2013,south_west,17
video_game,Male,55+,2013,west_central,21
video_game,Female,18-24,2013,east_central,24
video_game,Female,18-24,2013,north_east,35
video_game,Female,18-24,2013,pacific,42
video_game,Female,18-24,2013,south,69
video_game,Female,18-24,2013,south_east,31
video_game,Female,18-24,2013,south_west,38
video_game,Female,18-24,2013,west_central,32
video_game,Female,25-34,2013,east_central,46
video_game,Female,25-34,2013,north_east,51
video_game,Female,25-34,2013,pacific,61
video_game,Female,25-34,2013,south,121
video_game,Female,25-34,2013,south_east,42
video_game,Female,25-34,2013,south_west,79
video_game,Female,25-34,2013,west_central,57
video_game,Female,35-44,2013,east_central,35
video_game,Female,35-44,2013,north_east,63
video_game,Female,35-44,2013,pacific,62
video_game,Female,35-44,2013,south,130
video_game,Female,35-44,2013,south_east,59
video_game,Female,35-44,2013,south_west,71
video_game,Female,35-44,2013,west_central,48
video_game,Female,45-54,2013,east_central,31
video_game,Female,45-54,2013,north_east,58
video_game,Female,45-54,2013,pacific,55
video_game,Female,45-54,2013,south,61
video_game,Female,45-54,2013,south_east,35
video_game,Female,45-54,2013,south_west,26
video_game,Female,45-54,2013,west_central,30
video_game,Female,55+,2013,east_central,32
video_game,Female,55+,2013,north_east,45
video_game,Female,55+,2013,pacific,31
video_game,Female,55+,2013,south,50
video_game,Female,55+,2013,south_east,24
video_game,Female,55+,2013,south_west,26
video_game,Female,55+,2013,west_central,13
tv,Male,18-24,2013,east_central,23
tv,Male,18-24,2013,north_east,44
tv,Male,18-24,2013,pacific,55
tv,Male,18-24,2013,south,58
tv,Male,18-24,2013,south_east,20
tv,Male,18-24,2013,south_west,38
tv,Male,18-24,2013,west_central,41
tv,Male,25-34,2013,east_central,38
tv,Male,25-34,2013,north_east,53
tv,Male,25-34,2013,pacific,66
tv,Male,25-34,2013,south,135
tv,Male,25-34,2013,south_east,61
tv,Male,25-34,2013,south_west,74
tv,Male,25-34,2013,west_central,63
tv,Male,35-44,2013,east_central,63
tv,Male,35-44,2013,north_east,88
tv,Male,35-44,2013,pacific,97
tv,Male,35-44,2013,south,182
tv,Male,35-44,2013,south_east,68
tv,Male,35-44,2013,south_west,114
tv,Male,35-44,2013,west_central,76
tv,Male,45-54,2013,east_central,62
tv,Male,45-54,2013,north_east,115
tv,Male,45-54,2013,pacific,102
tv,Male,45-54,2013,south,157
tv,Male,45-54,2013,south_east,68
tv,Male,45-54,2013,south_west,89
tv,Male,45-54,2013,west_central,77
tv,Male,55+,2013,east_central,72
tv,Male,55+,2013,north_east,166
tv,Male,55+,2013,pacific,129
tv,Male,55+,2013,south,233
tv,Male,55+,2013,south_east,140
tv,Male,55+,2013,south_west,93
tv,Male,55+,2013,west_central,101
tv,Female,18-24,2013,east_central,30
tv,Female,18-24,2013,north_east,62
tv,Female,18-24,2013,pacific,73
tv,Female,18-24,2013,south,100
tv,Female,18-24,2013,south_east,33
tv,Female,18-24,2013,south_west,67
tv,Female,18-24,2013,west_central,51
tv,Female,25-34,2013,east_central,65
tv,Female,25-34,2013,north_east,106
tv,Female,25-34,2013,pacific,101
tv,Female,25-34,2013,south,205
tv,Female,25-34,2013,south_east,77
tv,Female,25-34,2013,south_west,128
tv,Female,25-34,2013,west_central,91
tv,Female,35-44,2013,east_central,62
tv,Female,35-44,2013,north_east,113
tv,Female,35-44,2013,pacific,128
tv,Female,35-44,2013,south,238
tv,Female,35-44,2013,south_east,104
tv,Female,35-44,2013,south_west,134
tv,Female,35-44,2013,west_central,82
tv,Female,45-54,2013,east_central,96
tv,Female,45-54,2013,north_east,149
tv,Female,45-54,2013,pacific,156
tv,Female,45-54,2013,south,223
tv,Female,45-54,2013,south_east,122
tv,Female,45-54,2013,south_west,101
tv,Female,45-54,2013,west_central,85
tv,Female,55+,2013,east_central,120
tv,Female,55+,2013,north_east,182
tv,Female,55+,2013,pacific,170
tv,Female,55+,2013,south,260
tv,Female,55+,2013,south_east,127
tv,Female,55+,2013,south_west,133
tv,Female,55+,2013,west_central,132
radio,Male,18-24,2013,east_central,17
radio,Male,18-24,2013,north_east,29
radio,Male,18-24,2013,pacific,41
radio,Male,18-24,2013,south,48
radio,Male,18-24,2013,south_east,19
radio,Male,18-24,2013,south_west,29
radio,Male,18-24,2013,west_central,31
radio,Male,25-34,2013,east_central,39
radio,Male,25-34,2013,north_east,38
radio,Male,25-34,2013,pacific,60
radio,Male,25-34,2013,south,120
radio,Male,25-34,2013,south_east,51
radio,Male,25-34,2013,south_west,69
radio,Male,25-34,2013,west_central,63
radio,Male,35-44,2013,east_central,52
radio,Male,35-44,2013,north_east,70
radio,Male,35-44,2013,pacific,83
radio,Male,35-44,2013,south,158
radio,Male,35-44,2013,south_east,58
radio,Male,35-44,2013,south_west,100
radio,Male,35-44,2013,west_central,64
radio,Male,45-54,2013,east_central,53
radio,Male,45-54,2013,north_east,110
radio,Male,45-54,2013,pacific,92
radio,Male,45-54,2013,south,137
radio,Male,45-54,2013,south_east,58
radio,Male,45-54,2013,south_west,79
radio,Male,45-54,2013,west_central,76
radio,Male,55+,2013,east_central,62
radio,Male,55+,2013,north_east,137
radio,Male,55+,2013,pacific,95
radio,Male,55+,2013,south,171
radio,Male,55+,2013,south_east,96
radio,Male,55+,2013,south_west,75
radio,Male,55+,2013,west_central,81
radio,Female,18-24,2013,east_central,31
radio,Female,18-24,2013,north_east,59
radio,Female,18-24,2013,pacific,65
radio,Female,18-24,2013,south,104
radio,Female,18-24,2013,south_east,33
radio,Female,18-24,2013,south_west,71
radio,Female,18-24,2013,west_central,43
radio,Female,25-34,2013,east_central,61
radio,Female,25-34,2013,north_east,88
radio,Female,25-34,2013,pacific,102
radio,Female,25-34,2013,south,192
radio,Female,25-34,2013,south_east,70
radio,Female,25-34,2013,south_west,122
radio,Female,25-34,2013,west_central,88
radio,Female,35-44,2013,east_central,56
radio,Female,35-44,2013,north_east,103
radio,Female,35-44,2013,pacific,123
radio,Female,35-44,2013,south,219
radio,Female,35-44,2013,south_east,93
radio,Female,35-44,2013,south_west,126
radio,Female,35-44,2013,west_central,80
radio,Female,45-54,2013,east_central,81
radio,Female,45-54,2013,north_east,134
radio,Female,45-54,2013,pacific,137
radio,Female,45-54,2013,south,187
radio,Female,45-54,2013,south_east,102
radio,Female,45-54,2013,south_west,85
radio,Female,45-54,2013,west_central,78
radio,Female,55+,2013,east_central,98
radio,Female,55+,2013,north_east,152
radio,Female,55+,2013,pacific,116
radio,Female,55+,2013,south,214
radio,Female,55+,2013,south_east,105
radio,Female,55+,2013,south_west,109
radio,Female,55+,2013,west_central,99
magazine,Male,18-24,2013,east_central,31
magazine,Male,18-24,2013,north_east,52
magazine,Male,18-24,2013,pacific,76
magazine,Male,18-24,2013,south,76
magazine,Male,18-24,2013,south_east,26
magazine,Male,18-24,2013,south_west,50
magazine,Male,18-24,2013,west_central,52
magazine,Male,25-34,2013,east_central,49
magazine,Male,25-34,2013,north_east,59
magazine,Male,25-34,2013,pacific,86
magazine,Male,25-34,2013,south,158
magazine,Male,25-34,2013,south_east,72
magazine,Male,25-34,2013,south_west,86
magazine,Male,25-34,2013,west_central,75
magazine,Male,35-44,2013,east_central,69
magazine,Male,35-44,2013,north_east,87
magazine,Male,35-44,2013,pacific,107
magazine,Male,35-44,2013,south,187
magazine,Male,35-44,2013,south_east,73
magazine,Male,35-44,2013,south_west,114
magazine,Male,35-44,2013,west_central,85
magazine,Male,45-54,2013,east_central,64
magazine,Male,45-54,2013,north_east,126
magazine,Male,45-54,2013,pacific,104
magazine,Male,45-54,2013,south,160
magazine,Male,45-54,2013,south_east,67
magazine,Male,45-54,2013,south_west,93
magazine,Male,45-54,2013,west_central,84
magazine,Male,55+,2013,east_central,75
magazine,Male,55+,2013,north_east,168
magazine,Male,55+,2013,pacific,137
magazine,Male,55+,2013,south,236
magazine,Male,55+,2013,south_east,137
