category,age,year,division,population
1,18,2013,1,24
1,18,2013,2,35
1,18,2013,3,42
1,18,2013,4,69
1,18,2013,5,31
1,18,2013,6,38
1,18,2013,7,32
1,25,2013,1,46
1,25,2013,2,51
1,25,2013,3,61
1,25,2013,4,121
1,25,2013,5,42
1,25,2013,6,79
1,25,2013,7,57
1,35,2013,1,35
1,35,2013,2,63
1,35,2013,3,62
1,35,2013,4,130
1,35,2013,5,59
1,35,2013,6,71
1,35,2013,7,48
1,45,2013,1,31
1,45,2013,2,58
1,45,2013,3,55
1,45,2013,4,61
1,45,2013,5,35
1,45,2013,6,26
1,45,2013,7,30
1,55,2013,1,32
1,55,2013,2,45
1,55,2013,3,31
1,55,2013,4,50
1,55,2013,5,24
1,55,2013,6,26
1,55,2013,7,13
2,18,2013,1,30
2,18,2013,2,62
2,18,2013,3,73
2,18,2013,4,100
2,18,2013,5,33
2,18,2013,6,67
2,18,2013,7,51
2,25,2013,1,65
2,25,2013,2,106
2,25,2013,3,101
2,25,2013,4,205
2,25,2013,5,77
2,25,2013,6,128
2,25,2013,7,91
2,35,2013,1,62
2,35,2013,2,113
2,35,2013,3,128
2,35,2013,4,238
2,35,2013,5,104
2,35,2013,6,134
2,35,2013,7,82
2,45,2013,1,96
2,45,2013,2,149
2,45,2013,3,156
2,45,2013,4,223
2,45,2013,5,122
2,45,2013,6,101
2,45,2013,7,85
2,55,2013,1,120
2,55,2013,2,182
2,55,2013,3,170
2,55,2013,4,260
2,55,2013,5,127
2,55,2013,6,133
2,55,2013,7,132
3,18,2013,1,31
3,18,2013,2,59
3,18,2013,3,65
3,18,2013,4,104
3,18,2013,5,33
3,18,2013,6,71
3,18,2013,7,43
3,25,2013,1,61
3,25,2013,2,88
3,25,2013,3,102
3,25,2013,4,192
3,25,2013,5,70
3,25,2013,6,122
3,25,2013,7,88
3,35,2013,1,56
3,35,2013,2,103
3,35,2013,3,123
3,35,2013,4,219
3,35,2013,5,93
3,35,2013,6,126
3,35,2013,7,80
3,45,2013,1,81
3,45,2013,2,134
3,45,2013,3,137
3,45,2013,4,187
3,45,2013,5,102
3,45,2013,6,85
3,45,2013,7,78
3,55,2013,1,98
3,55,2013,2,152
3,55,2013,3,116
3,55,2013,4,214
3,55,2013,5,105
3,55,2013,6,109
3,55,2013,7,99
4,18,2013,1,40
4,18,2013,2,69
4,18,2013,3,83
4,18,2013,4,131
4,18,2013,5,47
4,18,2013,6,84
4,18,2013,7,62
4,25,2013,1,72
4,25,2013,2,114
4,25,2013,3,118
4,25,2013,4,230
4,25,2013,5,85
4,25,2013,6,145
4,25,2013,7,100
4,35,2013,1,64
4,35,2013,2,121
4,35,2013,3,142
4,35,2013,4,253
4,35,2013,5,114
4,35,2013,6,139
4,35,2013,7,91
4,45,2013,1,96
4,45,2013,2,158
4,45,2013,3,169
4,45,2013,4,229
4,45,2013,5,121
4,45,2013,6,108
4,45,2013,7,91
4,55,2013,1,124
4,55,2013,2,181
4,55,2013,3,169
4,55,2013,4,277
4,55,2013,5,138
4,55,2013,6,139
4,55,2013,7,134
5,18,2013,1,40
5,18,2013,2,73
5,18,2013,3,87
5,18,2013,4,134
5,18,2013,5,50
5,18,2013,6,84
5,18,2013,7,62
5,25,2013,1,73
5,25,2013,2,117
5,25,2013,3,121
5,25,2013,4,240
5,25,2013,5,91
5,25,2013,6,149
5,25,2013,7,101
5,35,2013,1,66
5,35,2013,2,126
5,35,2013,3,146
5,35,2013,4,259
5,35,2013,5,115
5,35,2013,6,144
5,35,2013,7,93
5,45,2013,1,101
5,45,2013,2,166
5,45,2013,3,171
5,45,2013,4,242
5,45,2013,5,130
5,45,2013,6,112
5,45,2013,7,95
5,55,2013,1,127
5,55,2013,2,190
5,55,2013,3,176
5,55,2013,4,285
5,55,2013,5,140
5,55,2013,6,145
5,55,2013,7,141
6,18,2013,1,39
6,18,2013,2,71
6,18,2013,3,86
6,18,2013,4,133
6,18,2013,5,49
6,18,2013,6,84
6,18,2013,7,62
6,25,2013,1,73
6,25,2013,2,116
6,25,2013,3,121
6,25,2013,4,238
6,25,2013,5,91
6,25,2013,6,147
6,25,2013,7,101
6,35,2013,1,64
6,35,2013,2,124
6,35,2013,3,144
6,35,2013,4,257
6,35,2013,5,114
6,35,2013,6,143
6,35,2013,7,93
6,45,2013,1,99
6,45,2013,2,165
6,45,2013,3,170
6,45,2013,4,241
6,45,2013,5,130
6,45,2013,6,111
6,45,2013,7,95
6,55,2013,1,126
6,55,2013,2,187
6,55,2013,3,172
6,55,2013,4,283
6,55,2013,5,139
6,55,2013,6,144
6,55,2013,7,138
7,18,2013,1,10
7,18,2013,2,29
7,18,2013,3,30
7,18,2013,4,38
7,18,2013,5,19
7,18,2013,6,19
7,18,2013,7,22
7,25,2013,1,25
7,25,2013,2,51
7,25,2013,3,48
7,25,2013,4,94
7,25,2013,5,34
7,25,2013,6,60
7,25,2013,7,44
7,35,2013,1,23
7,35,2013,2,63
7,35,2013,3,65
7,35,2013,4,106
7,35,2013,5,50
7,35,2013,6,56
7,35,2013,7,40
7,45,2013,1,36
7,45,2013,2,55
7,45,2013,3,65
7,45,2013,4,83
7,45,2013,5,51
7,45,2013,6,32
7,45,2013,7,37
7,55,2013,1,31
7,55,2013,2,51
7,55,2013,3,49
7,55,2013,4,90
7,55,2013,5,48
7,55,2013,6,42
7,55,2013,7,28
8,18,2013,1,26
8,18,2013,2,52
8,18,2013,3,50
8,18,2013,4,70
8,18,2013,5,31
8,18,2013,6,39
8,18,2013,7,41
8,25,2013,1,40
8,25,2013,2,73
8,25,2013,3,68
8,25,2013,4,110
8,25,2013,5,46
8,25,2013,6,64
8,25,2013,7,58
8,35,2013,1,34
8,35,2013,2,77
8,35,2013,3,84
8,35,2013,4,135
8,35,2013,5,67
8,35,2013,6,68
8,35,2013,7,54
8,45,2013,1,65
8,45,2013,2,100
