category,age,year,division,population
totals,18-24,2013,east_central,31
totals,18-24,2013,north_east,53
totals,18-24,2013,pacific,78
totals,18-24,2013,south,78
totals,18-24,2013,south_east,27
totals,18-24,2013,south_west,51
totals,18-24,2013,west_central,55
totals,25-34,2013,east_central,51
totals,25-34,2013,north_east,63
totals,25-34,2013,pacific,89
totals,25-34,2013,south,160
totals,25-34,2013,south_east,72
totals,25-34,2013,south_west,88
totals,25-34,2013,west_central,78
totals,35-44,2013,east_central,71
totals,35-44,2013,north_east,93
totals,35-44,2013,pacific,111
totals,35-44,2013,south,198
totals,35-44,2013,south_east,76
totals,35-44,2013,south_west,122
totals,35-44,2013,west_central,85
totals,45-54,2013,east_central,64
totals,45-54,2013,north_east,131
totals,45-54,2013,pacific,112
totals,45-54,2013,south,170
totals,45-54,2013,south_east,74
totals,45-54,2013,south_west,96
totals,45-54,2013,west_central,87
totals,55+,2013,east_central,78
totals,55+,2013,north_east,176
totals,55+,2013,pacific,141
totals,55+,2013,south,247
totals,55+,2013,south_east,145
totals,55+,2013,south_west,102
totals,55+,2013,west_central,109
video_game,18-24,2013,east_central,26
video_game,18-24,2013,north_east,47
video_game,18-24,2013,pacific,62
video_game,18-24,2013,south,61
video_game,18-24,2013,south_east,23
video_game,18-24,2013,south_west,38
video_game,18-24,2013,west_central,43
video_game,25-34,2013,east_central,37
video_game,25-34,2013,north_east,41
video_game,25-34,2013,pacific,54
video_game,25-34,2013,south,120
video_game,25-34,2013,south_east,58
video_game,25-34,2013,south_west,62
video_game,25-34,2013,west_central,65
video_game,35-44,2013,east_central,49
video_game,35-44,2013,north_east,56
video_game,35-44,2013,pacific,71
video_game,35-44,2013,south,125
video_game,35-44,2013,south_east,50
video_game,35-44,2013,south_west,75
video_game,35-44,2013,west_central,58
video_game,45-54,2013,east_central,31
video_game,45-54,2013,north_east,51
video_game,45-54,2013,pacific,37
video_game,45-54,2013,south,61
video_game,45-54,2013,south_east,23
video_game,45-54,2013,south_west,38
video_game,45-54,2013,west_central,30
video_game,55+,2013,east_central,13
video_game,55+,2013,north_east,39
video_game,55+,2013,pacific,29
video_game,55+,2013,south,46
video_game,55+,2013,south_east,29
video_game,55+,2013,south_west,17
video_game,55+,2013,west_central,21
tv,18-24,2013,east_central,23
tv,18-24,2013,north_east,44
tv,18-24,2013,pacific,55
tv,18-24,2013,south,58
tv,18-24,2013,south_east,20
tv,18-24,2013,south_west,38
tv,18-24,2013,west_central,41
tv,25-34,2013,east_central,38
tv,25-34,2013,north_east,53
tv,25-34,2013,pacific,66
tv,25-34,2013,south,135
tv,25-34,2013,south_east,61
tv,25-34,2013,south_west,74
tv,25-34,2013,west_central,63
tv,35-44,2013,east_central,63
tv,35-44,2013,north_east,88
tv,35-44,2013,pacific,97
tv,35-44,2013,south,182
tv,35-44,2013,south_east,68
tv,35-44,2013,south_west,114
tv,35-44,2013,west_central,76
tv,45-54,2013,east_central,62
tv,45-54,2013,north_east,115
tv,45-54,2013,pacific,102
tv,45-54,2013,south,157
tv,45-54,2013,south_east,68
tv,45-54,2013,south_west,89
tv,45-54,2013,west_central,77
tv,55+,2013,east_central,72
tv,55+,2013,north_east,166
tv,55+,2013,pacific,129
tv,55+,2013,south,233
tv,55+,2013,south_east,140
tv,55+,2013,south_west,93
tv,55+,2013,west_central,101
radio,18-24,2013,east_central,17
radio,18-24,2013,north_east,29
radio,18-24,2013,pacific,41
radio,18-24,2013,south,48
radio,18-24,2013,south_east,19
radio,18-24,2013,south_west,29
radio,18-24,2013,west_central,31
radio,25-34,2013,east_central,39
radio,25-34,2013,north_east,38
radio,25-34,2013,pacific,60
radio,25-34,2013,south,120
radio,25-34,2013,south_east,51
radio,25-34,2013,south_west,69
radio,25-34,2013,west_central,63
radio,35-44,2013,east_central,52
radio,35-44,2013,north_east,70
radio,35-44,2013,pacific,83
radio,35-44,2013,south,158
radio,35-44,2013,south_east,58
radio,35-44,2013,south_west,100
radio,35-44,2013,west_central,64
radio,45-54,2013,east_central,53
radio,45-54,2013,north_east,110
radio,45-54,2013,pacific,92
radio,45-54,2013,south,137
radio,45-54,2013,south_east,58
radio,45-54,2013,south_west,79
radio,45-54,2013,west_central,76
radio,55+,2013,east_central,62
radio,55+,2013,north_east,137
radio,55+,2013,pacific,95
radio,55+,2013,south,171
radio,55+,2013,south_east,96
radio,55+,2013,south_west,75
radio,55+,2013,west_central,81
magazine,18-24,2013,east_central,31
magazine,18-24,2013,north_east,52
magazine,18-24,2013,pacific,76
magazine,18-24,2013,south,76
magazine,18-24,2013,south_east,26
magazine,18-24,2013,south_west,50
magazine,18-24,2013,west_central,52
magazine,25-34,2013,east_central,49
magazine,25-34,2013,north_east,59
magazine,25-34,2013,pacific,86
magazine,25-34,2013,south,158
magazine,25-34,2013,south_east,72
magazine,25-34,2013,south_west,86
magazine,25-34,2013,west_central,75
magazine,35-44,2013,east_central,69
magazine,35-44,2013,north_east,87
magazine,35-44,2013,pacific,107
magazine,35-44,2013,south,187
magazine,35-44,2013,south_east,73
magazine,35-44,2013,south_west,114
magazine,35-44,2013,west_central,85
magazine,45-54,2013,east_central,64
magazine,45-54,2013,north_east,126
magazine,45-54,2013,pacific,104
magazine,45-54,2013,south,160
magazine,45-54,2013,south_east,67
magazine,45-54,2013,south_west,93
magazine,45-54,2013,west_central,84
magazine,55+,2013,east_central,75
magazine,55+,2013,north_east,168
magazine,55+,2013,pacific,137
magazine,55+,2013,south,236
magazine,55+,2013,south_east,137
magazine,55+,2013,south_west,99
magazine,55+,2013,west_central,103
movie_goers,18-24,2013,east_central,31
movie_goers,18-24,2013,north_east,53
movie_goers,18-24,2013,pacific,78
movie_goers,18-24,2013,south,78
movie_goers,18-24,2013,south_east,27
movie_goers,18-24,2013,south_west,51
movie_goers,18-24,2013,west_central,55
movie_goers,25-34,2013,east_central,51
movie_goers,25-34,2013,north_east,63
