All Respondents,,,,,,,,,,,,,,,,,,,,,
cat,type,Totals,General Movie Purchaser,Genral Movie Purchaser East Central,GenralMovie Purchaser East Central Male,Genral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
Totals,Unwgt,26019,5557,707,272,435,62,27,35,124,45,79,115,46,69,168,66,102,238,88,150
,(000s),240136,59805,7649,3167,4483,1021,551#,470*,1704,621*,1083,1613,829*,784,1540,550,989,1771,615,1156
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,3.19,1.32,1.87,0.43,0.23,0.2,0.71,0.26,0.45,0.67,0.35,0.33,0.64,0.23,0.41,0.74,0.26,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5352,1951,266,126,140,38,23,15,74,33,41,62,34,28,54,25,29,38,11,27
,(000s),63146,24518,3302,1844,1458,610*,439#,171#,1014,519*,494*,918,548*,370#,396*,173#,222#,366*,165#,201#
,Vert%,26.3,41,43.17,58.23,32.52,59.75,79.67,36.38,59.51,83.57,45.61,56.91,66.1,47.19,25.71,31.45,22.45,20.67,26.83,17.39
,Horz%,100,38.83,5.23,2.92,2.31,0.97,0.7,0.27,1.61,0.82,0.78,1.45,0.87,0.59,0.63,0.27,0.35,0.58,0.26,0.32
,Index,100,156,164,221,124,227,303,138,226,318,173,216,251,179,98,120,85,79,102,66
Streaming Video,Unwgt,18863,4383,542,211,331,52,21,31,100,40,60,90,33,57,126,51,75,174,66,108
,(000s),177757,47812,5874,2420,3454,899*,452#,447*,1356,605*,751*,1118,460*,658*,1242,408*,834,1259,495,764
,Vert%,74.02,79.95,76.79,76.41,77.05,88.05,82.03,95.11,79.58,97.42,69.34,69.31,55.49,83.93,80.65,74.18,84.33,71.09,80.49,66.09
,Horz%,100,26.9,3.3,1.36,1.94,0.51,0.25,0.25,0.76,0.34,0.42,0.63,0.26,0.37,0.7,0.23,0.47,0.71,0.28,0.43
,Index,100,108,104,103,104,119,111,128,108,132,94,94,75,113,109,100,114,96,109,89
Digital Music,Unwgt,26019,5557,707,272,435,62,27,35,124,45,79,115,46,69,168,66,102,238,88,150
,(000s),240136,59805,7649,3167,4483,1021,551#,470*,1704,621*,1083,1613,829*,784,1540,550,989,1771,615,1156
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,3.19,1.32,1.87,0.43,0.23,0.2,0.71,0.26,0.45,0.67,0.35,0.33,0.64,0.23,0.41,0.74,0.26,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,22095,4810,618,231,387,42,17,25,95,32,63,98,38,60,157,60,97,226,84,142
,(000s),208180,52931,6812,2707,4104,830*,416#,414#,1313,487*,827,1451,687*,764*,1502,526*,976,1715,592,1123
,Vert%,86.69,88.51,89.06,85.48,91.55,81.29,75.5,88.09,77.05,78.42,76.36,89.96,82.87,97.45,97.53,95.64,98.69,96.84,96.26,97.15
,Horz%,100,25.43,3.27,1.3,1.97,0.4,0.2,0.2,0.63,0.23,0.4,0.7,0.33,0.37,0.72,0.25,0.47,0.82,0.28,0.54
,Index,100,102,103,99,106,94,87,102,89,90,88,104,96,112,113,110,114,112,111,112
RADIO,Unwgt,17686,4194,557,206,351,49,20,29,96,32,64,97,34,63,139,54,85,176,66,110
,(000s),170824,46019,6316,2571,3746,842*,434#,407#,1332,415*,916,1456,740*,716,1392,488*,904,1296,494,802
,Vert%,71.14,76.95,82.57,81.18,83.56,82.47,78.77,86.6,78.17,66.83,84.58,90.27,89.26,91.33,90.39,88.73,91.41,73.18,80.33,69.38
,Horz%,100,26.94,3.7,1.51,2.19,0.49,0.25,0.24,0.78,0.24,0.54,0.85,0.43,0.42,0.81,0.29,0.53,0.76,0.29,0.47
,Index,100,108,116,114,117,116,111,122,110,94,119,127,125,128,127,125,128,103,113,98
MAGAZINE,Unwgt,19441,4607,594,224,370,50,21,29,91,33,58,91,37,54,148,55,93,214,78,136
,(000s),180552,49290,6326,2544,3782,877*,434#,443#,1264,463*,801*,1187,585*,602*,1443,502*,941,1556,561,995
,Vert%,75.19,82.42,82.7,80.33,84.36,85.9,78.77,94.26,74.18,74.56,73.96,73.59,70.57,76.79,93.7,91.27,95.15,87.86,91.22,86.07
,Horz%,100,27.3,3.5,1.41,2.09,0.49,0.24,0.25,0.7,0.26,0.44,0.66,0.32,0.33,0.8,0.28,0.52,0.86,0.31,0.55
,Index,100,110,110,107,112,114,105,125,99,99,98,98,94,102,125,121,127,117,121,114
MOVIE GOERS,Unwgt,26019,5557,707,272,435,62,27,35,124,45,79,115,46,69,168,66,102,238,88,150
,(000s),240136,59805,7649,3167,4483,1021,551#,470*,1704,621*,1083,1613,829*,784,1540,550,989,1771,615,1156
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,3.19,1.32,1.87,0.43,0.23,0.2,0.71,0.26,0.45,0.67,0.35,0.33,0.64,0.23,0.41,0.74,0.26,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,25337,5492,698,266,432,60,25,35,124,45,79,114,45,69,167,65,102,233,86,147
,(000s),234819,59222,7600,3125,4475,985*,514#,470*,1704,621*,1083,1613,829*,784,1538,548,989,1761,613,1148
,Vert%,97.79,99.03,99.36,98.67,99.82,96.47,93.28,100,100,100,100,100,100,100,99.87,99.64,100,99.44,99.67,99.31
,Horz%,100,25.22,3.24,1.33,1.91,0.42,0.22,0.2,0.73,0.26,0.46,0.69,0.35,0.33,0.65,0.23,0.42,0.75,0.26,0.49
,Index,100,101,102,101,102,99,95,102,102,102,102,102,102,102,102,102,102,102,102,102
TABLET OWNER,Unwgt,9818,2790,343,116,227,23,7,16,59,16,43,70,27,43,88,32,56,103,34,69
,(000s),93980,30098,3477,1279,2198,372#,131#,241#,759*,170#,590*,917,493#,424*,759,228*,532*,669,258*,412
,Vert%,39.14,50.33,45.46,40.39,49.03,36.43,23.77,51.28,44.54,27.38,54.48,56.85,59.47,54.08,49.29,41.45,53.79,37.78,41.95,35.64
,Horz%,100,32.03,3.7,1.36,2.34,0.4,0.14,0.26,0.81,0.18,0.63,0.98,0.52,0.45,0.81,0.24,0.57,0.71,0.27,0.44
,Index,100,129,116,103,125,93,61,131,114,70,139,145,152,138,126,106,137,97,107,91
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11429,2943,359,139,220,36,13,23,61,25,36,61,25,36,91,34,57,110,42,68
,(000s),106233,31033,4051,1575,2476,511*,185#,326#,893,307#,586*,976,450#,526*,832,334*,499*,839,299*,540
,Vert%,44.24,51.89,52.96,49.73,55.23,50.05,33.58,69.36,52.41,49.44,54.11,60.51,54.28,67.09,54.03,60.73,50.46,47.37,48.62,46.71
,Horz%,100,29.21,3.81,1.48,2.33,0.48,0.17,0.31,0.84,0.29,0.55,0.92,0.42,0.5,0.78,0.31,0.47,0.79,0.28,0.51
,Index,100,117,120,112,125,113,76,157,118,112,122,137,123,152,122,137,114,107,110,106
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19339,4827,605,217,388,61,26,35,120,41,79,108,41,67,147,54,93,169,55,114
,(000s),188131,52995,6762,2832,3930,1011,541#,470*,1687,604*,1083,1495,771*,724,1299,429*,870,1270,487*,783
,Vert%,78.34,88.61,88.4,89.42,87.66,99.02,98.19,100,99,97.26,100,92.68,93,92.35,84.35,78,87.97,71.71,79.19,67.73
,Horz%,100,28.17,3.59,1.51,2.09,0.54,0.29,0.25,0.9,0.32,0.58,0.79,0.41,0.38,0.69,0.23,0.46,0.68,0.26,0.42
,Index,100,113,113,114,112,126,125,128,126,124,128,118,119,118,108,100,112,92,101,86
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
