All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Male,Gneral Movie Purchaser North East Female,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 male
","Movie Purchaser NE 18-24 Female
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 male,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
Totals,Unwgt,25439,5801,1075,437,638,112,52,60,178,68,110,187,65,122,245,95,150,353,157,196
,(000s),236711,58871,10039,4572,5467,1471,834*,637*,1797,947,850,1977,711,1266,2226,881,1345,2568,1199,1370
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,4.24,1.93,2.31,0.62,0.35,0.27,0.76,0.4,0.36,0.84,0.3,0.53,0.94,0.37,0.57,1.08,0.51,0.58
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5667,2291,411,196,215,64,42,22,99,49,50,97,41,56,87,36,51,64,28,36
,(000s),63670,26337,4207,2055,2152,825,527*,298#,1024,581*,443*,1029,388*,641*,709,285*,424*,620,275#,345*
,Vert%,26.9,44.74,41.91,44.95,39.36,56.08,63.19,46.78,56.98,61.35,52.12,52.05,54.57,50.63,31.85,32.35,31.52,24.14,22.94,25.18
,Horz%,100,41.36,6.61,3.23,3.38,1.3,0.83,0.47,1.61,0.91,0.7,1.62,0.61,1.01,1.11,0.45,0.67,0.97,0.43,0.54
,Index,100,166,156,167,146,209,235,174,212,228,194,194,203,188,118,120,117,90,85,94
Streaming Video,Unwgt,17763,4382,816,333,483,83,38,45,148,58,90,149,47,102,194,75,119,242,115,127
,(000s),167306,44474,7648,3545,4102,1122,655*,468*,1510,838*,672,1531,516*,1015,1765,711,1054,1719,826,893
,Vert%,70.68,75.54,76.18,77.54,75.03,76.27,78.54,73.47,84.03,88.49,79.06,77.44,72.57,80.17,79.29,80.7,78.36,66.94,68.89,65.18
,Horz%,100,26.58,4.57,2.12,2.45,0.67,0.39,0.28,0.9,0.5,0.4,0.92,0.31,0.61,1.05,0.42,0.63,1.03,0.49,0.53
,Index,100,107,108,110,106,108,111,104,119,125,112,110,103,113,112,114,111,95,97,92
Digital Music,Unwgt,9222,2836,509,201,308,80,34,46,125,45,80,108,38,70,116,45,71,80,39,41
,(000s),91298,30136,4990,2115,2875,1029,538*,491*,1295,564*,730,991,368*,623,994,333*,661,681,311*,370*
,Vert%,38.57,51.19,49.71,46.26,52.59,69.95,64.51,77.08,72.06,59.56,85.88,50.13,51.76,49.21,44.65,37.8,49.14,26.52,25.94,27.01
,Horz%,100,33.01,5.47,2.32,3.15,1.13,0.59,0.54,1.42,0.62,0.8,1.09,0.4,0.68,1.09,0.36,0.72,0.75,0.34,0.41
,Index,100,133,129,120,136,181,167,200,187,154,223,130,134,128,116,98,127,69,67,70
TV,Unwgt,21634,5018,949,382,567,76,34,42,138,56,82,171,60,111,228,85,143,336,147,189
,(000s),203130,52296,8990,4084,4906,1148,622*,526*,1415,821*,594,1773,654*,1119,2157,828,1329,2497,1159,1338
,Vert%,85.81,88.83,89.55,89.33,89.74,78.04,74.58,82.57,78.74,86.69,69.88,89.68,91.98,88.39,96.9,93.98,98.81,97.24,96.66,97.66
,Horz%,100,25.75,4.43,2.01,2.42,0.57,0.31,0.26,0.7,0.4,0.29,0.87,0.32,0.55,1.06,0.41,0.65,1.23,0.57,0.66
,Index,100,104,104,104,105,91,87,96,92,101,81,105,107,103,113,110,115,113,113,114
RADIO,Unwgt,18877,4784,923,362,561,84,36,48,138,54,84,149,46,103,228,84,144,324,142,182
,(000s),176697,47955,8735,3828,4907,1130,643*,487*,1584,834*,750,1544,425*,1120,2093,801,1292,2384,1126,1258
,Vert%,74.65,81.46,87.01,83.73,89.76,76.82,77.1,76.45,88.15,88.07,88.24,78.1,59.77,88.47,94.03,90.92,96.06,92.83,93.91,91.82
,Horz%,100,27.14,4.94,2.17,2.78,0.64,0.36,0.28,0.9,0.47,0.42,0.87,0.24,0.63,1.18,0.45,0.73,1.35,0.64,0.71
,Index,100,109,117,112,120,103,103,102,118,118,118,105,80,119,126,122,129,124,126,123
MAGAZINE,Unwgt,25439,5801,1075,437,638,112,52,60,178,68,110,187,65,122,245,95,150,353,157,196
,(000s),236711,58871,10039,4572,5467,1471,834*,637*,1797,947,850,1977,711,1266,2226,881,1345,2568,1199,1370
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,4.24,1.93,2.31,0.62,0.35,0.27,0.76,0.4,0.36,0.84,0.3,0.53,0.94,0.37,0.57,1.08,0.51,0.58
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MOVIE GOERS,Unwgt,24700,5748,1061,428,633,107,49,58,174,65,109,187,65,122,243,94,149,350,155,195
,(000s),230746,58519,9866,4443,5424,1440,815*,626*,1666,843,823,1977,711,1266,2219,880,1340,2564,1194,1370
,Vert%,97.48,99.4,98.28,97.18,99.21,97.89,97.72,98.27,92.71,89.02,96.82,100,100,100,99.69,99.89,99.63,99.84,99.58,100
,Horz%,100,25.36,4.28,1.93,2.35,0.62,0.35,0.27,0.72,0.37,0.36,0.86,0.31,0.55,0.96,0.38,0.58,1.11,0.52,0.59
,Index,100,102,101,100,102,100,100,101,95,91,99,103,103,103,102,102,102,102,102,103
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,8881,2805,525,202,323,48,20,28,85,32,53,113,36,77,138,54,84,141,60,81
,(000s),83876,29079,5027,2125,2902,606*,311#,295#,1089,594*,495*,1110,394*,716,1330,490*,841,891,336*,556
,Vert%,35.43,49.39,50.07,46.48,53.08,41.2,37.29,46.31,60.6,62.72,58.24,56.15,55.41,56.56,59.75,55.62,62.53,34.7,28.02,40.58
,Horz%,100,34.67,5.99,2.53,3.46,0.72,0.37,0.35,1.3,0.71,0.59,1.32,0.47,0.85,1.59,0.58,1,1.06,0.4,0.66
,Index,100,139,141,131,150,116,105,131,171,177,164,158,156,160,169,157,176,98,79,115
TABLET OWNER,Unwgt,17617,3935,714,280,434,73,35,38,132,47,85,124,35,89,171,67,104,214,96,118
,(000s),165063,39276,6603,2960,3643,864,470*,394*,1436,804*,632,1191,400*,791,1552,595,957,1559,691,868
,Vert%,69.73,66.72,65.77,64.74,66.64,58.74,56.35,61.85,79.91,84.9,74.35,60.24,56.26,62.48,69.72,67.54,71.15,60.71,57.63,63.36
,Horz%,100,23.79,4,1.79,2.21,0.52,0.28,0.24,0.87,0.49,0.38,0.72,0.24,0.48,0.94,0.36,0.58,0.94,0.42,0.53
,Index,100,96,94,93,96,84,81,89,115,122,107,86,81,90,100,97,102,87,83,91
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,18677,5026,925,360,565,110,50,60,173,64,109,176,61,115,221,84,137,245,101,144
,(000s),180654,52077,8711,3858,4853,1433,797*,637*,1734,893,842,1832,689,1143,2017,760,1257,1695,720,975
,Vert%,76.32,88.46,86.77,84.38,88.77,97.42,95.56,100,96.49,94.3,99.06,92.67,96.91,90.28,90.61,86.27,93.46,66,60.05,71.17
,Horz%,100,28.83,4.82,2.14,2.69,0.79,0.44,0.35,0.96,0.49,0.47,1.01,0.38,0.63,1.12,0.42,0.7,0.94,0.4,0.54
,Index,100,116,114,111,116,128,125,131,126,124,130,121,127,118,119,113,122,86,79,93
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,17587,4436,832,339,493,77,34,43,140,54,86,147,48,99,200,78,122,268,125,143
,(000s),168104,45701,7883,3479,4404,945,563*,383*,1447,719*,729,1607,503*,1104,1869,718,1151,2014,977,1038
,Vert%,71.02,77.63,78.52,76.09,80.56,64.24,67.51,60.13,80.52,75.92,85.76,81.28,70.75,87.2,83.96,81.5,85.58,78.43,81.48,75.77
