Geography,Gender,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_29_years,30_to_34_years,35_to_39_years,40_to_44_years,45_to_49_years,50_to_54_years,55_to_59_years,60_to_64_years,65_to_69_years,70_to_74_years,75_to_79_years,80_to_84_years,85_years_and_over
Alabama,male,149374,153526,157478,161735,166366,167743,147599,146855,140254,152753,156734,161580,147832,125004,95008,62262,38581,29152
Alaska,male,27625,26850,25316,24709,31449,33700,30359,26288,22369,23363,24497,26028,23093,17639,11355,6323,3296,2533
Arizona,male,223615,229890,237321,238976,252422,259518,235679,226245,207579,213122,206923,210268,192558,178793,150424,103457,66061,55450
Arkansas,male,98313,99851,101960,101485,103353,103464,95024,94855,87264,91225,93354,96334,87355,75835,59864,40721,25663,20144
California,male,1264710,1284927,1296870,1308569,1429323,1617117,1487711,1375976,1253956,1300910,1270027,1239880,1071926,856686,630225,413535,274889,270316
Colorado,male,171503,179383,185719,183469,198386,229472,224424,206227,184530,187007,173881,180953,163855,135038,94741,56945,35492,31308
Connecticut,male,93818,102012,112050,125311,128259,115394,111236,106042,100953,118269,129973,131905,114916,88334,68762,44003,29188,31375
Delaware,male,27876,28641,29101,30635,30289,34331,30470,28321,25396,28732,31567,32403,30032,26818,21402,13859,8477,7164
District of Columbia,male,22851,18122,13863,17501,24474,38552,37742,29538,20864,19507,18801,17823,15321,12266,8586,5772,3622,3994
Florida,male,582263,587360,603414,615907,650444,724192,666771,637508,610418,664546,692811,693675,627381,580618,503750,357818,238533,219410
Georgia,male,336237,353467,367342,368818,366728,377312,342470,337450,322699,349448,340721,323418,276471,226994,170558,105951,62162,47261
Hawaii,male,46357,44335,42435,39744,52268,55945,52055,48636,42418,43755,43653,45841,43981,39786,30263,18430,11793,14392
Idaho,male,59664,62627,65773,62126,59089,58919,55919,56699,50941,50618,49121,53054,50619,44622,34015,22156,13494,11002
Illinois,male,395254,403484,421597,427885,440632,458402,440152,426286,392345,413294,418476,429364,378039,302089,217504,144285,94301,89089
