,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
Totals,Unwgt,6088,1877,373,204,169,51,25,26,51,25,33,109,55,54,60,31,29,60,33,27
,(000s),71575,23088,4209,2426,1783,554*,234#,320#,554*,234#,351*,1019,539*,480*,725*,349*,376#,610*,354*,256#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,5.88,3.39,2.49,0.77,0.33,0.45,0.77,0.33,0.49,1.42,0.75,0.67,1.01,0.49,0.53,0.85,0.49,0.36
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,339,191,148,49,25,24,49,25,30,103,52,51,54,29,25,45,27,18
,(000s),61255,21650,3754,2279,1476,548*,234#,314#,548*,234#,288#,949,488*,462*,629*,342#,287#,404*,278#,125#
,Vert%,85.58,93.77,89.19,93.94,82.78,98.92,100,98.13,98.92,100,82.05,93.13,90.54,96.25,86.76,97.99,76.33,66.23,78.53,48.83
,Horz%,100,35.34,6.13,3.72,2.41,0.89,0.38,0.51,0.89,0.38,0.47,1.55,0.8,0.75,1.03,0.56,0.47,0.66,0.45,0.2
,Index,100,110,104,110,97,116,117,115,116,117,96,109,106,112,101,115,89,77,92,57
Streaming Video,Unwgt,4956,1613,332,178,154,46,23,23,46,23,30,102,50,52,53,26,27,50,28,22
,(000s),58741,20176,3932,2238,1694,530*,219#,311#,530*,219#,334#,975,517*,458*,658*,288#,370#,568*,347#,221#
,Vert%,82.07,87.39,93.42,92.25,95.01,95.67,93.59,97.19,95.67,93.59,95.16,95.68,95.92,95.42,90.76,82.52,98.4,93.11,98.02,86.33
,Horz%,100,34.35,6.69,3.81,2.88,0.9,0.37,0.53,0.9,0.37,0.57,1.66,0.88,0.78,1.12,0.49,0.63,0.97,0.59,0.38
,Index,100,106,114,112,116,117,114,118,117,114,116,117,117,116,111,101,120,113,119,105
Digital Music,Unwgt,6088,1877,373,204,169,51,25,26,51,25,33,109,55,54,60,31,29,60,33,27
,(000s),71575,23088,4209,2426,1783,554*,234#,320#,554*,234#,351*,1019,539*,480*,725*,349*,376#,610*,354*,256#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,5.88,3.39,2.49,0.77,0.33,0.45,0.77,0.33,0.49,1.42,0.75,0.67,1.01,0.49,0.53,0.85,0.49,0.36
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,4770,1538,300,155,145,34,13,21,34,13,27,92,46,46,53,26,27,54,30,24
,(000s),56475,18971,3488,1866,1622,458*,172#,286#,458*,172#,304#,832,422*,411*,646*,273#,374#,598*,351#,247#
,Vert%,78.9,82.17,82.87,76.92,90.97,82.67,73.5,89.38,82.67,73.5,86.61,81.65,78.29,85.63,89.1,78.22,99.47,98.03,99.15,96.48
,Horz%,100,33.59,6.18,3.3,2.87,0.81,0.3,0.51,0.81,0.3,0.54,1.47,0.75,0.73,1.14,0.48,0.66,1.06,0.62,0.44
,Index,100,104,105,97,115,105,93,113,105,93,110,103,99,109,113,99,126,124,126,122
RADIO,Unwgt,4089,1386,273,140,133,27,14,13,27,14,27,87,41,46,49,25,24,47,24,23
,(000s),48424,16720,2825,1463,1362,288#,130#,158#,288#,130#,312#,761,336*,425*,586*,296#,290#,378*,202#,176#
,Vert%,67.65,72.42,67.12,60.31,76.39,51.99,55.56,49.38,51.99,55.56,88.89,74.68,62.34,88.54,80.83,84.81,77.13,61.97,57.06,68.75
,Horz%,100,34.53,5.83,3.02,2.81,0.59,0.27,0.33,0.59,0.27,0.64,1.57,0.69,0.88,1.21,0.61,0.6,0.78,0.42,0.36
,Index,100,107,99,89,113,77,82,73,77,82,131,110,92,131,119,125,114,92,84,102
MAGAZINE,Unwgt,4249,1456,274,139,135,36,15,21,36,15,23,80,37,43,51,26,25,52,29,23
,(000s),48801,17437,2825,1461,1364,448*,173#,275#,448*,173#,223#,724,337*,386*,513*,216#,297#,446*,264#,183#
,Vert%,68.18,75.52,67.12,60.22,76.5,80.87,73.93,85.94,80.87,73.93,63.53,71.05,62.52,80.42,70.76,61.89,78.99,73.11,74.58,71.48
,Horz%,100,35.73,5.79,2.99,2.8,0.92,0.35,0.56,0.92,0.35,0.46,1.48,0.69,0.79,1.05,0.44,0.61,0.91,0.54,0.37
,Index,100,111,98,88,112,119,108,126,119,108,93,104,92,118,104,91,116,107,109,105
MOVIE GOERS,Unwgt,6088,1877,373,204,169,51,25,26,51,25,33,109,55,54,60,31,29,60,33,27
,(000s),71575,23088,4209,2426,1783,554*,234#,320#,554*,234#,351*,1019,539*,480*,725*,349*,376#,610*,354*,256#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
