All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
Totals,Unwgt,23689,6041,1232,531,701,165,78,87,210,89,121,257,111,146,283,112,171,317,141,176
,(000s),231709,65066,13405,6147,7257,2004,1152,851,2817,1148,1669,3031,1227,1804,2593,1260,1333,2960,1360,1600
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,5.79,2.65,3.13,0.86,0.5,0.37,1.22,0.5,0.72,1.31,0.53,0.78,1.12,0.54,0.58,1.28,0.59,0.69
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,504,253,251,104,62,42,115,54,61,133,71,62,92,37,55,60,29,31
,(000s),66903,29479,5699,2993,2706,1298,1024,273*,1254,512*,742,1833,865,968,879,393*,486*,435*,198#,237*
,Vert%,28.87,45.31,42.51,48.69,37.29,64.77,88.89,32.08,44.52,44.6,44.46,60.48,70.5,53.66,33.9,31.19,36.46,14.7,14.56,14.81
,Horz%,100,44.06,8.52,4.47,4.04,1.94,1.53,0.41,1.87,0.77,1.11,2.74,1.29,1.45,1.31,0.59,0.73,0.65,0.3,0.35
,Index,100,157,147,169,129,224,308,111,154,154,154,209,244,186,117,108,126,51,50,51
TV,Unwgt,20633,5376,1077,449,628,128,55,73,167,66,101,225,97,128,258,102,156,299,129,170
,(000s),209096,59689,11928,5333,6595,1482,855*,627,2315,886,1430,2778,1090,1687,2487,1228,1259,2867,1275,1592
,Vert%,90.24,91.74,88.98,86.76,90.88,73.95,74.22,73.68,82.18,77.18,85.68,91.65,88.83,93.51,95.91,97.46,94.45,96.86,93.75,99.5
,Horz%,100,28.55,5.7,2.55,3.15,0.71,0.41,0.3,1.11,0.42,0.68,1.33,0.52,0.81,1.19,0.59,0.6,1.37,0.61,0.76
,Index,100,102,99,96,101,82,82,82,91,86,95,102,98,104,106,108,105,107,104,110
RADIO,Unwgt,16599,4637,914,371,543,106,41,65,162,60,102,206,83,123,229,92,137,211,95,116
,(000s),171433,51520,10406,4382,6023,1246,658*,587,2341,800*,1541,2479,988,1491,2177,1054,1124,2163,882,1280
,Vert%,73.99,79.18,77.63,71.29,83,62.18,57.12,68.98,83.1,69.69,92.33,81.79,80.52,82.65,83.96,83.65,84.32,73.07,64.85,80
,Horz%,100,30.05,6.07,2.56,3.51,0.73,0.38,0.34,1.37,0.47,0.9,1.45,0.58,0.87,1.27,0.61,0.66,1.26,0.51,0.75
,Index,100,107,105,96,112,84,77,93,112,94,125,111,109,112,113,113,114,99,88,108
MAGAZINE,Unwgt,22182,5824,1191,510,681,159,76,83,204,86,118,249,107,142,273,104,169,306,137,169
,(000s),219735,62794,12823,5832,6991,1873,1055,818,2697,1135,1562,2835,1118,1717,2492,1169,1323,2926,1356,1571
