All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Male,Gneral Movie Purchaser North East Female,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 male
","Movie Purchaser NE 18-24 Female
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 male,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
Totals,Unwgt,27446,6622,1225,519,706,133,54,79,192,70,122,222,98,124,273,114,159,405,183,222
,(000s),234034,59760,10227,5089,5138,1702,808*,894,2385,1033,1352,1937,1004,933,2173,1123,1050,2030,1121,909
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,4.37,2.17,2.2,0.73,0.35,0.38,1.02,0.44,0.58,0.83,0.43,0.4,0.93,0.48,0.45,0.87,0.48,0.39
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,485,230,255,80,46,34,111,55,56,124,56,68,100,48,52,70,25,45
,(000s),65410,27699,4791,2598,2194,1108,732*,376*,1560,903*,657*,1117,488*,628,698,350*,348*,309,124#,185*
,Vert%,27.95,46.35,46.85,51.05,42.7,65.1,90.59,42.06,65.41,87.42,48.59,57.67,48.61,67.31,32.12,31.17,33.14,15.22,11.06,20.35
,Horz%,100,42.35,7.32,3.97,3.35,1.69,1.12,0.57,2.38,1.38,1,1.71,0.75,0.96,1.07,0.54,0.53,0.47,0.19,0.28
,Index,100,166,168,183,153,233,324,150,234,313,174,206,174,241,115,112,119,54,40,73
Digital Music,Unwgt,27446,6622,1225,519,706,133,54,79,192,70,122,222,98,124,273,114,159,405,183,222
,(000s),234034,59760,10227,5089,5138,1702,808*,894,2385,1033,1352,1937,1004,933,2173,1123,1050,2030,1121,909
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,4.37,2.17,2.2,0.73,0.35,0.38,1.02,0.44,0.58,0.83,0.43,0.4,0.93,0.48,0.45,0.87,0.48,0.39
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,1097,451,646,110,43,67,153,50,103,201,86,115,251,99,152,382,173,209
,(000s),207976,54297,9468,4608,4859,1470,652*,817,2094,837*,1258,1833,937,896,2108,1080,1028,1963,1103,861
