All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Movie Purchaser NE 55+,Movie Purchaser NE 45-54,Movie Purchaser NE 35-44,Movie Purchaser NE 25-34,Movie Purchaser NE 18-24,Gneral Movie Purchaser North East Female,Movie Purchaser NE 55+ Female,Movie Purchaser NE 18-24,Movie Purchaser NE 25-34,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54 Female,Gneral Movie Purchaser North East Male,"Movie Purchaser NE 18-24 male
",Movie Purchaser NE 25-34 male,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 55+
Totals,Unwgt,26019,5557,1076,363,210,204,203,96,623,211,55,121,119,117,453,41,82,85,93,152
,(000s),240136,59805,9906,2178,1603,2322,2612,1191,5428,1129,729*,1481,1232,858,4478,462*,1131,1090,746,1049
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,4.13,0.91,0.67,0.97,1.09,0.5,2.26,0.47,0.3,0.62,0.51,0.36,1.86,0.19,0.47,0.45,0.31,0.44
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5352,1951,410,48,80,104,111,67,189,26,30,48,48,37,221,37,63,56,43,22
,(000s),63146,24518,4580,325*,636,1218,1620,782,2075,193#,400#,713*,496*,273*,2505,382*,906,722*,363*,132#
,Vert%,26.3,41,46.23,14.92,39.68,52.45,62.02,65.66,38.23,17.09,54.87,48.14,40.26,31.82,55.94,82.68,80.11,66.24,48.66,12.58
,Horz%,100,38.83,7.25,0.51,1.01,1.93,2.57,1.24,3.29,0.31,0.63,1.13,0.79,0.43,3.97,0.6,1.43,1.14,0.57,0.21
,Index,100,156,176,57,151,199,236,250,145,65,209,183,153,121,213,314,305,252,185,48
Streaming Video,Unwgt,18863,4383,858,265,164,174,170,85,509,162,48,101,105,93,349,37,69,69,71,103
,(000s),177757,47812,8393,1739,1279,2028,2304,1043,4613,910,597*,1287,1100,719,3779,446*,1017,928,560,829
,Vert%,74.02,79.95,84.73,79.84,79.79,87.34,88.21,87.57,84.99,80.6,81.89,86.9,89.29,83.8,84.39,96.54,89.92,85.14,75.07,79.03
,Horz%,100,26.9,4.72,0.98,0.72,1.14,1.3,0.59,2.6,0.51,0.34,0.72,0.62,0.4,2.13,0.25,0.57,0.52,0.32,0.47
,Index,100,108,114,108,108,118,119,118,115,109,111,117,121,113,114,130,121,115,101,107
Digital Music,Unwgt,26019,5557,1076,363,210,204,203,96,623,211,55,121,119,117,453,41,82,85,93,152
,(000s),240136,59805,9906,2178,1603,2322,2612,1191,5428,1129,729*,1481,1232,858,4478,462*,1131,1090,746,1049
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,4.13,0.91,0.67,0.97,1.09,0.5,2.26,0.47,0.3,0.62,0.51,0.36,1.86,0.19,0.47,0.45,0.31,0.44
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,22095,4810,956,341,198,176,168,73,558,197,41,106,104,110,398,32,62,72,88,144
,(000s),208180,52931,9119,2128,1503,2177,2318,993,5057,1100,611*,1359,1170,817,4062,383*,959,1007,686,1028
,Vert%,86.69,88.51,92.06,97.7,93.76,93.76,88.74,83.38,93.17,97.43,83.81,91.76,94.97,95.22,90.71,82.9,84.79,92.39,91.96,98
,Horz%,100,25.43,4.38,1.02,0.72,1.05,1.11,0.48,2.43,0.53,0.29,0.65,0.56,0.39,1.95,0.18,0.46,0.48,0.33,0.49
,Index,100,102,106,113,108,108,102,96,107,112,97,106,110,110,105,96,98,107,106,113
RADIO,Unwgt,17686,4194,809,266,177,153,152,61,485,159,41,95,87,103,324,20,57,66,74,107
,(000s),170824,46019,7742,1689,1426,1855,2049,724,4536,915,518*,1286,1000,817,3207,207#,762*,855,609,774
,Vert%,71.14,76.95,78.15,77.55,88.96,79.89,78.45,60.79,83.57,81.05,71.06,86.83,81.17,95.22,71.62,44.81,67.37,78.44,81.64,73.78
,Horz%,100,26.94,4.53,0.99,0.83,1.09,1.2,0.42,2.66,0.54,0.3,0.75,0.59,0.48,1.88,0.12,0.45,0.5,0.36,0.45
,Index,100,108,110,109,125,112,110,85,117,114,100,122,114,134,101,63,95,110,115,104
MAGAZINE,Unwgt,19441,4607,920,331,181,174,161,73,556,195,45,103,103,110,364,28,58,71,71,136
,(000s),180552,49290,8195,1961,1393,1983,1943,916,4843,1060,594*,1283,1069,838,3352,322#,660*,914,555,902
,Vert%,75.19,82.42,82.73,90.04,86.9,85.4,74.39,76.91,89.22,93.89,81.48,86.63,86.77,97.67,74.85,69.7,58.36,83.85,74.4,85.99
,Horz%,100,27.3,4.54,1.09,0.77,1.1,1.08,0.51,2.68,0.59,0.33,0.71,0.59,0.46,1.86,0.18,0.37,0.51,0.31,0.5
,Index,100,110,110,120,116,114,99,102,119,125,108,115,115,130,100,93,78,112,99,114
MOVIE GOERS,Unwgt,26019,5557,1076,363,210,204,203,96,623,211,55,121,119,117,453,41,82,85,93,152
,(000s),240136,59805,9906,2178,1603,2322,2612,1191,5428,1129,729*,1481,1232,858,4478,462*,1131,1090,746,1049
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,4.13,0.91,0.67,0.97,1.09,0.5,2.26,0.47,0.3,0.62,0.51,0.36,1.86,0.19,0.47,0.45,0.31,0.44
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,25337,5492,1060,360,207,201,199,93,615,211,53,119,117,115,445,40,80,84,92,149
,(000s),234819,59222,9745,2158,1582,2253,2579,1173,5388,1129,712*,1476,1228,844,4357,462*,1103,1025,738,1030
,Vert%,97.79,99.03,98.37,99.08,98.69,97.03,98.74,98.49,99.26,100,97.67,99.66,99.68,98.37,97.3,100,97.52,94.04,98.93,98.19
,Horz%,100,25.22,4.15,0.92,0.67,0.96,1.1,0.5,2.29,0.48,0.3,0.63,0.52,0.36,1.86,0.2,0.47,0.44,0.31,0.44
,Index,100,101,101,101,101,99,101,101,102,102,100,102,102,101,100,102,100,96,101,100
TABLET OWNER,Unwgt,9818,2790,565,164,115,134,118,34,364,106,23,79,81,75,201,11,39,53,40,58
,(000s),93980,30098,5482,952,850,1625,1684,371*,3257,549,252#,1001,879,577,2225,119#,684*,746*,273*,403*
,Vert%,39.14,50.33,55.34,43.71,53.03,69.98,64.47,31.15,60,48.63,34.57,67.59,71.35,67.25,49.69,25.76,60.48,68.44,36.6,38.42
,Horz%,100,32.03,5.83,1.01,0.9,1.73,1.79,0.39,3.47,0.58,0.27,1.07,0.94,0.61,2.37,0.13,0.73,0.79,0.29,0.43
,Index,100,129,141,112,135,179,165,80,153,124,88,173,182,172,127,66,155,175,94,98
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11429,2943,635,211,127,117,116,64,378,124,40,70,69,75,257,24,46,48,52,87
,(000s),106233,31033,5834,1346,863,1316,1594,715,3361,685,478*,1022,645,531,2473,237#,572*,672*,332*,661
,Vert%,44.24,51.89,58.89,61.8,53.84,56.68,61.03,60.03,61.92,60.67,65.57,69.01,52.35,61.89,55.23,51.3,50.57,61.65,44.5,63.01
,Horz%,100,29.21,5.49,1.27,0.81,1.24,1.5,0.67,3.16,0.64,0.45,0.96,0.61,0.5,2.33,0.22,0.54,0.63,0.31,0.62
,Index,100,117,133,140,122,128,138,136,140,137,148,156,118,140,125,116,114,139,101,142
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19339,4827,937,262,189,193,199,94,557,158,54,119,115,111,380,40,80,78,78,104
,(000s),188131,52995,8835,1516,1340,2219,2590,1170,5065,868,709*,1468,1204,817,3770,462*,1122,1015,524,648
,Vert%,78.34,88.61,89.19,69.61,83.59,95.56,99.16,98.24,93.31,76.88,97.26,99.12,97.73,95.22,84.19,100,99.2,93.12,70.24,61.77
,Horz%,100,28.17,4.7,0.81,0.71,1.18,1.38,0.62,2.69,0.46,0.38,0.78,0.64,0.43,2,0.25,0.6,0.54,0.28,0.34
,Index,100,113,114,89,107,122,127,125,119,98,124,127,125,122,107,128,127,119,90,79
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2016 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2015 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 18, 2018 / 4:30 PM",,,,,,,,,,,,,,,,,,,,,
