All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Female,Gneral Movie Purchaser North East Male,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 Female
","Movie Purchaser NE 18-24 male
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 25-34 male,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
Totals,Unwgt,6088,1877,362,178,184,57,30,27,91,44,47,76,37,39,61,35,26,77,38,39
,(000s),71575,23088,4035,1985,2050,889*,566#,323#,1297,574*,724*,742,373*,369*,616,402*,214#,490,228*,262*
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,5.64,2.77,2.86,1.24,0.79,0.45,1.81,0.8,1.01,1.04,0.52,0.52,0.86,0.56,0.3,0.68,0.32,0.37
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,327,159,168,55,28,27,87,40,47,71,35,36,56,33,23,58,26,32
,(000s),61255,21650,3784,1809,1975,861*,537#,323#,1237,514*,724*,693,362*,330*,547*,369*,178#,446*,197#,250*
,Vert%,85.58,93.77,93.78,91.13,96.34,96.85,94.88,100,95.37,89.55,100,93.4,97.05,89.43,88.8,91.79,83.18,91.02,86.4,95.42
,Horz%,100,35.34,6.18,2.95,3.22,1.41,0.88,0.53,2.02,0.84,1.18,1.13,0.59,0.54,0.89,0.6,0.29,0.73,0.32,0.41
,Index,100,110,110,106,113,113,111,117,111,105,117,109,113,104,104,107,97,106,101,111
Streaming Video,Unwgt,4956,1613,311,161,150,51,28,23,86,43,43,65,30,35,51,29,22,58,25,33
,(000s),58741,20176,3586,1835,1750,836*,547#,289#,1259,573*,686*,616,315#,301*,500*,319#,181#,375*,141#,234*
,Vert%,82.07,87.39,88.87,92.44,85.37,94.04,96.64,89.47,97.07,99.83,94.75,83.02,84.45,81.57,81.17,79.35,84.58,76.53,61.84,89.31
,Horz%,100,34.35,6.1,3.12,2.98,1.42,0.93,0.49,2.14,0.98,1.17,1.05,0.54,0.51,0.85,0.54,0.31,0.64,0.24,0.4
,Index,100,106,108,113,104,115,118,109,118,122,115,101,103,99,99,97,103,93,75,109
Digital Music,Unwgt,6088,1877,362,178,184,57,30,27,91,44,47,76,37,39,61,35,26,77,38,39
,(000s),71575,23088,4035,1985,2050,889*,566#,323#,1297,574*,724*,742,373*,369*,616,402*,214#,490,228*,262*
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,5.64,2.77,2.86,1.24,0.79,0.45,1.81,0.8,1.01,1.04,0.52,0.52,0.86,0.56,0.3,0.68,0.32,0.37
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,4770,1538,307,146,161,41,20,21,72,34,38,67,32,35,53,33,20,74,37,37
,(000s),56475,18971,3399,1652,1747,703*,431#,271#,985,457*,529*,681,327*,354*,545*,393*,152#,486,227*,259*
,Vert%,78.9,82.17,84.24,83.22,85.22,79.08,76.15,83.9,75.94,79.62,73.07,91.78,87.67,95.93,88.47,97.76,71.03,99.18,99.56,98.85
,Horz%,100,33.59,6.02,2.93,3.09,1.24,0.76,0.48,1.74,0.81,0.94,1.21,0.58,0.63,0.97,0.7,0.27,0.86,0.4,0.46
,Index,100,104,107,105,108,100,97,106,96,101,93,116,111,122,112,124,90,126,126,125
RADIO,Unwgt,4089,1386,269,131,138,41,24,17,61,28,33,57,29,28,51,28,23,59,31,28
,(000s),48424,16720,3082,1524,1557,645*,427#,218#,881,378#,503*,630*,300#,330#,517*,347#,170#,410*,190*,219#
,Vert%,67.65,72.42,76.38,76.78,75.95,72.55,75.44,67.49,67.93,65.85,69.48,84.91,80.43,89.43,83.93,86.32,79.44,83.67,83.33,83.59
,Horz%,100,34.53,6.36,3.15,3.22,1.33,0.88,0.45,1.82,0.78,1.04,1.3,0.62,0.68,1.07,0.72,0.35,0.85,0.39,0.45
,Index,100,107,113,113,112,107,112,100,100,97,103,125,119,132,124,128,117,124,123,124
MAGAZINE,Unwgt,4249,1456,299,159,140,46,27,19,69,36,33,66,27,39,52,29,23,66,32,34
,(000s),48801,17437,3282,1819,1463,728*,539#,190#,904,474*,430*,650,281#,369*,555*,364#,191#,446,199*,246*
,Vert%,68.18,75.52,81.34,91.64,71.37,81.89,95.23,58.82,69.7,82.58,59.39,87.6,75.34,100,90.1,90.55,89.25,91.02,87.28,93.89
,Horz%,100,35.73,6.73,3.73,3,1.49,1.1,0.39,1.85,0.97,0.88,1.33,0.58,0.76,1.14,0.75,0.39,0.91,0.41,0.5
,Index,100,111,119,134,105,120,140,86,102,121,87,128,110,147,132,133,131,133,128,138
MOVIE GOERS,Unwgt,6088,1877,362,178,184,57,30,27,91,44,47,76,37,39,61,35,26,77,38,39
,(000s),71575,23088,4035,1985,2050,889*,566#,323#,1297,574*,724*,742,373*,369*,616,402*,214#,490,228*,262*
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
