,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
Totals,Unwgt,6088,1877,398,214,184,60,37,23,114,62,52,88,52,36,74,28,34,74,35,39
,(000s),71575,23088,2410,1452,958,371*,243*,128#,973,540,433*,543,370*,173*,303,119#,102*,303,181*,122*
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,3.37,2.03,1.34,0.52,0.34,0.18,1.36,0.75,0.6,0.76,0.52,0.24,0.42,0.17,0.14,0.42,0.25,0.17
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,358,205,153,59,36,23,108,62,46,83,51,32,56,24,28,56,32,24
,(000s),61255,21650,2196,1405,791,371*,243*,128#,882,540,342*,523,370*,153*,236*,103#,82#,236*,150*,86#
,Vert%,85.58,93.77,91.12,96.76,82.57,100,100,100,90.65,100,78.98,96.32,100,88.44,77.89,86.55,80.39,77.89,82.87,70.49
,Horz%,100,35.34,3.59,2.29,1.29,0.61,0.4,0.21,1.44,0.88,0.56,0.85,0.6,0.25,0.39,0.17,0.13,0.39,0.24,0.14
,Index,100,110,106,113,96,117,117,117,106,117,92,113,117,103,91,101,94,91,97,82
Streaming Video,Unwgt,4956,1613,340,183,157,53,32,21,103,54,49,72,44,28,59,24,29,59,29,30
,(000s),58741,20176,2152,1284,868,332*,207*,125#,940,508*,431*,447,332*,115#,239*,104#,90#,239*,132#,106#
,Vert%,82.07,87.39,89.29,88.43,90.61,89.49,85.19,97.66,96.61,94.07,99.54,82.32,89.73,66.47,78.88,87.39,88.24,78.88,72.93,86.89
,Horz%,100,34.35,3.66,2.19,1.48,0.57,0.35,0.21,1.6,0.86,0.73,0.76,0.57,0.2,0.41,0.18,0.15,0.41,0.22,0.18
,Index,100,106,109,108,110,109,104,119,118,115,121,100,109,81,96,106,108,96,89,106
Digital Music,Unwgt,6088,1877,398,214,184,60,37,23,114,62,52,88,52,36,74,28,34,74,35,39
,(000s),71575,23088,2410,1452,958,371*,243*,128#,973,540,433*,543,370*,173*,303,119#,102*,303,181*,122*
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,3.37,2.03,1.34,0.52,0.34,0.18,1.36,0.75,0.6,0.76,0.52,0.24,0.42,0.17,0.14,0.42,0.25,0.17
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,4770,1538,316,165,151,37,22,15,86,44,42,70,42,28,68,26,29,68,31,37
,(000s),56475,18971,1986,1143,844,256*,136#,120#,807,456*,351*,422,264*,159#,292,115#,94#,292,172*,119*
,Vert%,78.9,82.17,82.41,78.72,88.1,69,55.97,93.75,82.94,84.44,81.06,77.72,71.35,91.91,96.37,96.64,92.16,96.37,95.03,97.54
