All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
Totals,Unwgt,27446,6622,1524,664,860,204,93,111,328,135,193,357,155,202,295,125,170,156,184,340
,(000s),234034,59760,7363,3666,3697,1280,731,549,1882,873,1009,1584,850,734,1186,634,551,578,854,1431
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,3.15,1.57,1.58,0.55,0.31,0.23,0.8,0.37,0.43,0.68,0.36,0.31,0.51,0.27,0.24,0.25,0.36,0.61
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,635,323,312,134,75,59,185,90,95,169,85,84,83,41,42,32,32,64
,(000s),65410,27699,3130,1786,1344,798,524,275*,889,496,394,804,445,359,407,252*,155*,69*,163*,232
,Vert%,27.95,46.35,42.51,48.72,36.35,62.34,71.68,50.09,47.24,56.82,39.05,50.76,52.35,48.91,34.32,39.75,28.13,11.94,19.09,16.21
,Horz%,100,42.35,4.79,2.73,2.05,1.22,0.8,0.42,1.36,0.76,0.6,1.23,0.68,0.55,0.62,0.39,0.24,0.11,0.25,0.35
,Index,100,166,152,174,130,223,256,179,169,203,140,182,187,175,123,142,101,43,68,58
Digital Music,Unwgt,27446,6622,1524,664,860,204,93,111,328,135,193,357,155,202,295,125,170,156,184,340
,(000s),234034,59760,7363,3666,3697,1280,731,549,1882,873,1009,1584,850,734,1186,634,551,578,854,1431
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,3.15,1.57,1.58,0.55,0.31,0.23,0.8,0.37,0.43,0.68,0.36,0.31,0.51,0.27,0.24,0.25,0.36,0.61
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,1339,573,766,149,66,83,272,110,162,319,134,185,272,113,159,150,177,327
,(000s),207976,54297,6596,3154,3442,946,503,443,1719,792,927,1384,681,703,1128,607,521,571,848,1419
,Vert%,88.87,90.86,89.58,86.03,93.1,73.91,68.81,80.69,91.34,90.72,91.87,87.37,80.12,95.78,95.11,95.74,94.56,98.79,99.3,99.16
,Horz%,100,26.11,3.17,1.52,1.65,0.45,0.24,0.21,0.83,0.38,0.45,0.67,0.33,0.34,0.54,0.29,0.25,0.27,0.41,0.68
,Index,100,102,101,97,105,83,77,91,103,102,103,98,90,108,107,108,106,111,112,112
RADIO,Unwgt,19045,5069,1184,490,694,143,60,83,268,102,166,280,112,168,246,103,143,113,134,247
,(000s),169892,47452,5496,2560,2936,818,405*,412,1547,665,883,1217,563,655,918,482,436,444,551,995
,Vert%,72.59,79.4,74.64,69.83,79.42,63.91,55.4,75.05,82.2,76.17,87.51,76.83,66.24,89.24,77.4,76.03,79.13,76.82,64.52,69.53
,Horz%,100,27.93,3.23,1.51,1.73,0.48,0.24,0.24,0.91,0.39,0.52,0.72,0.33,0.39,0.54,0.28,0.26,0.26,0.32,0.59
,Index,100,109,103,96,109,88,76,103,113,105,121,106,91,123,107,105,109,106,89,96
MAGAZINE,Unwgt,21921,5698,1251,502,749,147,59,88,252,88,164,290,116,174,255,103,152,136,171,307
,(000s),190820,51486,5743,2563,3181,860,388*,472,1333,494,839,1323,653,669,1023,553,470,474,730,1204
