All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
Totals,Unwgt,26019,5557,1026,424,602,114,40,74,114,40,102,177,72,105,232,100,132,324,135,189
,(000s),240136,59805,8080,3952,4128,1280,415*,866,1280,415*,1026,1663,882,781,1538,819,719,1505,769,736
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,3.36,1.65,1.72,0.53,0.17,0.36,0.53,0.17,0.43,0.69,0.37,0.33,0.64,0.34,0.3,0.63,0.32,0.31
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5352,1951,340,173,167,52,22,30,52,22,37,77,37,40,64,36,28,54,22,32
,(000s),63146,24518,3092,1776,1317,436*,197#,239#,436*,197#,428*,761,373*,388*,392,264*,128#,280*,147#,133*
,Vert%,26.3,41,38.27,44.94,31.9,34.06,47.47,27.6,34.06,47.47,41.72,45.76,42.29,49.68,25.49,32.23,17.8,18.6,19.12,18.07
,Horz%,100,38.83,4.9,2.81,2.09,0.69,0.31,0.38,0.69,0.31,0.68,1.21,0.59,0.61,0.62,0.42,0.2,0.44,0.23,0.21
,Index,100,156,146,171,121,130,181,105,130,181,159,174,161,189,97,123,68,71,73,69
Streaming Video,Unwgt,18863,4383,833,345,488,92,31,61,92,31,86,153,62,91,191,84,107,243,100,143
,(000s),177757,47812,6674,3243,3431,1026,364*,661,1026,364*,867,1476,788,688,1252,603,649,1038,472,566
,Vert%,74.02,79.95,82.6,82.06,83.12,80.16,87.71,76.33,80.16,87.71,84.5,88.76,89.34,88.09,81.4,73.63,90.26,68.97,61.38,76.9
,Horz%,100,26.9,3.75,1.82,1.93,0.58,0.2,0.37,0.58,0.2,0.49,0.83,0.44,0.39,0.7,0.34,0.37,0.58,0.27,0.32
,Index,100,108,112,111,112,108,118,103,108,118,114,120,121,119,110,99,122,93,83,104
Digital Music,Unwgt,26019,5557,1026,424,602,114,40,74,114,40,102,177,72,105,232,100,132,324,135,189
,(000s),240136,59805,8080,3952,4128,1280,415*,866,1280,415*,1026,1663,882,781,1538,819,719,1505,769,736
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,3.36,1.65,1.72,0.53,0.17,0.36,0.53,0.17,0.43,0.69,0.37,0.33,0.64,0.34,0.3,0.63,0.32,0.31
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,22095,4810,900,359,541,88,26,62,88,26,86,153,58,95,211,92,119,305,126,179
,(000s),208180,52931,7240,3402,3837,1025,239#,786,1025,239#,913,1564,802*,762,1477,783,694,1409,727,682
