All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South,Genral Movie Purchaser South Male,Genral Movie Purchaser South Female,Movie Purchaser South 18-24,"Movie Purchaser South 18-24 male
","Movie Purchaser South 18-24 Female
",Movie Purchaser South 25-34,Movie Purchaser South 25-34 male,Movie Purchaser South 25-34 Female,Movie Purchaser South 35-44,Movie Purchaser South 35-44 Male,Movie Purchaser South 35-44 Female,Movie Purchaser South 45-54,Movie Purchaser South 45-54 Male,Movie Purchaser South 45-54 Female,Movie Purchaser South 55+,Movie Purchaser South 55+ Male,Movie Purchaser South 55+ Female
Totals,Unwgt,27446,6622,2479,1059,1420,302,127,175,489,199,290,548,226,322,513,210,303,627,297,330
,(000s),234034,59760,19298,9077,10221,3045,1565,1480,4451,1965,2486,4017,1948,2069,3320,1455,1865,4465,2144,2321
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,8.25,3.88,4.37,1.3,0.67,0.63,1.9,0.84,1.06,1.72,0.83,0.88,1.42,0.62,0.8,1.91,0.92,0.99
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,1011,493,518,197,105,92,273,131,142,257,124,133,155,69,86,129,64,65
,(000s),65410,27699,8436,4525,3910,2042,1325,717,2346,1173,1172,2023,1073,950,983,474,508,1043,481,562
,Vert%,27.95,46.35,43.71,49.85,38.25,67.06,84.66,48.45,52.71,59.69,47.14,50.36,55.08,45.92,29.61,32.58,27.24,23.36,22.43,24.21
,Horz%,100,42.35,12.9,6.92,5.98,3.12,2.03,1.1,3.59,1.79,1.79,3.09,1.64,1.45,1.5,0.72,0.78,1.59,0.74,0.86
,Index,100,166,156,178,137,240,303,173,189,214,169,180,197,164,106,117,97,84,80,87
Digital Music,Unwgt,27446,6622,2479,1059,1420,302,127,175,489,199,290,548,226,322,513,210,303,627,297,330
,(000s),234034,59760,19298,9077,10221,3045,1565,1480,4451,1965,2486,4017,1948,2069,3320,1455,1865,4465,2144,2321
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,8.25,3.88,4.37,1.3,0.67,0.63,1.9,0.84,1.06,1.72,0.83,0.88,1.42,0.62,0.8,1.91,0.92,0.99
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,2181,918,1263,224,93,131,405,159,246,487,197,290,468,187,281,597,282,315
,(000s),207976,54297,17380,7959,9421,2407,1147,1260,4009,1658,2351,3625,1755,1870,3128,1356,1772,4211,2044,2168
,Vert%,88.87,90.86,90.06,87.68,92.17,79.05,73.29,85.14,90.07,84.38,94.57,90.24,90.09,90.38,94.22,93.2,95.01,94.31,95.34,93.41
,Horz%,100,26.11,8.36,3.83,4.53,1.16,0.55,0.61,1.93,0.8,1.13,1.74,0.84,0.9,1.5,0.65,0.85,2.02,0.98,1.04
,Index,100,102,101,99,104,89,82,96,101,95,106,102,101,102,106,105,107,106,107,105
RADIO,Unwgt,19045,5069,1877,763,1114,212,81,131,385,142,243,428,164,264,414,167,247,438,209,229
,(000s),169892,47452,14477,6151,8326,2049,805,1244,3631,1432,2198,3047,1273,1775,2592,1057,1535,3158,1583,1575
,Vert%,72.59,79.4,75.02,67.76,81.46,67.29,51.44,84.05,81.58,72.88,88.42,75.85,65.35,85.79,78.07,72.65,82.31,70.73,73.83,67.86
,Horz%,100,27.93,8.52,3.62,4.9,1.21,0.47,0.73,2.14,0.84,1.29,1.79,0.75,1.04,1.53,0.62,0.9,1.86,0.93,0.93
,Index,100,109,103,93,112,93,71,116,112,100,122,104,90,118,108,100,113,97,102,93
MAGAZINE,Unwgt,21921,5698,2072,834,1238,228,86,142,385,136,249,450,174,276,438,173,265,571,265,306
,(000s),190820,51486,15963,7103,8860,2345,1092,1253,3457,1270,2188,3438,1603,1835,2782,1264,1518,3940,1874,2066
,Vert%,81.54,86.15,82.72,78.25,86.68,77.01,69.78,84.66,77.67,64.63,88.01,85.59,82.29,88.69,83.8,86.87,81.39,88.24,87.41,89.01
,Horz%,100,26.98,8.37,3.72,4.64,1.23,0.57,0.66,1.81,0.67,1.15,1.8,0.84,0.96,1.46,0.66,0.8,2.06,0.98,1.08
,Index,100,106,101,96,106,94,86,104,95,79,108,105,101,109,103,107,100,108,107,109
MOVIE GOERS,Unwgt,27446,6622,2479,1059,1420,302,127,175,489,199,290,548,226,322,513,210,303,627,297,330
,(000s),234034,59760,19298,9077,10221,3045,1565,1480,4451,1965,2486,4017,1948,2069,3320,1455,1865,4465,2144,2321
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,8.25,3.88,4.37,1.3,0.67,0.63,1.9,0.84,1.06,1.72,0.83,0.88,1.42,0.62,0.8,1.91,0.92,0.99
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,26457,6542,2447,1039,1408,299,126,173,480,192,288,538,221,317,508,207,301,622,293,329
,(000s),227019,59228,19157,8975,10182,3044,1565,1479,4387,1902,2485,3986,1918,2068,3278,1446,1831,4462,2143,2319
,Vert%,97,99.11,99.27,98.88,99.62,99.97,100,99.93,98.56,96.79,99.96,99.23,98.46,99.95,98.73,99.38,98.18,99.93,99.95,99.91
,Horz%,100,26.09,8.44,3.95,4.49,1.34,0.69,0.65,1.93,0.84,1.09,1.76,0.84,0.91,1.44,0.64,0.81,1.97,0.94,1.02
,Index,100,102,102,102,103,103,103,103,102,100,103,102,102,103,102,102,101,103,103,103
TABLET OWNER,Unwgt,8845,2791,1039,404,635,105,41,64,226,82,144,276,117,159,239,82,157,193,82,111
,(000s),75009,25141,7834,3200,4634,762,210*,553,1802,492,1310,2240,1193,1046,1492,523,969,1539,783,755
,Vert%,32.05,42.07,40.59,35.25,45.34,25.02,13.42,37.36,40.49,25.04,52.7,55.76,61.24,50.56,44.94,35.95,51.96,34.47,36.52,32.53
,Horz%,100,33.52,10.44,4.27,6.18,1.02,0.28,0.74,2.4,0.66,1.75,2.99,1.59,1.39,1.99,0.7,1.29,2.05,1.04,1.01
,Index,100,131,127,110,141,78,42,117,126,78,164,174,191,158,140,112,162,108,114,101
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11617,3450,1187,443,744,146,54,92,244,86,158,253,89,164,263,95,168,281,119,162
,(000s),97217,30518,9235,3776,5459,1344,611*,733,2142,787,1355,1942,798,1144,1772,773,999,2035,807,1229
,Vert%,41.54,51.07,47.85,41.6,53.41,44.14,39.04,49.53,48.12,40.05,54.51,48.34,40.97,55.29,53.37,53.13,53.57,45.58,37.64,52.95
,Horz%,100,31.39,9.5,3.88,5.62,1.38,0.63,0.75,2.2,0.81,1.39,2,0.82,1.18,1.82,0.8,1.03,2.09,0.83,1.26
,Index,100,123,115,100,129,106,94,119,116,96,131,116,99,133,128,128,129,110,91,127
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19439,5601,2114,865,1249,293,122,171,466,185,281,493,194,299,442,168,274,420,196,224
,(000s),168880,51870,16935,7802,9133,3015,1544,1472,4177,1824,2353,3684,1710,1974,2890,1209,1681,3169,1515,1654
,Vert%,72.16,86.8,87.76,85.95,89.36,99.01,98.66,99.46,93.84,92.82,94.65,91.71,87.78,95.41,87.05,83.09,90.13,70.97,70.66,71.26
