All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South,Genral Movie Purchaser South Male,Genral Movie Purchaser South Female,Movie Purchaser South 18-24,"Movie Purchaser South 18-24 male
","Movie Purchaser South 18-24 Female
",Movie Purchaser South 25-34,Movie Purchaser South 25-34 male,Movie Purchaser South 25-34 Female,Movie Purchaser South 35-44,Movie Purchaser South 35-44 Male,Movie Purchaser South 35-44 Female,Movie Purchaser South 45-54,Movie Purchaser South 45-54 Male,Movie Purchaser South 45-54 Female,Movie Purchaser South 55+,Movie Purchaser South 55+ Male,Movie Purchaser South 55+ Female
Totals,Unwgt,26019,5557,1904,779,1125,184,64,120,311,120,191,340,141,199,440,187,253,629,267,362
,(000s),240136,59805,19463,8822,10641,2630,1113,1517,4311,1831,2480,4008,1957,2052,3880,1956,1924,4635,1966,2669
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,8.1,3.67,4.43,1.1,0.46,0.63,1.8,0.76,1.03,1.67,0.81,0.85,1.62,0.81,0.8,1.93,0.82,1.11
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5352,1951,628,309,319,86,39,47,155,86,69,149,72,77,131,66,65,107,46,61
,(000s),63146,24518,7492,3965,3527,1318,711*,606*,2442,1392,1050,1863,1020,843,1046,523,522,824,319*,505
,Vert%,26.3,41,38.49,44.94,33.15,50.11,63.88,39.95,56.65,76.02,42.34,46.48,52.12,41.08,26.96,26.74,27.13,17.78,16.23,18.92
,Horz%,100,38.83,11.86,6.28,5.59,2.09,1.13,0.96,3.87,2.2,1.66,2.95,1.62,1.34,1.66,0.83,0.83,1.3,0.51,0.8
,Index,100,156,146,171,126,191,243,152,215,289,161,177,198,156,103,102,103,68,62,72
Streaming Video,Unwgt,18863,4383,1521,626,895,147,51,96,271,107,164,281,118,163,353,154,199,469,196,273
,(000s),177757,47812,15522,7069,8452,2022,883*,1139,3894,1726,2168,3327,1674,1654,2971,1431,1540,3308,1356,1952
,Vert%,74.02,79.95,79.75,80.13,79.43,76.88,79.34,75.08,90.33,94.27,87.42,83.01,85.54,80.6,76.57,73.16,80.04,71.37,68.97,73.14
,Horz%,100,26.9,8.73,3.98,4.75,1.14,0.5,0.64,2.19,0.97,1.22,1.87,0.94,0.93,1.67,0.81,0.87,1.86,0.76,1.1
,Index,100,108,108,108,107,104,107,101,122,127,118,112,116,109,103,99,108,96,93,99
Digital Music,Unwgt,26019,5557,1904,779,1125,184,64,120,311,120,191,340,141,199,440,187,253,629,267,362
,(000s),240136,59805,19463,8822,10641,2630,1113,1517,4311,1831,2480,4008,1957,2052,3880,1956,1924,4635,1966,2669
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,8.1,3.67,4.43,1.1,0.46,0.63,1.8,0.76,1.03,1.67,0.81,0.85,1.62,0.81,0.8,1.93,0.82,1.11
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,22095,4810,1661,661,1000,133,41,92,253,93,160,294,114,180,392,165,227,589,248,341
,(000s),208180,52931,17444,7652,9792,2025,738*,1288,3671,1518,2153,3713,1729,1984,3605,1798,1807,4430,1870,2560
,Vert%,86.69,88.51,89.63,86.74,92.02,77,66.31,84.9,85.15,82.91,86.81,92.64,88.35,96.69,92.91,91.92,93.92,95.58,95.12,95.92
,Horz%,100,25.43,8.38,3.68,4.7,0.97,0.35,0.62,1.76,0.73,1.03,1.78,0.83,0.95,1.73,0.86,0.87,2.13,0.9,1.23
,Index,100,102,103,100,106,89,76,98,98,96,100,107,102,112,107,106,108,110,110,111
RADIO,Unwgt,17686,4194,1411,568,843,127,42,85,236,83,153,268,108,160,347,149,198,433,186,247
,(000s),170824,46019,14096,6311,7785,1407,563*,845,3119,1127,1992,3284,1613,1671,3202,1644,1558,3084,1365,1719
,Vert%,71.14,76.95,72.42,71.54,73.16,53.5,50.58,55.7,72.35,61.55,80.32,81.94,82.42,81.43,82.53,84.05,80.98,66.54,69.43,64.41
,Horz%,100,26.94,8.25,3.69,4.56,0.82,0.33,0.49,1.83,0.66,1.17,1.92,0.94,0.98,1.87,0.96,0.91,1.81,0.8,1.01
,Index,100,108,102,101,103,75,71,78,102,87,113,115,116,114,116,118,114,94,98,91
MAGAZINE,Unwgt,19441,4607,1533,593,940,133,45,88,237,83,154,252,87,165,356,145,211,555,233,322
,(000s),180552,49290,15394,6833,8562,1645,872*,773,3331,1307,2023,2978,1270,1708,3318,1656,1661,4124,1727,2397
,Vert%,75.19,82.42,79.09,77.45,80.46,62.55,78.35,50.96,77.27,71.38,81.57,74.3,64.9,83.24,85.52,84.66,86.33,88.98,87.84,89.81
,Horz%,100,27.3,8.53,3.78,4.74,0.91,0.48,0.43,1.84,0.72,1.12,1.65,0.7,0.95,1.84,0.92,0.92,2.28,0.96,1.33
,Index,100,110,105,103,107,83,104,68,103,95,108,99,86,111,114,113,115,118,117,119
MOVIE GOERS,Unwgt,26019,5557,1904,779,1125,184,64,120,311,120,191,340,141,199,440,187,253,629,267,362
,(000s),240136,59805,19463,8822,10641,2630,1113,1517,4311,1831,2480,4008,1957,2052,3880,1956,1924,4635,1966,2669
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,8.1,3.67,4.43,1.1,0.46,0.63,1.8,0.76,1.03,1.67,0.81,0.85,1.62,0.81,0.8,1.93,0.82,1.11
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,25337,5492,1887,774,1113,180,63,117,311,120,191,338,140,198,435,185,250,623,266,357
,(000s),234819,59222,19307,8795,10512,2610,1112,1499,4311,1831,2480,3957,1955,2002,3831,1933,1898,4598,1965,2633
,Vert%,97.79,99.03,99.2,99.69,98.79,99.24,99.91,98.81,100,100,100,98.73,99.9,97.56,98.74,98.82,98.65,99.2,99.95,98.65
,Horz%,100,25.22,8.22,3.75,4.48,1.11,0.47,0.64,1.84,0.78,1.06,1.69,0.83,0.85,1.63,0.82,0.81,1.96,0.84,1.12
,Index,100,101,101,102,101,101,102,101,102,102,102,101,102,100,101,101,101,101,102,101
TABLET OWNER,Unwgt,9818,2790,940,337,603,72,19,53,162,50,112,193,76,117,247,97,150,266,95,171
,(000s),93980,30098,9638,3591,6047,922,239#,682*,2401,712*,1689,2353,1169,1184,2097,911,1186,1866,560,1306
,Vert%,39.14,50.33,49.52,40.71,56.83,35.06,21.47,44.96,55.69,38.89,68.1,58.71,59.73,57.7,54.05,46.57,61.64,40.26,28.48,48.93
,Horz%,100,32.03,10.26,3.82,6.43,0.98,0.25,0.73,2.55,0.76,1.8,2.5,1.24,1.26,2.23,0.97,1.26,1.99,0.6,1.39
,Index,100,129,127,104,145,90,55,115,142,99,174,150,153,147,138,119,158,103,73,125
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11429,2943,943,359,584,90,26,64,169,57,112,162,66,96,230,89,141,292,121,171
,(000s),106233,31033,8689,3728,4961,1098,535#,563,2245,784*,1462,1724,858,867,1699,859,840,1924,693,1231
,Vert%,44.24,51.89,44.64,42.26,46.62,41.75,48.07,37.11,52.08,42.82,58.95,43.01,43.84,42.25,43.79,43.92,43.66,41.51,35.25,46.12
,Horz%,100,29.21,8.18,3.51,4.67,1.03,0.5,0.53,2.11,0.74,1.38,1.62,0.81,0.82,1.6,0.81,0.79,1.81,0.65,1.16
,Index,100,117,101,96,105,94,109,84,118,97,133,97,99,96,99,99,99,94,80,104
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19339,4827,1662,646,1016,176,58,118,300,112,188,327,131,196,387,155,232,472,190,282
,(000s),188131,52995,17166,7436,9730,2469,974*,1495,4176,1705,2471,3838,1839,1999,3243,1537,1707,3441,1382,2058
,Vert%,78.34,88.61,88.2,84.29,91.44,93.88,87.51,98.55,96.87,93.12,99.64,95.76,93.97,97.42,83.58,78.58,88.72,74.24,70.3,77.11
,Horz%,100,28.17,9.12,3.95,5.17,1.31,0.52,0.79,2.22,0.91,1.31,2.04,0.98,1.06,1.72,0.82,0.91,1.83,0.73,1.09
,Index,100,113,113,108,117,120,112,126,124,119,127,122,120,124,107,100,113,95,90,98
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
