Geography,Gender,age,population
Alabama,male,Under_5_years,149374
Alabama,male,5_to_9_years,153526
Alabama,male,10_to_14_years,157478
Alabama,male,15_to_19_years,161735
Alabama,male,20_to_24_years,166366
Alabama,male,25_to_29_years,167743
Alabama,male,30_to_34_years,147599
Alabama,male,35_to_39_years,146855
Alabama,male,40_to_44_years,140254
Alabama,male,45_to_49_years,152753
Alabama,male,50_to_54_years,156734
Alabama,male,55_to_59_years,161580
Alabama,male,60_to_64_years,147832
Alabama,male,65_to_69_years,125004
Alabama,male,70_to_74_years,95008
Alabama,male,75_to_79_years,62262
Alabama,male,80_to_84_years,38581
Alabama,male,85_years_and_over,29152
Alaska,male,Under_5_years,27625
Alaska,male,5_to_9_years,26850
Alaska,male,10_to_14_years,25316
Alaska,male,15_to_19_years,24709
Alaska,male,20_to_24_years,31449
Alaska,male,25_to_29_years,33700
Alaska,male,30_to_34_years,30359
Alaska,male,35_to_39_years,26288
Alaska,male,40_to_44_years,22369
Alaska,male,45_to_49_years,23363
Alaska,male,50_to_54_years,24497
Alaska,male,55_to_59_years,26028
Alaska,male,60_to_64_years,23093
Alaska,male,65_to_69_years,17639
Alaska,male,70_to_74_years,11355
Alaska,male,75_to_79_years,6323
Alaska,male,80_to_84_years,3296
Alaska,male,85_years_and_over,2533
Arizona,male,Under_5_years,223615
Arizona,male,5_to_9_years,229890
Arizona,male,10_to_14_years,237321
Arizona,male,15_to_19_years,238976
Arizona,male,20_to_24_years,252422
Arizona,male,25_to_29_years,259518
Arizona,male,30_to_34_years,235679
Arizona,male,35_to_39_years,226245
Arizona,male,40_to_44_years,207579
Arizona,male,45_to_49_years,213122
Arizona,male,50_to_54_years,206923
Arizona,male,55_to_59_years,210268
Arizona,male,60_to_64_years,192558
Arizona,male,65_to_69_years,178793
Arizona,male,70_to_74_years,150424
Arizona,male,75_to_79_years,103457
Arizona,male,80_to_84_years,66061
Arizona,male,85_years_and_over,55450
Arkansas,male,Under_5_years,98313
Arkansas,male,5_to_9_years,99851
Arkansas,male,10_to_14_years,101960
Arkansas,male,15_to_19_years,101485
Arkansas,male,20_to_24_years,103353
Arkansas,male,25_to_29_years,103464
Arkansas,male,30_to_34_years,95024
Arkansas,male,35_to_39_years,94855
Arkansas,male,40_to_44_years,87264
Arkansas,male,45_to_49_years,91225
Arkansas,male,50_to_54_years,93354
Arkansas,male,55_to_59_years,96334
Arkansas,male,60_to_64_years,87355
Arkansas,male,65_to_69_years,75835
Arkansas,male,70_to_74_years,59864
Arkansas,male,75_to_79_years,40721
Arkansas,male,80_to_84_years,25663
Arkansas,male,85_years_and_over,20144
California,male,Under_5_years,1264710
California,male,5_to_9_years,1284927
California,male,10_to_14_years,1296870
California,male,15_to_19_years,1308569
California,male,20_to_24_years,1429323
California,male,25_to_29_years,1617117
California,male,30_to_34_years,1487711
California,male,35_to_39_years,1375976
