All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,GeECral Movie Purchaser,GECral Movie Purchaser East Central,GECral Movie Purchaser East Central Male,GECral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
Totals,Unwgt,6088,1877,194,99,95,22,15,7,51,22,29,53,28,25,33,15,18,35,19,16
,(000s),71575,23088,3023,1656,1367,411#,367#,44#,1037*,473#,564#,910*,496#,414#,337*,106#,231#,328*,214#,114#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,4.22,2.31,1.91,0.57,0.51,0.06,1.45,0.66,0.79,1.27,0.69,0.58,0.47,0.15,0.32,0.46,0.3,0.16
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,180,93,87,21,15,6,48,22,26,53,28,25,30,13,17,28,15,13
,(000s),61255,21650,2851,1588,1263,395#,367#,29#,979*,473#,506#,910*,496#,414#,327#,99#,229#,240#,153#,87#
,Vert%,85.58,93.77,94.31,95.89,92.39,96.11,100,65.91,94.41,100,89.72,100,100,100,97.03,93.4,99.13,73.17,71.5,76.32
,Horz%,100,35.34,4.65,2.59,2.06,0.64,0.6,0.05,1.6,0.77,0.83,1.49,0.81,0.68,0.53,0.16,0.37,0.39,0.25,0.14
,Index,100,110,110,112,108,112,117,77,110,117,105,117,117,117,113,109,116,85,84,89
Streaming Video,Unwgt,4956,1613,168,86,82,21,14,7,45,19,26,47,26,21,27,12,15,28,15,13
,(000s),58741,20176,2657,1461,1196,402#,357#,44#,890*,387#,503#,776*,439#,337#,321#,96#,225#,269#,182#,87#
