state,division
Alabama,south_east
Alaska,pacific
Arizona,mountain
Arkansas,south_west
California,pacific
Colorado,mountain
Connecticut,north_east
Delaware,south
District of Columbia,south
Florida,south
Georgia,south
Hawaii,pacific
Idaho,mountain
Illinois,east_central
Indiana,east_central
Iowa,west_central
Kansas,west_central
Kentucky,south_east
Louisiana,south_west
Maine,north_east
Maryland,south
Massachusetts,north_east
Michigan,east_central
Minnesota,west_central
Mississippi,south_east
Missouri,west_central
Montana,mountain
Nebraska,west_central
Nevada,mountain
New Hampshire,north_east
New Jersey,north_east
New Mexico,mountain
New York,north_east
North Carolina,south
North Dakota,west_central
Ohio,east_central
Oklahoma,south_west
Oregon,pacific
Pennsylvania,north_east
Rhode Island,north_east
South Carolina,south
South Dakota,west_central
Tennessee,south_east
Texas,south_west
Utah,mountain
Vermont,north_east
Virginia,south
Washington,pacific
West Virginia,south
Wisconsin,east_central
Wyoming,mountain
