All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Male,Gneral Movie Purchaser North East Female,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 male
","Movie Purchaser NE 18-24 Female
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 male,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
Totals,Unwgt,23689,6041,1225,516,672,126,53,73,180,63,117,219,93,126,297,131,166,366,176,190
,(000s),231709,65066,10227,5236,6945,1764,650*,1114,2446,954,1493,2456,1048,1407,3227,1457,1770,2288,1127,1161
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,4.37,2.26,3,0.76,0.28,0.48,1.06,0.41,0.64,1.06,0.45,0.61,1.39,0.63,0.76,0.99,0.49,0.5
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,485,234,252,82,47,35,92,41,51,119,56,63,109,51,58,84,39,45
,(000s),66903,29479,4791,2500,2523,932,530*,402*,1253,669*,584*,1314,617*,697,1062,479*,583*,463,206*,257*
,Vert%,28.87,45.31,46.85,47.75,36.33,52.83,81.54,36.09,51.23,70.13,39.12,53.5,58.87,49.54,32.91,32.88,32.94,20.24,18.28,22.14
,Horz%,100,44.06,7.32,3.74,3.77,1.39,0.79,0.6,1.87,1,0.87,1.96,0.92,1.04,1.59,0.72,0.87,0.69,0.31,0.38
,Index,100,157,168,165,126,183,282,125,177,243,135,185,204,172,114,114,114,70,63,77
TV,Unwgt,20633,5376,1225,466,612,106,44,62,159,53,106,201,88,113,264,115,149,348,166,182
,(000s),209096,59689,10227,4945,6460,1637,625*,1013,2264,825*,1439,2365,1022,1343,2971,1378,1594,2167,1096,1071
,Vert%,90.24,91.74,100,94.44,93.02,92.8,96.15,90.93,92.56,86.48,96.38,96.29,97.52,95.45,92.07,94.58,90.06,94.71,97.25,92.25
,Horz%,100,28.55,4.37,2.36,3.09,0.78,0.3,0.48,1.08,0.39,0.69,1.13,0.49,0.64,1.42,0.66,0.76,1.04,0.52,0.51
,Index,100,102,100,105,103,103,107,101,103,96,107,107,108,106,102,105,100,105,108,102
RADIO,Unwgt,16599,4637,1097,384,536,88,29,59,126,38,88,173,70,103,244,110,134,289,137,152
,(000s),171433,51520,9468,4073,5982,1464,443#,1021*,2021,682*,1339,2000,839,1161,2732,1260,1472,1838,849,989
,Vert%,73.99,79.18,92.58,77.79,86.13,82.99,68.15,91.65,82.62,71.49,89.69,81.43,80.06,82.52,84.66,86.48,83.16,80.33,75.33,85.19
,Horz%,100,30.05,4.55,2.38,3.49,0.85,0.26,0.6,1.18,0.4,0.78,1.17,0.49,0.68,1.59,0.73,0.86,1.07,0.5,0.58
,Index,100,107,104,105,116,112,92,124,112,97,121,110,108,112,114,117,112,109,102,115
MAGAZINE,Unwgt,22182,5824,950,492,643,121,52,69,173,59,114,208,87,121,284,126,158,349,168,181
,(000s),219735,62794,8509,4945,6681,1753,650*,1104,2392,904*,1488,2293,897,1396,3097,1437,1660,2091,1058,1034
,Vert%,94.83,96.51,83.2,94.44,96.2,99.38,100,99.1,97.79,94.76,99.67,93.36,85.59,99.22,95.97,98.63,93.79,91.39,93.88,89.06
,Horz%,100,28.58,5.01,2.25,3.04,0.8,0.3,0.5,1.09,0.41,0.68,1.04,0.41,0.64,1.41,0.65,0.76,0.95,0.48,0.47
,Index,100,102,115,100,101,105,105,105,103,100,105,98,90,105,101,104,99,96,99,94
MOVIE GOERS,Unwgt,23689,6041,1090,516,672,126,53,73,180,63,117,219,93,126,297,131,166,366,176,190
,(000s),231709,65066,9296,5236,6945,1764,650*,1114,2446,954,1493,2456,1048,1407,3227,1457,1770,2288,1127,1161
,Vert%,100,100,90.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,4.87,2.26,3,0.76,0.28,0.48,1.06,0.41,0.64,1.06,0.45,0.61,1.39,0.63,0.76,0.99,0.49,0.5
,Index,100,100,111,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,22818,5955,1225,499,663,119,48,71,175,59,116,217,93,124,293,128,165,358,171,187
,(000s),224335,64291,10227,5161,6837,1730,639*,1091,2406,914*,1492,2455,1048,1407,3190,1440,1750,2217,1120,1097
,Vert%,96.82,98.81,100,98.57,98.44,98.07,98.31,97.94,98.36,95.81,99.93,99.96,100,100,98.85,98.83,98.87,96.9,99.38,94.49
,Horz%,100,28.66,4.37,2.3,3.05,0.77,0.28,0.49,1.07,0.41,0.67,1.09,0.47,0.63,1.42,0.64,0.78,0.99,0.5,0.49
,Index,100,102,100,102,102,101,102,101,102,99,103,103,103,103,102,102,102,100,103,98
TABLET OWNER,Unwgt,5929,2018,1212,162,249,42,13,29,73,22,51,104,41,63,98,43,55,94,43,51
,(000s),58910,22321,10115,1680,2710,736*,173#,562#,1103,327#,776*,1060,436*,624,967,488*,478*,525,255*,270*
,Vert%,25.42,34.31,98.9,32.09,39.02,41.72,26.62,50.45,45.09,34.28,51.98,43.16,41.6,44.35,29.97,33.49,27.01,22.95,22.63,23.26
,Horz%,100,37.89,4.46,2.85,4.6,1.25,0.29,0.95,1.87,0.56,1.32,1.8,0.74,1.06,1.64,0.83,0.81,0.89,0.43,0.46
,Index,100,135,102,126,153,164,105,198,177,135,204,170,164,174,118,132,106,90,89,91
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,9912,3129,526,286,418,80,28,52,106,33,73,131,54,77,175,75,100,212,96,116
,(000s),100764,34457,4265,2702,4202,1124,328#,796*,1379,425*,954,1487,627*,861,1726,834,892,1188,489,698
,Vert%,43.49,52.96,41.7,51.6,60.5,63.72,50.46,71.45,56.38,44.55,63.9,60.55,59.83,61.19,53.49,57.24,50.4,51.92,43.39,60.12
,Horz%,100,34.2,5.69,2.68,4.17,1.12,0.33,0.79,1.37,0.42,0.95,1.48,0.62,0.85,1.71,0.83,0.89,1.18,0.49,0.69
,Index,100,122,130,119,139,147,116,164,130,102,147,139,138,141,123,132,116,119,100,138
