All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
Totals,Unwgt,27446,6622,1189,499,690,1189,499,83,224,87,137,224,87,153,238,94,144,324,151,173
,(000s),234034,59760,12195,5582,6613,12195,5582,1249,2871,1242,1628,2871,1242,1402,2100,866,1234,2601,1501,1100
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,5.21,2.39,2.83,5.21,2.39,0.53,1.23,0.53,0.7,1.23,0.53,0.6,0.9,0.37,0.53,1.11,0.64,0.47
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,494,228,266,494,228,37,123,62,61,123,62,77,83,32,51,68,28,40
,(000s),65410,27699,5773,2992,2781,5773,2992,587*,1554,875,679,1554,875,842,694,268*,426*,697,449#,248*
,Vert%,27.95,46.35,47.34,53.6,42.05,47.34,53.6,47,54.13,70.45,41.71,54.13,70.45,60.06,33.05,30.95,34.52,26.8,29.91,22.55
,Horz%,100,42.35,8.83,4.57,4.25,8.83,4.57,0.9,2.38,1.34,1.04,2.38,1.34,1.29,1.06,0.41,0.65,1.07,0.69,0.38
,Index,100,166,169,192,150,169,192,168,194,252,149,194,252,215,118,111,124,96,107,81
Digital Music,Unwgt,27446,6622,1189,499,690,1189,499,83,224,87,137,224,87,153,238,94,144,324,151,173
,(000s),234034,59760,12195,5582,6613,12195,5582,1249,2871,1242,1628,2871,1242,1402,2100,866,1234,2601,1501,1100
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,5.21,2.39,2.83,5.21,2.39,0.53,1.23,0.53,0.7,1.23,0.53,0.6,0.9,0.37,0.53,1.11,0.64,0.47
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,1030,438,592,1030,438,63,176,71,105,176,71,135,214,80,134,293,138,155
,(000s),207976,54297,11066,4851,6215,11066,4851,1151,2594,1092,1503,2594,1092,1296,1972,777,1195,2494,1423,1071
,Vert%,88.87,90.86,90.74,86.9,93.98,90.74,86.9,92.15,90.35,87.92,92.32,90.35,87.92,92.44,93.9,89.72,96.84,95.89,94.8,97.36
,Horz%,100,26.11,5.32,2.33,2.99,5.32,2.33,0.55,1.25,0.53,0.72,1.25,0.53,0.62,0.95,0.37,0.57,1.2,0.68,0.51
,Index,100,102,102,98,106,102,98,104,102,99,104,102,99,104,106,101,109,108,107,110
RADIO,Unwgt,19045,5069,905,363,542,905,363,64,168,61,107,168,61,128,194,76,118,232,107,125
,(000s),169892,47452,9619,4125,5494,9619,4125,940,2206,883,1323,2206,883,1191,1873,755,1118,2052,1130,922
,Vert%,72.59,79.4,78.88,73.9,83.08,78.88,73.9,75.26,76.84,71.1,81.27,76.84,71.1,84.95,89.19,87.18,90.6,78.89,75.28,83.82
,Horz%,100,27.93,5.66,2.43,3.23,5.66,2.43,0.55,1.3,0.52,0.78,1.3,0.52,0.7,1.1,0.44,0.66,1.21,0.67,0.54
,Index,100,109,109,102,114,109,102,104,106,98,112,106,98,117,123,120,125,109,104,115
MAGAZINE,Unwgt,21921,5698,1022,393,629,1022,393,72,185,62,123,185,62,137,209,74,135,290,128,162
,(000s),190820,51486,10471,4416,6055,10471,4416,1135,2433,872,1561,2433,872,1276,1664,604,1061,2331,1309,1022
,Vert%,81.54,86.15,85.86,79.11,91.56,85.86,79.11,90.87,84.74,70.21,95.88,84.74,70.21,91.01,79.24,69.75,85.98,89.62,87.21,92.91
,Horz%,100,26.98,5.49,2.31,3.17,5.49,2.31,0.59,1.28,0.46,0.82,1.28,0.46,0.67,0.87,0.32,0.56,1.22,0.69,0.54
,Index,100,106,105,97,112,105,97,111,104,86,118,104,86,112,97,86,105,110,107,114
MOVIE GOERS,Unwgt,27446,6622,1189,499,690,1189,499,83,224,87,137,224,87,153,238,94,144,324,151,173
,(000s),234034,59760,12195,5582,6613,12195,5582,1249,2871,1242,1628,2871,1242,1402,2100,866,1234,2601,1501,1100
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,5.21,2.39,2.83,5.21,2.39,0.53,1.23,0.53,0.7,1.23,0.53,0.6,0.9,0.37,0.53,1.11,0.64,0.47
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,26457,6542,1181,495,686,1181,495,83,223,86,137,223,86,151,238,94,144,319,148,171
,(000s),227019,59228,12141,5556,6586,12141,5556,1249,2868,1240,1628,2868,1240,1379,2100,866,1234,2573,1477,1096
,Vert%,97,99.11,99.56,99.53,99.59,99.56,99.53,100,99.9,99.84,100,99.9,99.84,98.36,100,100,100,98.92,98.4,99.64
,Horz%,100,26.09,5.35,2.45,2.9,5.35,2.45,0.55,1.26,0.55,0.72,1.26,0.55,0.61,0.93,0.38,0.54,1.13,0.65,0.48
,Index,100,102,103,103,103,103,103,103,103,103,103,103,103,101,103,103,103,102,101,103
TABLET OWNER,Unwgt,8845,2791,525,203,322,525,203,31,121,49,72,121,49,95,90,30,60,106,42,64
,(000s),75009,25141,5372,2452,2920,5372,2452,474*,1498,797*,701,1498,797*,828,707,242#,466*,889,438*,451
,Vert%,32.05,42.07,44.05,43.93,44.16,44.05,43.93,37.95,52.18,64.17,43.06,52.18,64.17,59.06,33.67,27.94,37.76,34.18,29.18,41
,Horz%,100,33.52,7.16,3.27,3.89,7.16,3.27,0.63,2,1.06,0.93,2,1.06,1.1,0.94,0.32,0.62,1.19,0.58,0.6
,Index,100,131,137,137,138,137,137,118,163,200,134,163,200,184,105,87,118,107,91,128
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11617,3450,628,239,389,628,239,51,126,44,82,126,44,88,123,45,78,163,73,90
,(000s),97217,30518,6541,2770,3771,6541,2770,642*,1618,648*,970,1618,648*,885,1155,381*,775,1174,674,500
,Vert%,41.54,51.07,53.64,49.62,57.02,53.64,49.62,51.4,56.36,52.17,59.58,56.36,52.17,63.12,55,44,62.8,45.14,44.9,45.45
,Horz%,100,31.39,6.73,2.85,3.88,6.73,2.85,0.66,1.66,0.67,1,1.66,0.67,0.91,1.19,0.39,0.8,1.21,0.69,0.51
,Index,100,123,129,119,137,129,119,124,136,126,143,136,126,152,132,106,151,109,108,109
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19439,5601,1015,405,610,1015,405,83,212,78,134,212,78,142,196,73,123,228,100,128
,(000s),168880,51870,10518,4508,6011,10518,4508,1249,2596,1062,1533,2596,1062,1322,1724,666,1058,1766,917,849
,Vert%,72.16,86.8,86.25,80.76,90.9,86.25,80.76,100,90.42,85.51,94.16,90.42,85.51,94.29,82.1,76.91,85.74,67.9,61.09,77.18
,Horz%,100,30.71,6.23,2.67,3.56,6.23,2.67,0.74,1.54,0.63,0.91,1.54,0.63,0.78,1.02,0.39,0.63,1.05,0.54,0.5
,Index,100,120,120,112,126,120,112,139,125,118,130,125,118,131,114,107,119,94,85,107
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2014 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2014 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:50 PM",,,,,,,,,,,,,,,,,,,,,
