All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
Totals,Unwgt,25439,5801,1141,474,667,136,51,85,249,107,142,233,90,143,216,95,121,307,131,176
,(000s),236711,58871,12409,5905,6503,1289,434*,855,3458,1938,1520,2786,1449,1337,1718,769,949,3157,1316,1841
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,5.24,2.49,2.75,0.54,0.18,0.36,1.46,0.82,0.64,1.18,0.61,0.56,0.73,0.32,0.4,1.33,0.56,0.78
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5667,2291,462,222,240,72,41,31,149,81,68,113,45,68,75,35,40,53,20,33
,(000s),63670,26337,5626,3110,2516,737,349*,388*,2166,1405,761,1602,798*,804,641,373*,269*,480*,185#,296*
,Vert%,26.9,44.74,45.34,52.67,38.69,57.18,80.41,45.38,62.64,72.5,50.07,57.5,55.07,60.13,37.31,48.5,28.35,15.2,14.06,16.08
,Horz%,100,41.36,8.84,4.88,3.95,1.16,0.55,0.61,3.4,2.21,1.2,2.52,1.25,1.26,1.01,0.59,0.42,0.75,0.29,0.46
,Index,100,166,169,196,144,213,299,169,233,270,186,214,205,224,139,180,105,57,52,60
Streaming Video,Unwgt,17763,4382,887,367,520,108,41,67,206,88,118,173,69,104,166,73,93,234,96,138
,(000s),167306,44474,9949,4558,5391,1019,278*,742,2957,1630,1327,2090,993,1097,1342,613,728,2542,1044,1497
,Vert%,70.68,75.54,80.18,77.19,82.9,79.05,64.06,86.78,85.51,84.11,87.3,75.02,68.53,82.05,78.11,79.71,76.71,80.52,79.33,81.31
,Horz%,100,26.58,5.95,2.72,3.22,0.61,0.17,0.44,1.77,0.97,0.79,1.25,0.59,0.66,0.8,0.37,0.44,1.52,0.62,0.89
,Index,100,107,113,109,117,112,91,123,121,119,124,106,97,116,111,113,109,114,112,115
TV,Unwgt,21634,5018,954,394,560,95,35,60,197,81,116,205,79,126,179,81,98,278,118,160
,(000s),203130,52296,11246,5273,5973,1095,319*,777*,2976,1705,1271,2523,1249,1273,1557,704,853,3095,1297,1799
,Vert%,85.81,88.83,90.63,89.3,91.85,84.95,73.5,90.88,86.06,87.98,83.62,90.56,86.2,95.21,90.63,91.55,89.88,98.04,98.56,97.72
,Horz%,100,25.75,5.54,2.6,2.94,0.54,0.16,0.38,1.47,0.84,0.63,1.24,0.61,0.63,0.77,0.35,0.42,1.52,0.64,0.89
,Index,100,104,106,104,107,99,86,106,100,103,97,106,100,111,106,107,105,114,115,114
MAGAZINE,Unwgt,18877,4784,932,371,561,100,35,65,198,81,117,182,63,119,177,77,100,275,115,160
,(000s),176697,47955,9864,4440,5424,989,258*,731,2333,1209,1124,2171,1013,1159,1502,726,776,2869,1235,1634
,Vert%,74.65,81.46,79.49,75.19,83.41,76.73,59.45,85.5,67.47,62.38,73.95,77.93,69.91,86.69,87.43,94.41,81.77,90.88,93.84,88.76
,Horz%,100,27.14,5.58,2.51,3.07,0.56,0.15,0.41,1.32,0.68,0.64,1.23,0.57,0.66,0.85,0.41,0.44,1.62,0.7,0.92
,Index,100,109,106,101,112,103,80,115,90,84,99,104,94,116,117,126,110,122,126,119
MOVIE GOERS,Unwgt,25439,5801,1141,474,667,136,51,85,249,107,142,233,90,143,216,95,121,307,131,176
,(000s),236711,58871,12409,5905,6503,1289,434*,855,3458,1938,1520,2786,1449,1337,1718,769,949,3157,1316,1841
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,5.24,2.49,2.75,0.54,0.18,0.36,1.46,0.82,0.64,1.18,0.61,0.56,0.73,0.32,0.4,1.33,0.56,0.78
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
