All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South,Genral Movie Purchaser South Male,Genral Movie Purchaser South Female,Movie Purchaser South 18-24,"Movie Purchaser South 18-24 male
","Movie Purchaser South 18-24 Female
",Movie Purchaser South 25-34,Movie Purchaser South 25-34 male,Movie Purchaser South 25-34 Female,Movie Purchaser South 35-44,Movie Purchaser South 35-44 Male,Movie Purchaser South 35-44 Female,Movie Purchaser South 45-54,Movie Purchaser South 45-54 Male,Movie Purchaser South 45-54 Female,Movie Purchaser South 55+,Movie Purchaser South 55+ Male,Movie Purchaser South 55+ Female
Totals,Unwgt,23689,6041,2013,853,1160,212,78,134,400,160,240,457,198,259,412,170,242,532,247,285
,(000s),231709,65066,20937,10771,10166,2790,1465,1325,5276,2744,2532,4319,2445,1875,4141,1809,2331,4412,2308,2103
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,9.04,4.65,4.39,1.2,0.63,0.57,2.28,1.18,1.09,1.86,1.06,0.81,1.79,0.78,1.01,1.9,1,0.91
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,844,413,431,130,61,69,241,120,121,255,125,130,122,61,61,96,46,50
,(000s),66903,29479,10247,5987,4260,1905,1113,791,3463,2076,1387,2598,1556,1042,1256,653,603,1025,589*,436*
,Vert%,28.87,45.31,48.94,55.58,41.9,68.28,75.97,59.7,65.64,75.66,54.78,60.15,63.64,55.57,30.33,36.1,25.87,23.23,25.52,20.73
,Horz%,100,44.06,15.32,8.95,6.37,2.85,1.66,1.18,5.18,3.1,2.07,3.88,2.33,1.56,1.88,0.98,0.9,1.53,0.88,0.65
,Index,100,157,170,193,145,236,263,207,227,262,190,208,220,192,105,125,90,80,88,72
TV,Unwgt,20633,5376,1791,765,1026,158,58,100,340,135,205,420,182,238,380,157,223,493,233,260
,(000s),209096,59689,19047,9751,9296,2229,1106*,1123,4651,2467,2185,4015,2220,1794,3977,1767,2210,4175,2191,1984
,Vert%,90.24,91.74,90.97,90.53,91.44,79.89,75.49,84.75,88.15,89.91,86.3,92.96,90.8,95.68,96.04,97.68,94.81,94.63,94.93,94.34
,Horz%,100,28.55,9.11,4.66,4.45,1.07,0.53,0.54,2.22,1.18,1.04,1.92,1.06,0.86,1.9,0.85,1.06,2,1.05,0.95
,Index,100,102,101,100,101,89,84,94,98,100,96,103,101,106,106,108,105,105,105,105
RADIO,Unwgt,16599,4637,1550,634,916,152,48,104,312,120,192,377,158,219,324,137,187,385,171,214
,(000s),171433,51520,16055,7831,8224,1738,672*,1066,3987,2013,1974,3530,1965,1565,3347,1510,1837,3454,1671,1783
,Vert%,73.99,79.18,76.68,72.7,80.9,62.29,45.87,80.45,75.57,73.36,77.96,81.73,80.37,83.47,80.83,83.47,78.81,78.29,72.4,84.78
,Horz%,100,30.05,9.37,4.57,4.8,1.01,0.39,0.62,2.33,1.17,1.15,2.06,1.15,0.91,1.95,0.88,1.07,2.01,0.97,1.04
,Index,100,107,104,98,109,84,62,109,102,99,105,110,109,113,109,113,107,106,98,115
MAGAZINE,Unwgt,22182,5824,1937,817,1120,207,76,131,388,158,230,440,187,253,389,160,229,513,236,277
