All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South,Genral Movie Purchaser South Male,Genral Movie Purchaser South Female,Movie Purchaser South 18-24,"Movie Purchaser South 18-24 male
","Movie Purchaser South 18-24 Female
",Movie Purchaser South 25-34,Movie Purchaser South 25-34 male,Movie Purchaser South 25-34 Female,Movie Purchaser South 35-44,Movie Purchaser South 35-44 Male,Movie Purchaser South 35-44 Female,Movie Purchaser South 45-54,Movie Purchaser South 45-54 Male,Movie Purchaser South 45-54 Female,Movie Purchaser South 55+,Movie Purchaser South 55+ Male,Movie Purchaser South 55+ Female
Totals,Unwgt,6088,1877,694,359,335,101,61,40,190,102,88,157,84,73,125,60,65,121,52,69
,(000s),71575,23088,7616,4231,3385,1448,1033,415*,2205,1240,964,2024,1047,977,1141,574*,567,799,337*,463
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,10.64,5.91,4.73,2.02,1.44,0.58,3.08,1.73,1.35,2.83,1.46,1.37,1.59,0.8,0.79,1.12,0.47,0.65
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,631,342,289,100,60,40,182,101,81,147,82,65,109,53,56,93,46,47
,(000s),61255,21650,7202,4102,3100,1448,1033*,415*,2060,1208,852,1942,1037,905,1059,528*,532*,692,296*,396*
,Vert%,85.58,93.77,94.56,96.95,91.58,100,100,100,93.42,97.42,88.38,95.95,99.04,92.63,92.81,91.99,93.83,86.61,87.83,85.53
,Horz%,100,35.34,11.76,6.7,5.06,2.36,1.69,0.68,3.36,1.97,1.39,3.17,1.69,1.48,1.73,0.86,0.87,1.13,0.48,0.65
,Index,100,110,110,113,107,117,117,117,109,114,103,112,116,108,108,107,110,101,103,100
Streaming Video,Unwgt,4956,1613,591,303,288,91,54,37,168,85,83,128,67,61,106,53,53,98,44,54
,(000s),58741,20176,6452,3460,2992,1272,864*,408*,1922,973,949,1641,808,833,913,533*,380*,705,282*,423*
,Vert%,82.07,87.39,84.72,81.78,88.39,87.85,83.64,98.31,87.17,78.47,98.44,81.08,77.17,85.26,80.02,92.86,67.02,88.24,83.68,91.36
,Horz%,100,34.35,10.98,5.89,5.09,2.17,1.47,0.69,3.27,1.66,1.62,2.79,1.38,1.42,1.55,0.91,0.65,1.2,0.48,0.72
,Index,100,106,103,100,108,107,102,120,106,96,120,99,94,104,98,113,82,108,102,111
Digital Music,Unwgt,6088,1877,694,359,335,101,61,40,190,102,88,157,84,73,125,60,65,121,52,69
,(000s),71575,23088,7616,4231,3385,1448,1033,415*,2205,1240,964,2024,1047,977,1141,574*,567,799,337*,463
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,10.64,5.91,4.73,2.02,1.44,0.58,3.08,1.73,1.35,2.83,1.46,1.37,1.59,0.8,0.79,1.12,0.47,0.65
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,4770,1538,559,279,280,63,35,28,149,76,73,129,69,60,107,53,54,111,46,65
,(000s),56475,18971,6303,3286,3018,999,620*,379#,1747,969,778,1689,827,862*,1111,559*,552*,758,311*,447
,Vert%,78.9,82.17,82.76,77.66,89.16,68.99,60.02,91.33,79.23,78.15,80.71,83.45,78.99,88.23,97.37,97.39,97.35,94.87,92.28,96.54
,Horz%,100,33.59,11.16,5.82,5.34,1.77,1.1,0.67,3.09,1.72,1.38,2.99,1.46,1.53,1.97,0.99,0.98,1.34,0.55,0.79
,Index,100,104,105,98,113,87,76,116,100,99,102,106,100,112,123,123,123,120,117,122
RADIO,Unwgt,4089,1386,500,237,263,61,29,32,133,70,63,119,59,60,94,40,54,93,39,54
,(000s),48424,16720,5456,2772,2683,885,553#,332*,1465,731,734,1559,812*,747*,953,424*,529*,593,252*,341*
,Vert%,67.65,72.42,71.64,65.52,79.26,61.12,53.53,80,66.44,58.95,76.14,77.03,77.55,76.46,83.52,73.87,93.3,74.22,74.78,73.65
,Horz%,100,34.53,11.27,5.72,5.54,1.83,1.14,0.69,3.03,1.51,1.52,3.22,1.68,1.54,1.97,0.88,1.09,1.22,0.52,0.7
,Index,100,107,106,97,117,90,79,118,98,87,113,114,115,113,123,109,138,110,111,109
MAGAZINE,Unwgt,4249,1456,523,258,265,63,35,28,131,67,64,119,63,56,103,50,53,107,43,64
,(000s),48801,17437,5804,3042,2762,930,672*,258#,1473,766,706,1659,787,873*,1021,540*,481*,721,277*,444
,Vert%,68.18,75.52,76.21,71.9,81.6,64.23,65.05,62.17,66.8,61.77,73.24,81.97,75.17,89.36,89.48,94.08,84.83,90.24,82.2,95.9
,Horz%,100,35.73,11.89,6.23,5.66,1.91,1.38,0.53,3.02,1.57,1.45,3.4,1.61,1.79,2.09,1.11,0.99,1.48,0.57,0.91
,Index,100,111,112,105,120,94,95,91,98,91,107,120,110,131,131,138,124,132,121,141
MOVIE GOERS,Unwgt,6088,1877,694,359,335,101,61,40,190,102,88,157,84,73,125,60,65,121,52,69
,(000s),71575,23088,7616,4231,3385,1448,1033,415*,2205,1240,964,2024,1047,977,1141,574*,567,799,337*,463
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
