All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South East,Genral Movie Purchaser South East Male,Genral Movie Purchaser South East Female,Movie Purchaser South East 18-24,"Movie Purchaser South East 18-24 male
","Movie Purchaser South East 18-24 Female
",Movie Purchaser South East 25-34,Movie Purchaser South East 25-34 male,Movie Purchaser South East 25-34 Female,Movie Purchaser South East 35-44,Movie Purchaser South East 35-44 Male,Movie Purchaser South East 35-44 Female,Movie Purchaser South East 45-54,Movie Purchaser South East 45-54 Male,Movie Purchaser South East 45-54 Female,Movie Purchaser South East 55+,Movie Purchaser South East 55+ Male,Movie Purchaser South East 55+ Female
Totals,Unwgt,25439,5801,789,326,463,65,30,35,135,56,79,152,56,96,168,74,94,269,110,159
,(000s),236711,58871,10481,5023,5458,1318,683#,635*,2435,1343*,1092,1950,680*,1270,2131,1086,1046,2648,1232,1416
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,4.43,2.12,2.31,0.56,0.29,0.27,1.03,0.57,0.46,0.82,0.29,0.54,0.9,0.46,0.44,1.12,0.52,0.6
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5667,2291,277,129,148,34,21,13,79,38,41,68,29,39,50,20,30,46,21,25
,(000s),63670,26337,4320,2510,1810,656*,520#,137#,1467,875*,592*,866,459#,407*,852*,375#,477#,479*,282#,197#
,Vert%,26.9,44.74,41.22,49.97,33.16,49.77,76.13,21.57,60.25,65.15,54.21,44.41,67.5,32.05,39.98,34.53,45.6,18.09,22.89,13.91
,Horz%,100,41.36,6.78,3.94,2.84,1.03,0.82,0.22,2.3,1.37,0.93,1.36,0.72,0.64,1.34,0.59,0.75,0.75,0.44,0.31
,Index,100,166,153,186,123,185,283,80,224,242,202,165,251,119,149,128,170,67,85,52
Streaming Video,Unwgt,17763,4382,589,235,354,49,24,25,107,45,62,118,39,79,128,56,72,187,71,116
,(000s),167306,44474,8157,3755,4402,1014*,478#,537#,2135,1194*,941,1293,369*,924,1832,960*,872,1883,755,1129
,Vert%,70.68,75.54,77.83,74.76,80.65,76.93,69.99,84.57,87.68,88.91,86.17,66.31,54.26,72.76,85.97,88.4,83.37,71.11,61.28,79.73
,Horz%,100,26.58,4.88,2.24,2.63,0.61,0.29,0.32,1.28,0.71,0.56,0.77,0.22,0.55,1.09,0.57,0.52,1.13,0.45,0.67
,Index,100,107,110,106,114,109,99,120,124,126,122,94,77,103,122,125,118,101,87,113
TV,Unwgt,21634,5018,692,274,418,46,19,27,112,43,69,134,46,88,147,64,83,253,102,151
,(000s),203130,52296,9376,4372,5003,1084*,542#,542#,2002,1146*,856,1758,526*,1232,1957,961,995,2575,1197,1377
,Vert%,85.81,88.83,89.46,87.04,91.66,82.25,79.36,85.35,82.22,85.33,78.39,90.15,77.35,97.01,91.83,88.49,95.12,97.24,97.16,97.25
,Horz%,100,25.75,4.62,2.15,2.46,0.53,0.27,0.27,0.99,0.56,0.42,0.87,0.26,0.61,0.96,0.47,0.49,1.27,0.59,0.68
,Index,100,104,104,101,107,96,92,99,96,99,91,105,90,113,107,103,111,113,113,113
MAGAZINE,Unwgt,18877,4784,657,248,409,48,20,28,101,35,66,129,42,87,139,55,84,240,96,144
,(000s),176697,47955,8444,3581,4864,1136*,610#,526#,1683,717*,966,1581,475*,1106,1729,762*,967,2316,1018,1299
,Vert%,74.65,81.46,80.56,71.29,89.12,86.19,89.31,82.83,69.12,53.39,88.46,81.08,69.85,87.09,81.14,70.17,92.45,87.46,82.63,91.74
,Horz%,100,27.14,4.78,2.03,2.75,0.64,0.35,0.3,0.95,0.41,0.55,0.89,0.27,0.63,0.98,0.43,0.55,1.31,0.58,0.74
,Index,100,109,108,96,119,115,120,111,93,72,119,109,94,117,109,94,124,117,111,123
MOVIE GOERS,Unwgt,25439,5801,789,326,463,65,30,35,135,56,79,152,56,96,168,74,94,269,110,159
,(000s),236711,58871,10481,5023,5458,1318,683#,635*,2435,1343*,1092,1950,680*,1270,2131,1086,1046,2648,1232,1416
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
