,,Totals,General Movie Purchaser,Genral Movie Purchaser South East,Genral Movie Purchaser South East Male,Genral Movie Purchaser South East Female,Movie Purchaser South East 18-24,"Movie Purchaser South East 18-24 male
","Movie Purchaser South East 18-24 Female
",Movie Purchaser South East 25-34,Movie Purchaser South East 25-34 male,Movie Purchaser South East 25-34 Female,Movie Purchaser South East 35-44,Movie Purchaser South East 35-44 Male,Movie Purchaser South East 35-44 Female,Movie Purchaser South East 45-54,Movie Purchaser South East 45-54 Male,Movie Purchaser South East 45-54 Female,Movie Purchaser South East 55+,Movie Purchaser South East 55+ Male,Movie Purchaser South East 55+ Female
Totals,Unwgt,6088,1877,296,145,151,41,24,17,76,40,36,69,32,37,63,32,31,47,17,30
,(000s),71575,23088,5207,2779,2428,1077*,790#,287#,1232,701*,531*,1481,677*,804*,920,455*,465*,497*,156#,341#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,7.27,3.88,3.39,1.5,1.1,0.4,1.72,0.98,0.74,2.07,0.95,1.12,1.29,0.64,0.65,0.69,0.22,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,273,137,136,41,24,17,74,39,35,64,31,33,57,29,28,37,14,23
,(000s),61255,21650,5005,2697,2308,1077*,790#,287#,1179,669*,510*,1420,668*,752*,875*,425#,450#,455*,145#,310#
,Vert%,85.58,93.77,96.12,97.05,95.06,100,100,100,95.7,95.44,96.05,95.88,98.67,93.53,95.11,93.41,96.77,91.55,92.95,90.91
,Horz%,100,35.34,8.17,4.4,3.77,1.76,1.29,0.47,1.92,1.09,0.83,2.32,1.09,1.23,1.43,0.69,0.73,0.74,0.24,0.51
,Index,100,110,112,113,111,117,117,117,112,112,112,112,115,109,111,109,113,107,109,106
Streaming Video,Unwgt,4956,1613,251,120,131,38,22,16,65,31,34,56,23,33,53,29,24,39,15,24
,(000s),58741,20176,4299,2176,2124,939*,656#,283#,983,465*,518*,1194*,476#,717*,718*,429#,289#,466*,150#,317#
,Vert%,82.07,87.39,82.56,78.3,87.48,87.19,83.04,98.61,79.79,66.33,97.55,80.62,70.31,89.18,78.04,94.29,62.15,93.76,96.15,92.96
,Horz%,100,34.35,7.32,3.7,3.62,1.6,1.12,0.48,1.67,0.79,0.88,2.03,0.81,1.22,1.22,0.73,0.49,0.79,0.26,0.54
,Index,100,106,101,95,107,106,101,120,97,81,119,98,86,109,95,115,76,114,117,113
Digital Music,Unwgt,6088,1877,296,145,151,41,24,17,76,40,36,69,32,37,63,32,31,47,17,30
,(000s),71575,23088,5207,2779,2428,1077*,790#,287#,1232,701*,531*,1481,677*,804*,920,455*,465*,497*,156#,341#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,7.27,3.88,3.39,1.5,1.1,0.4,1.72,0.98,0.74,2.07,0.95,1.12,1.29,0.64,0.65,0.69,0.22,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,4770,1538,243,114,129,26,13,13,63,32,31,59,27,32,52,27,25,43,15,28
,(000s),56475,18971,4317,2143,2174,743#,484#,259#,940,513*,427*,1266*,563#,703*,902*,444#,458#,466*,139#,327#
,Vert%,78.9,82.17,82.91,77.11,89.54,68.99,61.27,90.24,76.3,73.18,80.41,85.48,83.16,87.44,98.04,97.58,98.49,93.76,89.1,95.89
,Horz%,100,33.59,7.64,3.79,3.85,1.32,0.86,0.46,1.66,0.91,0.76,2.24,1,1.24,1.6,0.79,0.81,0.83,0.25,0.58
,Index,100,104,105,98,113,87,78,114,97,93,102,108,105,111,124,124,125,119,113,122
RADIO,Unwgt,4089,1386,208,93,115,22,9,13,54,28,26,53,24,29,46,20,26,33,12,21
,(000s),48424,16720,3756,1872,1884,629#,419#,210#,877*,448#,429#,1144*,563#,580#,760*,329#,432#,347*,114#,233#
,Vert%,67.65,72.42,72.13,67.36,77.59,58.4,53.04,73.17,71.19,63.91,80.79,77.25,83.16,72.14,82.61,72.31,92.9,69.82,73.08,68.33
,Horz%,100,34.53,7.76,3.87,3.89,1.3,0.87,0.43,1.81,0.93,0.89,2.36,1.16,1.2,1.57,0.68,0.89,0.72,0.24,0.48
,Index,100,107,107,100,115,86,78,108,105,94,119,114,123,107,122,107,137,103,108,101
MAGAZINE,Unwgt,4249,1456,233,108,125,27,14,13,58,28,30,55,23,32,52,29,23,41,14,27
,(000s),48801,17437,4091,2039,2052,702#,537#,165#,889*,438#,451#,1208*,482#,726*,831*,449#,382#,461*,134#,327#
,Vert%,68.18,75.52,78.57,73.37,84.51,65.18,67.97,57.49,72.16,62.48,84.93,81.57,71.2,90.3,90.33,98.68,82.15,92.76,85.9,95.89
,Horz%,100,35.73,8.38,4.18,4.2,1.44,1.1,0.34,1.82,0.9,0.92,2.48,0.99,1.49,1.7,0.92,0.78,0.94,0.27,0.67
,Index,100,111,115,108,124,96,100,84,106,92,125,120,104,132,132,145,120,136,126,141
MOVIE GOERS,Unwgt,6088,1877,296,145,151,41,24,17,76,40,36,69,32,37,63,32,31,47,17,30
,(000s),71575,23088,5207,2779,2428,1077*,790#,287#,1232,701*,531*,1481,677*,804*,920,455*,465*,497*,156#,341#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,7.27,3.88,3.39,1.5,1.1,0.4,1.72,0.98,0.74,2.07,0.95,1.12,1.29,0.64,0.65,0.69,0.22,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,5741,1823,286,139,147,36,20,16,75,40,35,66,30,36,63,32,31,46,17,29
,(000s),67039,22222,4907,2596,2311,957*,681#,276#,1220,701*,519*,1354,605#,750*,920,455*,465*,456*,156#,300#
,Vert%,93.66,96.25,94.24,93.41,95.18,88.86,86.2,96.17,99.03,100,97.74,91.42,89.36,93.28,100,100,100,91.75,100,87.98
,Horz%,100,33.15,7.32,3.87,3.45,1.43,1.02,0.41,1.82,1.05,0.77,2.02,0.9,1.12,1.37,0.68,0.69,0.68,0.23,0.45
,Index,100,103,101,100,102,95,92,103,106,107,104,98,95,100,107,107,107,98,107,94
TABLET OWNER,Unwgt,2876,1107,191,88,103,19,9,10,45,23,22,47,21,26,43,21,22,37,14,23
,(000s),33165,12938,3365,1740,1625,452#,298#,154#,715*,443#,272#,1112*,535#,577#,699*,323#,376#,386*,141#,245#
,Vert%,46.34,56.04,64.62,62.61,66.93,41.97,37.72,53.66,58.04,63.2,51.22,75.08,79.03,71.77,75.98,70.99,80.86,77.67,90.38,71.85
,Horz%,100,39.01,10.15,5.25,4.9,1.36,0.9,0.46,2.16,1.34,0.82,3.35,1.61,1.74,2.11,0.97,1.13,1.16,0.43,0.74
,Index,100,121,139,135,144,91,81,116,125,136,111,162,171,155,164,153,175,168,195,155
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,2863,1007,146,66,80,22,12,10,34,18,16,32,11,21,33,17,16,25,8,17
,(000s),32744,12012,2044,974,1070,488#,382#,106#,350*,191#,159#,643*,182#,461#,430*,193#,236#,134#,26#,108#
,Vert%,45.75,52.03,39.25,35.05,44.07,45.31,48.35,36.93,28.41,27.25,29.94,43.42,26.88,57.34,46.74,42.42,50.75,26.96,16.67,31.67
,Horz%,100,36.68,6.24,2.97,3.27,1.49,1.17,0.32,1.07,0.58,0.49,1.96,0.56,1.41,1.31,0.59,0.72,0.41,0.08,0.33
,Index,100,114,86,77,96,99,106,81,62,60,65,95,59,125,102,93,111,59,36,69
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,5434,1779,283,136,147,39,23,16,76,40,36,67,30,37,56,27,29,45,16,29
,(000s),65448,22299,5033,2660,2372,1076*,790#,286#,1232,701*,531*,1467,663#,804*,771*,360#,411#,487*,148#,340#
,Vert%,91.44,96.58,96.66,95.72,97.69,99.91,100,99.65,100,100,100,99.05,97.93,100,83.8,79.12,88.39,97.99,94.87,99.71
,Horz%,100,34.07,7.69,4.06,3.62,1.64,1.21,0.44,1.88,1.07,0.81,2.24,1.01,1.23,1.18,0.55,0.63,0.74,0.23,0.52
,Index,100,106,106,105,107,109,109,109,109,109,109,108,107,109,92,87,97,107,104,109
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2017 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2017 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 7:08 PM",,,,,,,,,,,,,,,,,,,,,
