All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
Totals,Unwgt,23689,6041,1093,459,634,135,51,84,237,88,149,266,122,144,208,96,112,247,102,145
,(000s),231709,65066,7836,3994,3842,1028,503*,525,2151,1034,1117,1584,940,644,1459,699,760,1615,819,796
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,3.38,1.72,1.66,0.44,0.22,0.23,0.93,0.45,0.48,0.68,0.41,0.28,0.63,0.3,0.33,0.7,0.35,0.34
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5867,2555,470,230,240,76,38,38,141,62,79,146,75,71,64,38,26,43,17,26
,(000s),66903,29479,3785,1991,1793,469,222*,247*,1466,724,742,1052,644,408,510,293*,217#,288*,109#,179#
,Vert%,28.87,45.31,48.3,49.85,46.67,45.62,44.14,47.05,68.15,70.02,66.43,66.41,68.51,63.35,34.96,41.92,28.55,17.83,13.31,22.49
,Horz%,100,44.06,5.66,2.98,2.68,0.7,0.33,0.37,2.19,1.08,1.11,1.57,0.96,0.61,0.76,0.44,0.32,0.43,0.16,0.27
,Index,100,157,167,173,162,158,153,163,236,243,230,230,237,219,121,145,99,62,46,78
TV,Unwgt,20633,5376,971,408,563,105,38,67,202,74,128,248,114,134,190,89,101,226,93,133
,(000s),209096,59689,7186,3670,3516,931,471*,460,1961,939,1021,1469,862,607,1352,680,672,1474,718,756
,Vert%,90.24,91.74,91.7,91.89,91.51,90.56,93.64,87.62,91.17,90.81,91.41,92.74,91.7,94.25,92.67,97.28,88.42,91.27,87.67,94.97
,Horz%,100,28.55,3.44,1.76,1.68,0.45,0.23,0.22,0.94,0.45,0.49,0.7,0.41,0.29,0.65,0.33,0.32,0.7,0.34,0.36
,Index,100,102,102,102,101,100,104,97,101,101,101,103,102,104,103,108,98,101,97,105
RADIO,Unwgt,16599,4637,865,352,513,100,29,71,191,69,122,226,100,126,164,79,85,184,75,109
,(000s),171433,51520,6083,2986,3097,724,258#,466,1585,726,859,1313,764,550,1182,585,597,1278,653,625
,Vert%,73.99,79.18,77.63,74.76,80.61,70.43,51.29,88.76,73.69,70.21,76.9,82.89,81.28,85.4,81.01,83.69,78.55,79.13,79.73,78.52
,Horz%,100,30.05,3.55,1.74,1.81,0.42,0.15,0.27,0.92,0.42,0.5,0.77,0.45,0.32,0.69,0.34,0.35,0.75,0.38,0.36
,Index,100,107,105,101,109,95,69,120,100,95,104,112,110,115,109,113,106,107,108,106
MAGAZINE,Unwgt,22182,5824,1057,442,615,134,50,84,231,86,145,253,114,139,201,93,108,238,99,139
,(000s),219735,62794,7706,3933,3774,1027,502*,525,2116,1004,1112,1566,932,634,1424,677,747,1572,817,755
,Vert%,94.83,96.51,98.34,98.47,98.23,99.9,99.8,100,98.37,97.1,99.55,98.86,99.15,98.45,97.6,96.85,98.29,97.34,99.76,94.85
,Horz%,100,28.58,3.51,1.79,1.72,0.47,0.23,0.24,0.96,0.46,0.51,0.71,0.42,0.29,0.65,0.31,0.34,0.72,0.37,0.34
,Index,100,102,104,104,104,105,105,105,104,102,105,104,105,104,103,102,104,103,105,100
MOVIE GOERS,Unwgt,23689,6041,1093,459,634,135,51,84,237,88,149,266,122,144,208,96,112,247,102,145
,(000s),231709,65066,7836,3994,3842,1028,503*,525,2151,1034,1117,1584,940,644,1459,699,760,1615,819,796
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,28.08,3.38,1.72,1.66,0.44,0.22,0.23,0.93,0.45,0.48,0.68,0.41,0.28,0.63,0.3,0.33,0.7,0.35,0.34
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,22818,5955,1082,453,629,135,51,84,232,85,147,265,122,143,206,95,111,244,100,144
,(000s),224335,64291,7797,3972,3825,1028,503*,525,2141,1025,1116,1582,940,643,1441,696,745,1604,808,796
,Vert%,96.82,98.81,99.5,99.45,99.56,100,100,100,99.54,99.13,99.91,99.87,100,99.84,98.77,99.57,98.03,99.32,98.66,100
,Horz%,100,28.66,3.48,1.77,1.71,0.46,0.22,0.23,0.95,0.46,0.5,0.71,0.42,0.29,0.64,0.31,0.33,0.72,0.36,0.35
,Index,100,102,103,103,103,103,103,103,103,102,103,103,103,103,102,103,101,103,102,103
TABLET OWNER,Unwgt,5929,2018,352,143,209,29,10,19,87,27,60,106,50,56,68,36,32,62,20,42
,(000s),58910,22321,2791,1432,1359,207#,87#,119#,980,472#,508*,615,409*,206*,566,279*,287*,425,186#,239*
,Vert%,25.42,34.31,35.62,35.85,35.37,20.14,17.3,22.67,45.56,45.65,45.48,38.83,43.51,31.99,38.79,39.91,37.76,26.32,22.71,30.03
,Horz%,100,37.89,4.74,2.43,2.31,0.35,0.15,0.2,1.66,0.8,0.86,1.04,0.69,0.35,0.96,0.47,0.49,0.72,0.32,0.41
,Index,100,135,140,141,139,79,68,89,179,180,179,153,171,126,153,157,149,104,89,118
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,9912,3129,487,203,284,67,28,39,108,44,64,124,56,68,95,41,54,93,34,59
,(000s),100764,34457,3972,2029,1943,570,326#,244*,1260,727*,533,676,420*,256,745,280*,465*,720,276*,444*
,Vert%,43.49,52.96,50.69,50.8,50.57,55.45,64.81,46.48,58.58,70.31,47.72,42.68,44.68,39.75,51.06,40.06,61.18,44.58,33.7,55.78
,Horz%,100,34.2,3.94,2.01,1.93,0.57,0.32,0.24,1.25,0.72,0.53,0.67,0.42,0.25,0.74,0.28,0.46,0.71,0.27,0.44
,Index,100,122,117,117,116,128,149,107,135,162,110,98,103,91,117,92,141,103,77,128
