All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South West,Genral Movie Purchaser South West Male,Genral Movie Purchaser South West Female,Movie Purchaser South West 18-24,"Movie Purchaser South West 18-24 male
","Movie Purchaser South West 18-24 Female
",Movie Purchaser South West 25-34,Movie Purchaser South West 25-34 male,Movie Purchaser South West 25-34 Female,Movie Purchaser South West 35-44,Movie Purchaser South West 35-44 Male,Movie Purchaser South West 35-44 Female,Movie Purchaser South West 45-54,Movie Purchaser South West 45-54 Male,Movie Purchaser South West 45-54 Female,Movie Purchaser South West 55+,Movie Purchaser South West 55+ Male,Movie Purchaser South West 55+ Female
Totals,Unwgt,25439,5801,1116,446,670,145,45,100,251,97,154,232,90,142,200,84,116,288,130,158
,(000s),236711,58871,7301,3161,4140,751,120*,632,1984,780,1203,1955,770,1185,1474,870,604,1137,621,516
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,3.08,1.34,1.75,0.32,0.05,0.27,0.84,0.33,0.51,0.83,0.33,0.5,0.62,0.37,0.26,0.48,0.26,0.22
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5667,2291,406,198,208,78,33,45,120,59,61,111,53,58,57,30,27,40,23,17
,(000s),63670,26337,3017,1489,1527,436,80*,356*,822,504*,318,1067,485*,581*,398*,223#,175#,294*,198#,97#
,Vert%,26.9,44.74,41.32,47.11,36.88,58.06,66.67,56.33,41.43,64.62,26.43,54.58,62.99,49.03,27,25.63,28.97,25.86,31.88,18.8
,Horz%,100,41.36,4.74,2.34,2.4,0.68,0.13,0.56,1.29,0.79,0.5,1.68,0.76,0.91,0.63,0.35,0.27,0.46,0.31,0.15
,Index,100,166,154,175,137,216,248,209,154,240,98,203,234,182,100,95,108,96,119,70
Streaming Video,Unwgt,17763,4382,845,338,507,122,33,89,197,81,116,174,71,103,150,64,86,202,89,113
,(000s),167306,44474,5397,2386,3010,577,101*,476,1386,497,890,1471,677,794,1163,692,471,800,420,380
,Vert%,70.68,75.54,73.92,75.48,72.71,76.83,84.17,75.32,69.86,63.72,73.98,75.24,87.92,67,78.9,79.54,77.98,70.36,67.63,73.64
,Horz%,100,26.58,3.23,1.43,1.8,0.34,0.06,0.28,0.83,0.3,0.53,0.88,0.4,0.47,0.7,0.41,0.28,0.48,0.25,0.23
,Index,100,107,105,107,103,109,119,107,99,90,105,106,124,95,112,113,110,100,96,104
TV,Unwgt,21634,5018,969,376,593,119,34,85,205,75,130,194,71,123,182,75,107,269,121,148
,(000s),203130,52296,6309,2550,3759,715,105*,611,1657,675,982,1683,573,1110,1243,653,590,1011,545,466
,Vert%,85.81,88.83,86.41,80.67,90.8,95.21,87.5,96.68,83.52,86.54,81.63,86.09,74.42,93.67,84.33,75.06,97.68,88.92,87.76,90.31
,Horz%,100,25.75,3.11,1.26,1.85,0.35,0.05,0.3,0.82,0.33,0.48,0.83,0.28,0.55,0.61,0.32,0.29,0.5,0.27,0.23
,Index,100,104,101,94,106,111,102,113,97,101,95,100,87,109,98,87,114,104,102,105
MAGAZINE,Unwgt,18877,4784,880,330,550,101,25,76,180,68,112,178,61,117,164,66,98,257,110,147
,(000s),176697,47955,5605,2314,3291,581,71#,510,1424,539,885,1444,472,973,1226,741,485,930,492,438
,Vert%,74.65,81.46,76.77,73.2,79.49,77.36,59.17,80.7,71.77,69.1,73.57,73.86,61.3,82.11,83.18,85.17,80.3,81.79,79.23,84.88
,Horz%,100,27.14,3.17,1.31,1.86,0.33,0.04,0.29,0.81,0.31,0.5,0.82,0.27,0.55,0.69,0.42,0.27,0.53,0.28,0.25
,Index,100,109,103,98,106,104,79,108,96,93,99,99,82,110,111,114,108,110,106,114
MOVIE GOERS,Unwgt,25439,5801,1116,446,670,145,45,100,251,97,154,232,90,142,200,84,116,288,130,158
,(000s),236711,58871,7301,3161,4140,751,120*,632,1984,780,1203,1955,770,1185,1474,870,604,1137,621,516
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,3.08,1.34,1.75,0.32,0.05,0.27,0.84,0.33,0.51,0.83,0.33,0.5,0.62,0.37,0.26,0.48,0.26,0.22
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,24700,5748,1106,445,661,140,44,96,249,97,152,232,90,142,199,84,115,286,130,156
,(000s),230746,58519,7268,3160,4108,722,119*,603,1983,780,1203,1955,770,1185,1473,870,603,1135,621,514
,Vert%,97.48,99.4,99.55,99.97,99.23,96.14,99.17,95.41,99.95,100,100,100,100,100,99.93,100,99.83,99.82,100,99.61
,Horz%,100,25.36,3.15,1.37,1.78,0.31,0.05,0.26,0.86,0.34,0.52,0.85,0.33,0.51,0.64,0.38,0.26,0.49,0.27,0.22
,Index,100,102,102,103,102,99,102,98,103,103,103,103,103,103,103,103,102,102,103,102
TABLET OWNER,Unwgt,8881,2805,501,178,323,48,9,39,121,37,84,127,50,77,99,40,59,106,42,64
,(000s),83876,29079,3472,1419,2053,346*,33#,313*,904,274*,629,1036,372*,664,955,642*,312*,233,98*,135
,Vert%,35.43,49.39,47.56,44.89,49.59,46.07,27.5,49.53,45.56,35.13,52.29,52.99,48.31,56.03,64.79,73.79,51.66,20.49,15.78,26.16
,Horz%,100,34.67,4.14,1.69,2.45,0.41,0.04,0.37,1.08,0.33,0.75,1.24,0.44,0.79,1.14,0.77,0.37,0.28,0.12,0.16
,Index,100,139,134,127,140,130,78,140,129,99,148,150,136,158,183,208,146,58,45,74
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,17617,3935,778,311,467,100,34,66,183,67,116,163,62,101,141,53,88,191,95,96
,(000s),165063,39276,4804,2028,2776,477,80*,396,1385,583,803,1317,505,812,931,408*,523,694,452,242
,Vert%,69.73,66.72,65.8,64.16,67.05,63.52,66.67,62.66,69.81,74.74,66.75,67.37,65.58,68.52,63.16,46.9,86.59,61.04,72.79,46.9
,Horz%,100,23.79,2.91,1.23,1.68,0.29,0.05,0.24,0.84,0.35,0.49,0.8,0.31,0.49,0.56,0.25,0.32,0.42,0.27,0.15
,Index,100,96,94,92,96,91,96,90,100,107,96,97,94,98,91,67,124,88,104,67
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,18677,5026,961,358,603,142,42,100,234,89,145,220,84,136,176,71,105,189,72,117
