State,Latitude,Longitude,City
AL,32.6010112,-86.6807365,Alabama
AK,61.3025006,-158.7750198,Alaska
AZ,34.1682185,-111.930907,Arizona
AR,34.7519275,-92.1313784,Arkansas
CA,37.2718745,-119.2704153,California
CO,38.9979339,-105.550567,Colorado
CT,41.5187835,-72.757507,Connecticut
DE,39.145251,-75.4189206,Delaware
DC,38.8993487,-77.0145666,District of Columbia
FL,27.9757279,-83.8330166,Florida
GA,32.6781248,-83.2229757,Georgia
HI,20.46,-157.505,Hawaii
ID,45.4945756,-114.1424303,Idaho
IL,39.739318,-89.504139,Illinois
IN,39.7662195,-86.441277,Indiana
IA,41.9383166,-93.389798,Iowa
KS,38.4987789,-98.3200779,Kansas
KY,37.8222935,-85.7682399,Kentucky
LA,30.9733766,-91.4299097,Louisiana
ME,45.2185133,-69.0148656,Maine
MD,38.8063524,-77.2684162,Maryland
MA,42.0629398,-71.718067,Massachusetts
MI,44.9435598,-86.4158049,Michigan
MN,46.4418595,-93.3655146,Minnesota
MS,32.5851062,-89.8772196,Mississippi
MO,38.3046615,-92.437099,Missouri
MT,46.6797995,-110.044783,Montana
NE,41.5008195,-99.680902,Nebraska
NV,38.502032,-117.0230604,Nevada
NH,44.0012306,-71.5799231,New Hampshire
NJ,40.1430058,-74.7311156,New Jersey
NM,34.1662325,-106.0260685,New Mexico
NY,40.7056258,-73.97968,New York
NC,35.2145629,-79.8912675,North Carolina
ND,47.4678819,-100.3022655,North Dakota
OH,40.1903624,-82.6692525,Ohio
OK,35.3097654,-98.7165585,Oklahoma
OR,44.1419049,-120.5380993,Oregon
PA,40.9945928,-77.6046984,Pennsylvania
RI,41.5827282,-71.5064508,Rhode Island
SC,33.62505,-80.9470381,South Carolina
SD,44.2126995,-100.2471641,South Dakota
TN,35.830521,-85.9785989,Tennessee
TX,31.1693363,-100.0768425,Texas
UT,39.4997605,-111.547028,Utah
VT,43.8717545,-72.4477828,Vermont
VA,38.0033855,-79.4587861,Virginia
WA,38.8993487,-77.0145665,Washington
WV,38.9201705,-80.1816905,West Virginia
WI,44.7862968,-89.8267049,Wisconsin
WY,43.000325,-107.5545669,Wyoming
