All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,Genearl Movie Purchaser,General Movie Purchaser West Central,General Movie Purchaser West Central Male,General Movie Purchaser West Central Female,Movie Purchaser WC 18-24,"Movie Purchaser WC 18-24 male
","Movie Purchaser WC 18-24 Female
",Movie Purchaser WC 25-34,Movie Purchaser WC 25-34 male,Movie Purchaser WC 25-34 Female,Movie Purchaser WC 35-44,Movie Purchaser WC 35-44 Male,Movie Purchaser WC 35-44 Female,Movie Purchaser WC 45-54,Movie Purchaser WC 45-54 Male,Movie Purchaser WC 45-54 Female,Movie Purchaser WC 55+,Movie Purchaser WC 55+ Male,Movie Purchaser WC 55+ Female
Totals,Unwgt,26019,5557,872,357,515,116,49,67,144,49,95,152,63,89,188,81,107,272,115,157
,(000s),240136,59805,10864,4794,6070,1609,649*,960,2743,1097*,1646,2383,1039,1344,1878,912,966,2251,1096,1155
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,4.52,2,2.53,0.67,0.27,0.4,1.14,0.46,0.69,0.99,0.43,0.56,0.78,0.38,0.4,0.94,0.46,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5352,1951,303,154,149,55,30,25,78,35,43,59,31,28,64,33,31,47,25,22
,(000s),63146,24518,4247,2452,1795,685*,345#,340#,1382,795*,587*,1081*,524*,556#,645,452*,192*,454*,336#,119#
,Vert%,26.3,41,39.09,51.15,29.57,42.57,53.16,35.42,50.38,72.47,35.66,45.36,50.43,41.37,34.35,49.56,19.88,20.17,30.66,10.3
,Horz%,100,38.83,6.73,3.88,2.84,1.08,0.55,0.54,2.19,1.26,0.93,1.71,0.83,0.88,1.02,0.72,0.3,0.72,0.53,0.19
,Index,100,156,149,195,112,162,202,135,192,276,136,173,192,157,131,188,76,77,117,39
Streaming Video,Unwgt,18863,4383,681,282,399,89,38,51,121,40,81,120,52,68,149,64,85,202,88,114
,(000s),177757,47812,8574,3935,4639,1314,532*,782*,2215,938*,1276,1848,889*,959,1578,774,804,1620,801,818
,Vert%,74.02,79.95,78.92,82.08,76.43,81.67,81.97,81.46,80.75,85.51,77.52,77.55,85.56,71.35,84.03,84.87,83.23,71.97,73.08,70.82
,Horz%,100,26.9,4.82,2.21,2.61,0.74,0.3,0.44,1.25,0.53,0.72,1.04,0.5,0.54,0.89,0.44,0.45,0.91,0.45,0.46
,Index,100,108,107,111,103,110,111,110,109,116,105,105,116,96,114,115,112,97,99,96
Digital Music,Unwgt,26019,5557,872,357,515,116,49,67,144,49,95,152,63,89,188,81,107,272,115,157
,(000s),240136,59805,10864,4794,6070,1609,649*,960,2743,1097*,1646,2383,1039,1344,1878,912,966,2251,1096,1155
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.9,4.52,2,2.53,0.67,0.27,0.4,1.14,0.46,0.69,0.99,0.43,0.56,0.78,0.38,0.4,0.94,0.46,0.48
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,22095,4810,748,311,437,84,32,52,115,43,72,130,55,75,164,73,91,255,108,147
,(000s),208180,52931,9531,4323,5207,1247,450*,797*,2280,1075*,1205,2080,873*,1206,1754,865,889,2170,1060,1110
