All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,Genearl Movie Purchaser,General Movie Purchaser West Central,General Movie Purchaser West Central Male,General Movie Purchaser West Central Female,Movie Purchaser WC 18-24,"Movie Purchaser WC 18-24 male
","Movie Purchaser WC 18-24 Female
",Movie Purchaser WC 25-34,Movie Purchaser WC 25-34 male,Movie Purchaser WC 25-34 Female,Movie Purchaser WC 35-44,Movie Purchaser WC 35-44 Male,Movie Purchaser WC 35-44 Female,Movie Purchaser WC 45-54,Movie Purchaser WC 45-54 Male,Movie Purchaser WC 45-54 Female,Movie Purchaser WC 55+,Movie Purchaser WC 55+ Male,Movie Purchaser WC 55+ Female
Totals,Unwgt,6088,1877,254,128,126,30,17,13,61,37,24,64,26,38,54,28,26,45,20,25
,(000s),71575,23088,4205,2371,1834,573#,297#,276#,1718,1066*,652#,865,410#,455*,697*,400#,297#,351*,197#,154#
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,32.26,5.87,3.31,2.56,0.8,0.41,0.39,2.4,1.49,0.91,1.21,0.57,0.64,0.97,0.56,0.41,0.49,0.28,0.22
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,4991,1708,231,121,110,30,17,13,60,37,23,62,26,36,41,21,20,38,20,18
,(000s),61255,21650,4059,2329,1730,573#,297#,276#,1716*,1066*,650#,824,410#,414*,634*,358#,276#,312*,197#,115#
,Vert%,85.58,93.77,96.53,98.23,94.33,100,100,100,99.88,100,99.69,95.26,100,90.99,90.96,89.5,92.93,88.89,100,74.68
,Horz%,100,35.34,6.63,3.8,2.82,0.94,0.48,0.45,2.8,1.74,1.06,1.35,0.67,0.68,1.04,0.58,0.45,0.51,0.32,0.19
,Index,100,110,113,115,110,117,117,117,117,117,116,111,117,106,106,105,109,104,117,87
Streaming Video,Unwgt,4956,1613,211,108,103,27,15,12,55,32,23,55,24,31,42,22,20,32,15,17
,(000s),58741,20176,3550,1905,1645,555#,288#,267#,1507*,856*,651#,755*,343#,412*,464*,251#,213#,269*,167#,102#
