All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser East Central,GenralMovie Purchaser East Central Male,Genral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
Totals,Unwgt,27446,6622,764,313,451,77,28,49,141,51,90,182,77,105,176,81,95,188,76,112
,(000s),234034,59760,7342,3459,3884,1202,509#,692*,2004,1106*,898,1377,632,745,1497,744,753,1263,469,795
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,3.14,1.48,1.66,0.51,0.22,0.3,0.86,0.47,0.38,0.59,0.27,0.32,0.64,0.32,0.32,0.54,0.2,0.34
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,6623,2746,345,159,186,48,22,26,92,39,53,110,52,58,69,36,33,26,10,16
,(000s),65410,27699,3667,1988,1679,818*,413#,405#,1249,729*,519*,893,446*,446*,538,345*,193*,170#,54#,116#
,Vert%,27.95,46.35,49.95,57.47,43.23,68.05,81.14,58.53,62.33,65.91,57.8,64.85,70.57,59.87,35.94,46.37,25.63,13.46,11.51,14.59
,Horz%,100,42.35,5.61,3.04,2.57,1.25,0.63,0.62,1.91,1.11,0.79,1.37,0.68,0.68,0.82,0.53,0.3,0.26,0.08,0.18
,Index,100,166,179,206,155,243,290,209,223,236,207,232,252,214,129,166,92,48,41,52
Digital Music,Unwgt,27446,6622,764,313,451,77,28,49,141,51,90,182,77,105,176,81,95,188,76,112
,(000s),234034,59760,7342,3459,3884,1202,509#,692*,2004,1106*,898,1377,632,745,1497,744,753,1263,469,795
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,3.14,1.48,1.66,0.51,0.22,0.3,0.86,0.47,0.38,0.59,0.27,0.32,0.64,0.32,0.32,0.54,0.2,0.34
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TV,Unwgt,23478,5814,663,264,399,58,18,40,118,42,76,157,66,91,164,73,91,166,65,101
,(000s),207976,54297,6503,3020,3483,907*,402#,505*,1645,862*,783,1323,608,716,1430,699,731,1199,449,749
,Vert%,88.87,90.86,88.57,87.31,89.68,75.46,78.98,72.98,82.09,77.94,87.19,96.08,96.2,96.11,95.52,93.95,97.08,94.93,95.74,94.21
,Horz%,100,26.11,3.13,1.45,1.67,0.44,0.19,0.24,0.79,0.41,0.38,0.64,0.29,0.34,0.69,0.34,0.35,0.58,0.22,0.36
,Index,100,102,100,98,101,85,89,82,92,88,98,108,108,108,107,106,109,107,108,106
RADIO,Unwgt,19045,5069,596,231,365,55,15,40,117,40,77,143,52,91,143,67,76,138,57,81
,(000s),169892,47452,5855,2688,3167,862*,375#,487*,1609,900*,709,1055,386*,669,1343,668,674,986,359*,627
,Vert%,72.59,79.4,79.75,77.71,81.54,71.71,73.67,70.38,80.29,81.37,78.95,76.62,61.08,89.8,89.71,89.78,89.51,78.07,76.55,78.87
,Horz%,100,27.93,3.45,1.58,1.86,0.51,0.22,0.29,0.95,0.53,0.42,0.62,0.23,0.39,0.79,0.39,0.4,0.58,0.21,0.37
,Index,100,109,110,107,112,99,101,97,111,112,109,106,84,124,124,124,123,108,105,109
MAGAZINE,Unwgt,21921,5698,668,266,402,59,20,39,113,39,74,158,63,95,158,71,87,180,73,107
,(000s),190820,51486,6167,2782,3385,796*,401#,395*,1646,878*,769,1125,426,698,1356,610,746,1244,466,778
,Vert%,81.54,86.15,84,80.43,87.15,66.22,78.78,57.08,82.14,79.39,85.63,81.7,67.41,93.69,90.58,81.99,99.07,98.5,99.36,97.86
,Horz%,100,26.98,3.23,1.46,1.77,0.42,0.21,0.21,0.86,0.46,0.4,0.59,0.22,0.37,0.71,0.32,0.39,0.65,0.24,0.41
,Index,100,106,103,99,107,81,97,70,101,97,105,100,83,115,111,101,122,121,122,120
MOVIE GOERS,Unwgt,27446,6622,764,313,451,77,28,49,141,51,90,182,77,105,176,81,95,188,76,112
,(000s),234034,59760,7342,3459,3884,1202,509#,692*,2004,1106*,898,1377,632,745,1497,744,753,1263,469,795
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,3.14,1.48,1.66,0.51,0.22,0.3,0.86,0.47,0.38,0.59,0.27,0.32,0.64,0.32,0.32,0.54,0.2,0.34
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,26457,6542,753,304,449,74,25,49,140,50,90,180,75,105,173,79,94,186,75,111
,(000s),227019,59228,7220,3349,3870,1171,478#,692*,1957,1059*,898,1358,612,745,1479,732,747,1255,467,788
,Vert%,97,99.11,98.34,96.82,99.64,97.42,93.91,100,97.65,95.75,100,98.62,96.84,100,98.8,98.39,99.2,99.37,99.57,99.12
,Horz%,100,26.09,3.18,1.48,1.7,0.52,0.21,0.3,0.86,0.47,0.4,0.6,0.27,0.33,0.65,0.32,0.33,0.55,0.21,0.35
,Index,100,102,101,100,103,100,97,103,101,99,103,102,100,103,102,101,102,102,103,102
TABLET OWNER,Unwgt,8845,2791,310,114,196,23,6,17,70,20,50,92,35,57,67,29,38,58,24,34
,(000s),75009,25141,3227,1268,1959,647#,166#,481#,920,478#,442*,628,200*,428*,732,359#,373*,299*,64#,235*
,Vert%,32.05,42.07,43.95,36.66,50.44,53.83,32.61,69.51,45.91,43.22,49.22,45.61,31.65,57.45,48.9,48.25,49.54,23.67,13.65,29.56
,Horz%,100,33.52,4.3,1.69,2.61,0.86,0.22,0.64,1.23,0.64,0.59,0.84,0.27,0.57,0.98,0.48,0.5,0.4,0.09,0.31
,Index,100,131,137,114,157,168,102,217,143,135,154,142,99,179,153,151,155,74,43,92
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11617,3450,394,154,240,33,10,23,70,28,42,103,38,65,97,46,51,91,32,59
,(000s),97217,30518,3405,1432,1972,572*,134#,438#,849,499#,351*,721,256*,465,782,395*,387*,481,149*,332*
,Vert%,41.54,51.07,46.38,41.4,50.77,47.59,26.33,63.29,42.37,45.12,39.09,52.36,40.51,62.42,52.24,53.09,51.39,38.08,31.77,41.76
,Horz%,100,31.39,3.5,1.47,2.03,0.59,0.14,0.45,0.87,0.51,0.36,0.74,0.26,0.48,0.8,0.41,0.4,0.49,0.15,0.34
,Index,100,123,112,100,122,115,63,152,102,109,94,126,98,150,126,128,124,92,76,101
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19439,5601,644,252,392,73,25,48,138,50,88,164,67,97,148,64,84,121,46,75
,(000s),168880,51870,6483,3142,3341,1174,484#,690*,1934,1101*,833,1237,586,651,1233,622,611,905,349*,556
,Vert%,72.16,86.8,88.3,90.84,86.02,97.67,95.09,99.71,96.51,99.55,92.76,89.83,92.72,87.38,82.36,83.6,81.14,71.65,74.41,69.94
,Horz%,100,30.71,3.84,1.86,1.98,0.7,0.29,0.41,1.15,0.65,0.49,0.73,0.35,0.39,0.73,0.37,0.36,0.54,0.21,0.33
,Index,100,120,122,126,119,135,132,138,134,138,129,124,128,121,114,116,112,99,103,97
,,,,,,,,,,,,,,,,,,,,,
