All Respondents,,,,,,,,,,,,,,,,,,,,,
cat,type,Totals,General Movie Purchaser,Genral Movie Purchaser East Central,GenralMovie Purchaser East Central Male,Genral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
Totals,Unwgt,25439,5801,729,302,427,75,33,42,137,53,84,170,71,99,157,64,93,190,81,109
,(000s),236711,58871,7709,3941,3769,1188,772*,416*,2171,946*,1225,1650,894,756,1171,659,512,1530,671,859
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,3.26,1.66,1.59,0.5,0.33,0.18,0.92,0.4,0.52,0.7,0.38,0.32,0.49,0.28,0.22,0.65,0.28,0.36
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Video Game ,Unwgt,5667,2291,318,153,165,44,24,20,85,39,46,90,45,45,55,25,30,44,20,24
,(000s),63670,26337,3912,2237,1676,795*,636#,159#,1542,753*,789*,798,527*,271*,372*,232#,141#,405*,89#,317#
,Vert%,26.9,44.74,50.75,56.76,44.47,66.92,82.38,38.22,71.03,79.6,64.41,48.36,58.95,35.85,31.77,35.2,27.54,26.47,13.26,36.9
,Horz%,100,41.36,6.14,3.51,2.63,1.25,1,0.25,2.42,1.18,1.24,1.25,0.83,0.43,0.58,0.36,0.22,0.64,0.14,0.5
,Index,100,166,189,211,165,249,306,142,264,296,239,180,219,133,118,131,102,98,49,137
Streaming Video,Unwgt,17763,4382,529,219,310,58,27,31,106,44,62,112,45,67,119,49,70,134,54,80
,(000s),167306,44474,5565,2787,2778,809*,478#,331*,1765,841*,924,1071,570*,501,892,495*,397,1028,403*,626
,Vert%,70.68,75.54,72.19,70.72,73.71,68.1,61.92,79.57,81.3,88.9,75.43,64.91,63.76,66.27,76.17,75.11,77.54,67.19,60.06,72.88
,Horz%,100,26.58,3.33,1.67,1.66,0.48,0.29,0.2,1.05,0.5,0.55,0.64,0.34,0.3,0.53,0.3,0.24,0.61,0.24,0.37
,Index,100,107,102,100,104,96,88,113,115,126,107,92,90,94,108,106,110,95,85,103
TV,Unwgt,21634,5018,615,253,362,48,22,26,101,39,62,141,54,87,141,59,82,184,79,105
,(000s),203130,52296,6714,3405,3309,752*,534#,218#,1840,713*,1126,1488,854*,635,1115,638*,478,1518,666,853
,Vert%,85.81,88.83,87.09,86.4,87.8,63.3,69.17,52.4,84.75,75.37,91.92,90.18,95.53,83.99,95.22,96.81,93.36,99.22,99.25,99.3
,Horz%,100,25.75,3.31,1.68,1.63,0.37,0.26,0.11,0.91,0.35,0.55,0.73,0.42,0.31,0.55,0.31,0.24,0.75,0.33,0.42
,Index,100,104,101,101,102,74,81,61,99,88,107,105,111,98,111,113,109,116,116,116
MAGAZINE,Unwgt,18877,4784,600,245,355,53,25,28,107,36,71,136,54,82,139,57,82,165,73,92
,(000s),176697,47955,5994,2722,3273,729*,416#,313#,1544,395*,1150,1378,707*,670,998,567*,431,1345,636,709
,Vert%,74.65,81.46,77.75,69.07,86.84,61.36,53.89,75.24,71.12,41.75,93.88,83.52,79.08,88.62,85.23,86.04,84.18,87.91,94.78,82.54
,Horz%,100,27.14,3.39,1.54,1.85,0.41,0.24,0.18,0.87,0.22,0.65,0.78,0.4,0.38,0.56,0.32,0.24,0.76,0.36,0.4
,Index,100,109,104,93,116,82,72,101,95,56,126,112,106,119,114,115,113,118,127,111
MOVIE GOERS,Unwgt,25439,5801,729,302,427,75,33,42,137,53,84,170,71,99,157,64,93,190,81,109
,(000s),236711,58871,7709,3941,3769,1188,772*,416*,2171,946*,1225,1650,894,756,1171,659,512,1530,671,859
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,24.87,3.26,1.66,1.59,0.5,0.33,0.18,0.92,0.4,0.52,0.7,0.38,0.32,0.49,0.28,0.22,0.65,0.28,0.36
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,24700,5748,723,299,424,74,32,42,137,53,84,170,71,99,155,63,92,187,80,107
,(000s),230746,58519,7677,3917,3760,1170,754*,416*,2171,946*,1225,1650,894,756,1164,654,510,1522,670,853
,Vert%,97.48,99.4,99.58,99.39,99.76,98.48,97.67,100,100,100,100,100,100,100,99.4,99.24,99.61,99.48,99.85,99.3
,Horz%,100,25.36,3.33,1.7,1.63,0.51,0.33,0.18,0.94,0.41,0.53,0.72,0.39,0.33,0.5,0.28,0.22,0.66,0.29,0.37
,Index,100,102,102,102,102,101,100,103,103,103,103,103,103,103,102,102,102,102,102,102
TABLET OWNER,Unwgt,8881,2805,352,129,223,33,11,22,74,24,50,93,36,57,77,30,47,75,28,47
,(000s),83876,29079,3822,1509,2314,470*,232#,238#,1343,341#,1002*,946,442*,504*,553,267#,286*,511,227#,284*
,Vert%,35.43,49.39,49.58,38.29,61.4,39.56,30.05,57.21,61.86,36.05,81.8,57.33,49.44,66.67,47.22,40.52,55.86,33.4,33.83,33.06
,Horz%,100,34.67,4.56,1.8,2.76,0.56,0.28,0.28,1.6,0.41,1.19,1.13,0.53,0.6,0.66,0.32,0.34,0.61,0.27,0.34
,Index,100,139,140,108,173,112,85,161,175,102,231,162,140,188,133,114,158,94,95,93
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,17617,3935,505,210,295,52,22,30,105,42,63,116,49,67,110,46,64,122,51,71
,(000s),165063,39276,5096,2484,2612,732*,373#,360#,1613,721*,892,1120,584*,536,805,464*,342,825,343*,482
,Vert%,69.73,66.72,66.1,63.03,69.3,61.62,48.32,86.54,74.3,76.22,72.82,67.88,65.32,70.9,68.74,70.41,66.8,53.92,51.12,56.11
,Horz%,100,23.79,3.09,1.5,1.58,0.44,0.23,0.22,0.98,0.44,0.54,0.68,0.35,0.32,0.49,0.28,0.21,0.5,0.21,0.29
,Index,100,96,95,90,99,88,69,124,107,109,104,97,94,102,99,101,96,77,73,80
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,18677,5026,636,252,384,71,30,41,136,52,84,158,64,94,135,51,84,136,55,81
,(000s),180654,52077,6979,3494,3485,1071,661#,410*,2165,940*,1225,1579,862,717,1037,576*,461,1127,456*,672
,Vert%,76.32,88.46,90.53,88.66,92.46,90.15,85.62,98.56,99.72,99.37,100,95.7,96.42,94.84,88.56,87.41,90.04,73.66,67.96,78.23
,Horz%,100,28.83,3.86,1.93,1.93,0.59,0.37,0.23,1.2,0.52,0.68,0.87,0.48,0.4,0.57,0.32,0.26,0.62,0.25,0.37
,Index,100,116,119,116,121,118,112,129,131,130,131,125,126,124,116,115,118,97,89,103
RADIO,Unwgt,17587,4436,554,222,332,52,16,36,101,38,63,135,56,79,119,46,73,147,66,81
,(000s),168104,45701,5528,2643,2885,643*,336#,307*,1674,621*,1053,1221,634*,586,786,431*,356,1204,621,584
,Vert%,71.02,77.63,71.71,67.06,76.55,54.12,43.52,73.8,77.11,65.64,85.96,74,70.92,77.51,67.12,65.4,69.53,78.69,92.55,67.99
,Horz%,100,27.19,3.29,1.57,1.72,0.38,0.2,0.18,1,0.37,0.63,0.73,0.38,0.35,0.47,0.26,0.21,0.72,0.37,0.35
,Index,100,109,101,94,108,76,61,104,109,92,121,104,100,109,95,92,98,111,130,96
